id,fname,category,country
2,Flatbread,Bolani,Afghanistan
3,Rice Dish,Kabuli pulao,Afghanistan
4,Sweet Pastry,Gosh-e fil,Afghanistan
5,Vegetable Dish,Borani banjan,Afghanistan
6,Lamb/Mutton Dish,Chopan kabob,Afghanistan
7,Vegetable Dish,Borani kadoo,Afghanistan
8,Rice Dish,Mastawa,Afghanistan
9,Dessert,Haft mewa,Afghanistan
10,Dumplings,Aushak,Afghanistan
11,Noodle Soup,Aush,Afghanistan
12,Dessert,Shirpera,Afghanistan
13,Meatballs,Kofta challow,Afghanistan
14,Pudding,Firnee,Afghanistan
15,Rice Dish,Zamarod pulao,Afghanistan
16,Rice Dish,Maash pulao,Afghanistan
17,Rice Dish,Shola,Afghanistan
18,Dessert,Sheer pira,Afghanistan
19,Dessert,Malida,Afghanistan
20,Rice Dish,Mastawa,Afghanistan
21,Noodle Soup,Aush,Afghanistan
22,Dessert,Shirpera,Afghanistan
23,Meatballs,Kofta challow,Afghanistan
24,Pudding,Firnee,Afghanistan
25,Rice Dish,Zamarod pulao,Afghanistan
26,Rice Dish,Maash pulao,Afghanistan
27,Rice Dish,Shola,Afghanistan
28,Dessert,Sheer pira,Afghanistan
29,Dessert,Malida,Afghanistan
30,Dumplings,Afghan mantu,Afghanistan
31,Ice Cream,Sheer yakh,Afghanistan
32,Vegetable Soup,Maushawa,Afghanistan
33,Dumplings,Khameerbob,Afghanistan
34,Salad,Salata,Afghanistan
35,Cookie,Khetayee,Afghanistan
36,Plant-based/Vegan Dish,Golpi,Afghanistan
37,Plant-based/Vegan Dish,Samaroq,Afghanistan
38,Salad,Shor nakhod,Afghanistan
39,Snack,Kulcha shor,Afghanistan
40,Flatbread,Naan-e Afghani,Afghanistan
41,Appetizer,Bonjan Salad,Afghanistan
42,Appetizer,Badenjan-burani,Afghanistan
43,Flatbread,Naan-e roghani,Afghanistan
44,Appetizer,Osh pyozee,Afghanistan
45,Rice Dish,Sholeh ghorbandi,Afghanistan
