# CSV-File created with merge-csv.com
# -----------------------------------------------------------

search-results__item-image href,search-results__item-image src,Type,Name,Country
https://www.tasteatlas.com/bolani,https://cdn.tasteatlas.com//Images/Dishes/5f424508b3e2467fb518128733213f4b.jpg?mw=660,Flatbread,Bolani,Afghanistan
https://www.tasteatlas.com/kabuli-pulao,https://cdn.tasteatlas.com//Images/Dishes/db17e2af35a0422b86622fe636daac10.jpg?mw=660,Rice Dish,Kabuli pulao,Afghanistan
https://www.tasteatlas.com/gosh-e-feel,https://cdn.tasteatlas.com//images/dishes/fdc258041d53467c901507572d557227.jpg?mw=660,Sweet Pastry,Gosh-e fil,Afghanistan
https://www.tasteatlas.com/borani-banjan,https://cdn.tasteatlas.com//Images/Dishes/4b2a220f583d48df8a41ed7b13b44667.jpg?mw=660,Vegetable Dish,Borani banjan,Afghanistan
https://www.tasteatlas.com/chopan-kabob,https://cdn.tasteatlas.com//Images/Dishes/91b0bccf225b4dff846ffc26cd6767bf.jpg?mw=660,Lamb/Mutton Dish,Chopan kabob,Afghanistan
https://www.tasteatlas.com/borani-kadoo,https://cdn.tasteatlas.com//images/dishes/92b901d3023f4c0f9ec60b053fa7a03c.jpg?mw=660,Vegetable Dish,Borani kadoo,Afghanistan
https://www.tasteatlas.com/mastawa,https://cdn.tasteatlas.com//Images/Dishes/8e459f95ce2c4861ab0bbbbf8224bda8.jpg?mw=660,Rice Dish,Mastawa,Afghanistan
https://www.tasteatlas.com/haft-mewa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Dessert,Haft mewa,Afghanistan
https://www.tasteatlas.com/aushak,https://cdn.tasteatlas.com//Images/Dishes/2a0c71064bd54d089976b2ea92b5af07.jpg?mw=660,Dumplings,Aushak,Afghanistan
https://www.tasteatlas.com/aush,,Noodle Soup,Aush,Afghanistan
https://www.tasteatlas.com/shirpera,,Dessert,Shirpera,Afghanistan
https://www.tasteatlas.com/koftachallow,,Meatballs,Kofta challow,Afghanistan
https://www.tasteatlas.com/firnee,,Pudding,Firnee,Afghanistan
https://www.tasteatlas.com/zamarod-pulao,,Rice Dish,Zamarod pulao,Afghanistan
https://www.tasteatlas.com/maash-pulao,,Rice Dish,Maash pulao,Afghanistan
https://www.tasteatlas.com/shola,,Rice Dish,Shola,Afghanistan
https://www.tasteatlas.com/sheer-pira,,Dessert,Sheer pira,Afghanistan
https://www.tasteatlas.com/malida,,Dessert,Malida,Afghanistan
https://www.tasteatlas.com/mastawa,https://cdn.tasteatlas.com//Images/Dishes/8e459f95ce2c4861ab0bbbbf8224bda8.jpg?mw=660,Rice Dish,Mastawa,Afghanistan
https://www.tasteatlas.com/aush,https://cdn.tasteatlas.com//Images/Dishes/c4f7b4f20e88479c86381f1b79a3e555.jpg?mw=660,Noodle Soup,Aush,Afghanistan
https://www.tasteatlas.com/shirpera,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Dessert,Shirpera,Afghanistan
https://www.tasteatlas.com/koftachallow,https://cdn.tasteatlas.com//images/dishes/b12ba277496d4c2098350105c2fa6366.jpg?mw=660,Meatballs,Kofta challow,Afghanistan
https://www.tasteatlas.com/firnee,https://cdn.tasteatlas.com//images/dishes/44105dba1f104a9d84a84d46d46d3368.jpg?mw=660,Pudding,Firnee,Afghanistan
https://www.tasteatlas.com/zamarod-pulao,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Rice Dish,Zamarod pulao,Afghanistan
https://www.tasteatlas.com/maash-pulao,https://cdn.tasteatlas.com//images/dishes/a19e7ba84ea74a96a636b64c60811612.jpg?mw=660,Rice Dish,Maash pulao,Afghanistan
