search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/qofte-ferguara,https://cdn.tasteatlas.com//Images/Dishes/28d92c45587a48409f328fa2c0aca116.jpg?mw=660,Meatballs,Qofte fÃ«rguara,Albania
https://www.tasteatlas.com/tave-kosi,https://cdn.tasteatlas.com//images/dishes/4b7608861de64b4ea220d6163abcb2c3.jpg?mw=660,Casserole,TavÃ« kosi,Albania
https://www.tasteatlas.com/flija,https://cdn.tasteatlas.com//Images/Dishes/e5cc168df59e4f98a7ff1804dd0c178b.jpg?mw=660,Pancake,Flija,Albania
https://www.tasteatlas.com/shapkat,https://cdn.tasteatlas.com//images/dishes/eaf2e913154b497f8f0105349fb8da4f.jpg?mw=660,Savory Pie,Shapkat,Albania
https://www.tasteatlas.com/fergese-tirane,https://cdn.tasteatlas.com//images/dishes/e0ad2655cb20475e9cb41b7b0df15eb9.jpg?mw=660,Vegetable Dish,FÃ«rgesÃ« Tirane,Albania
https://www.tasteatlas.com/jani-me-fasule,https://cdn.tasteatlas.com//images/dishes/cfa3462a3c184352b1cfbbbdcf82bdd1.jpg?mw=660,Vegetable Soup,Jani me fasule,Albania
https://www.tasteatlas.com/qumeshtor,https://cdn.tasteatlas.com//images/dishes/16f3a5c9b7f2442c831de671659b1c1c.jpg?mw=660,Custard,QumÃ«shtor,Albania
https://www.tasteatlas.com/ballokume,https://cdn.tasteatlas.com//images/dishes/1777fe6eb1fd478b9ec3ce6ed55c4b1c.jpg?mw=660,Cookie,Ballokume Elbasani,Albania
https://www.tasteatlas.com/pace-koke,https://cdn.tasteatlas.com//images/dishes/c7581e1098bf48e1af790b8dc1683085.jpg?mw=660,Stew,PaÃ§e koke,Albania
https://www.tasteatlas.com/sarma-albania,,Ground Meat Dish,Sarma,Albania
https://www.tasteatlas.com/kungullur,,Sweet Pie,Kungullur,Albania
https://www.tasteatlas.com/harapash,,Porridge,Harapash,Albania
https://www.tasteatlas.com/tirana-furghes,,Appetizer,Tirana furghes,Albania
https://www.tasteatlas.com/papare,,Snack,Papare,Albania
