search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/Couscous-algeria,https://cdn.tasteatlas.com//Images/Dishes/d0e38ceb77094c56b5a6c756f481bdb6.jpg?mw=660,Stew,Couscous (dish),Algeria
https://www.tasteatlas.com/mahjouba,https://cdn.tasteatlas.com//images/dishes/609374d8a1974d0aa7d84fb582262aa4.jpg?mw=660,Pancake,Mahjouba,Algeria
https://www.tasteatlas.com/harira-algeria,https://cdn.tasteatlas.com//Images/Dishes/31c8c0d449884b7692a0b12910f25687.jpg?mw=660,Soup,Harira,Algeria
https://www.tasteatlas.com/rechta,https://cdn.tasteatlas.com//images/dishes/9288364b5dec4132b26844ec2d7d2314.jpg?mw=660,Noodle Dish,Rechta,Algeria
https://www.tasteatlas.com/chorba-frik,https://cdn.tasteatlas.com//Images/Dishes/aa325778a367403dab3091939991a2cb.jpg?mw=660,Soup,Chorba frik,Algeria
https://www.tasteatlas.com/chakhchoukha,https://cdn.tasteatlas.com//images/dishes/b019ff38fb52455497d53708c972de4e.jpg?mw=660,Stew,Chakhchoukha,Algeria
https://www.tasteatlas.com/tajine-zitoune,https://cdn.tasteatlas.com//images/dishes/12d8d78e1e6e4d2fb4ddb7f015415a5a.jpg?mw=660,Chicken Dish,Tajine zitoune,Algeria
https://www.tasteatlas.com/garantita,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Street Food,Garantita,Algeria
https://www.tasteatlas.com/msemen-algeria,https://cdn.tasteatlas.com//images/dishes/fd0c424307ef46cf9eeca0547577d0f3.jpg?mw=660,Flatbread,Msemen,Algeria
https://www.tasteatlas.com/maaqouda,https://cdn.tasteatlas.com//images/dishes/276dadfa31ae46c3a612642dc2b7dbac.jpg?mw=660,Appetizer,Maaqouda,Algeria
https://www.tasteatlas.com/lham-lahlou,https://cdn.tasteatlas.com//images/dishes/d0d951f75b2a4b278d622846cca9fd8a.jpg?mw=660,Stew,Lham lahlou,Algeria
https://www.tasteatlas.com/kesra,https://cdn.tasteatlas.com//images/dishes/9a4680b3acca4a0e98f6abfb72dcb949.jpg?mw=660,Flatbread,Kesra,Algeria
https://www.tasteatlas.com/mkhabez,https://cdn.tasteatlas.com//images/dishes/91102d1d417143d9be51ead094ec91a4.jpg?mw=660,Sweet Pastry,Mkhabez,Algeria
https://www.tasteatlas.com/kalb-el-louz,https://cdn.tasteatlas.com//images/dishes/bb804b14578e4687a20265e2795f0ef0.jpg?mw=660,Dessert,Kalb-el-louz,Algeria
https://www.tasteatlas.com/makroud-el-louse,https://cdn.tasteatlas.com//images/dishes/dd7f42b78b6d4727a1033efbaa95119d.jpg?mw=660,Cookie,Makroud el louse,Algeria
https://www.tasteatlas.com/tamina,https://cdn.tasteatlas.com//images/dishes/ee34e1bdf698465895514fe67ae7312b.jpg?mw=660,Dessert,Tamina,Algeria
https://www.tasteatlas.com/shakshouka-algeria,https://cdn.tasteatlas.com//Images/Dishes/16db5759e81b4166a0eb8bccaa211e6a.jpg?mw=660,Egg Dish,Shakshouka,Algeria
https://www.tasteatlas.com/khobz-el-dar,https://cdn.tasteatlas.com//images/dishes/04960183591b43468a8f362bbff28fd6.jpg?mw=660,Bread,Khobz el dar,Algeria
https://www.tasteatlas.com/bouzellouf,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Offal Dish,Bouzellouf,Algeria
https://www.tasteatlas.com/mbesses,https://cdn.tasteatlas.com//images/dishes/d3f55bf93b724052a0e2c3fb73892b09.jpg?mw=660,Sweet Bread,Mbesses,Algeria
https://www.tasteatlas.com/chorba-beida,https://cdn.tasteatlas.com//images/dishes/043251dd6b934e76a64fe898b70752f5.jpg?mw=660,Chicken Soup,Chorba beÃ¯da,Algeria
https://www.tasteatlas.com/mesfouf,https://cdn.tasteatlas.com//Images/Dishes/b21077560dd34df2bee66e731d1f76b0.jpg?mw=660,Side Dish,Mesfouf,Algeria
