search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/calulu,https://cdn.tasteatlas.com//images/dishes/f00b68dd394f4f1db0b796d2fcd7462a.jpg?mw=660,Stew,Calulu,Angola
https://www.tasteatlas.com/cabidela-angola,https://cdn.tasteatlas.com//Images/Dishes/5e565961e3e74c4bb797f3b2462a5779.jpg?mw=660,Meat Dish,Cabidela,Angola
https://www.tasteatlas.com/funje,https://cdn.tasteatlas.com//images/dishes/2df5715b082c4bceb1c2298d2e1e93b5.jpg?mw=660,Porridge,Funje,Angola
https://www.tasteatlas.com/muamba-de-galinha,https://cdn.tasteatlas.com//Images/Dishes/346d8c20b76b4e9682f02d2dc5dfb9db.jpg?mw=660,Chicken Dish,Muamba de galinha,Angola
https://www.tasteatlas.com/piri-piri-sauce,https://cdn.tasteatlas.com//images/dishes/33ea3a8cb42a4f1b952a54d19b6cd484.jpg?mw=660,Sauce,Piri Piri Sauce,Angola
https://www.tasteatlas.com/kizaka,https://cdn.tasteatlas.com//images/dishes/9e69d589f3c9412fa4ff9e68da335424.jpg?mw=660,Stew,Kizaka,Angola
https://www.tasteatlas.com/cocada-amarela,,Pudding,Cocada amarela,Angola
https://www.tasteatlas.com/catatos,,Insect Dish,Catatos,Angola
https://www.tasteatlas.com/chikwanga-angola,,Bread,Chikwanga,Angola
https://www.tasteatlas.com/gafanhotos-de-palmeira,,Insect Dish,Gafanhotos de palmeira,Angola
https://www.tasteatlas.com/papaya-with-port-wine,,Appetizer,Papaya with Port Wine,Angola
