search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/alfajor,https://cdn.tasteatlas.com//Images/Dishes/e56d10e630ae46bcb9e04c7ef912dd04.jpg?mw=660,Cookie,Alfajor,Argentina
https://www.tasteatlas.com/asado,https://cdn.tasteatlas.com//Images/Dishes/bc210d52370b456092dde323280efbb7.jpg?mw=660,Barbecue,Asado,Argentina
https://www.tasteatlas.com/parrilla,https://cdn.tasteatlas.com//images/dishes/ee1a2c7d7ae84299a02d9680a556903f.jpg?mw=660,Barbecue,Parrilla,Argentina
https://www.tasteatlas.com/dulce-de-leche,,Dessert,Dulce de leche,Argentina
https://www.tasteatlas.com/milanesa,,Beef Dish,Milanesa,Argentina
https://www.tasteatlas.com/chimichurri,,Sauce,Chimichurri,Argentina
https://www.tasteatlas.com/medialunas,,Sweet Pastry,Medialunas,Argentina
https://www.tasteatlas.com/choripan,,Sandwich,ChoripÃ¡n,Argentina
https://www.tasteatlas.com/sandwich-de-lomo,,Sandwich,Sandwich de lomo,Argentina
https://www.tasteatlas.com/rogel,,Cake,Rogel,Argentina
https://www.tasteatlas.com/locro,,Stew,Locro,Argentina
https://www.tasteatlas.com/fugazza,,Pizza,Fugazza,Argentina
https://www.tasteatlas.com/sandwiches-de-miga,,Sandwich type,Sandwiches de miga,Argentina
https://www.tasteatlas.com/chocotorta,,Chocolate Cake,Chocotorta,Argentina
https://www.tasteatlas.com/grilledprovoleta,,Cheese Dish,Provoleta,Argentina
https://www.tasteatlas.com/pastafrola,,Tart,Pastafrola,Argentina
https://www.tasteatlas.com/fugazzeta,,Pizza,Fugazzeta,Argentina
https://www.tasteatlas.com/milanesa-napolitana,,Beef Dish,Milanesa napolitana,Argentina
https://www.tasteatlas.com/dulce-de-leche,https://cdn.tasteatlas.com//images/dishes/a0ac6ed92e66498a9788696ff1599c30.jpg?mw=660,Dessert,Dulce de leche,Argentina
https://www.tasteatlas.com/milanesa,https://cdn.tasteatlas.com//images/dishes/8ae6e3c99b2d41a2a15c57d23a337b4e.jpg?mw=660,Beef Dish,Milanesa,Argentina
https://www.tasteatlas.com/chimichurri,https://cdn.tasteatlas.com//Images/Dishes/00fc3f52336b4a899ef05358d222ae59.jpg?mw=660,Sauce,Chimichurri,Argentina
https://www.tasteatlas.com/medialunas,https://cdn.tasteatlas.com//images/dishes/a2052a3aa95249729fdadee7024d0e79.jpg?mw=660,Sweet Pastry,Medialunas,Argentina
https://www.tasteatlas.com/choripan,https://cdn.tasteatlas.com//Images/Dishes/19ca5c1cba384f128b06dc2de20cd935.jpg?mw=660,Sandwich,ChoripÃ¡n,Argentina
