search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/lavash,https://cdn.tasteatlas.com//Images/Dishes/e187e389c5344e0695f9bc24f25d6bac.jpg?mw=660,Flatbread,Lavash,Armenia
https://www.tasteatlas.com/lahmacun-armenia,https://cdn.tasteatlas.com//Images/Dishes/175eaf225ea5486c92f856a8426b7f0c.jpg?mw=660,Snack,Lamadjo,Armenia
https://www.tasteatlas.com/dzhash,https://cdn.tasteatlas.com//Images/Dishes/aaad4be3ac8f4b3099908d16aa96ff25.jpg?mw=660,Stew,Dzhash,Armenia
https://www.tasteatlas.com/dolma-armenia,https://cdn.tasteatlas.com//Images/Dishes/9dfe8ce1742c474586de7a8baf07aa63.jpg?mw=660,Ground Meat Dish,Dolma,Armenia
https://www.tasteatlas.com/ghapama,https://cdn.tasteatlas.com//Images/Dishes/ed773d785fd2446cae6dd284fa1f8ddb.jpg?mw=660,Vegetable Dish,Ghapama,Armenia
https://www.tasteatlas.com/harissa,https://cdn.tasteatlas.com//images/dishes/bc96eb0b7b2e42e69d07f88b4a442fd2.jpg?mw=660,Porridge,Harissa,Armenia
https://www.tasteatlas.com/manti-armenia,https://cdn.tasteatlas.com//images/dishes/6b66f5a7a8aa4ff8bf8a062f1cd6330b.jpg?mw=660,Dumplings,Manti,Armenia
https://www.tasteatlas.com/khorovats,https://cdn.tasteatlas.com//Images/Dishes/77a84104db0b4e9f962f06e192127656.jpg?mw=660,Barbecue,Khorovats,Armenia
https://www.tasteatlas.com/gata,https://cdn.tasteatlas.com//Images/Dishes/b2df6ce55d1e4f85b3016f83cf93c328.jpg?mw=660,Sweet Bread,Gata,Armenia
https://www.tasteatlas.com/topik,https://cdn.tasteatlas.com//images/dishes/a9b77c0ae31e48dc853810afee8a730f.jpg?mw=660,Vegetable Dish,Topik,Armenia
https://www.tasteatlas.com/lula-kebab-armenia,https://cdn.tasteatlas.com//Images/Dishes/582c366d8d914eb2b345b25731e03b03.jpg?mw=660,Ground Meat Dish,Lula kebab,Armenia
https://www.tasteatlas.com/semsek,https://cdn.tasteatlas.com//images/dishes/db08afe581e04ba09fabd7abdc6d136a.jpg?mw=660,Savory Pie,Semsek,Armenia
https://www.tasteatlas.com/tjvjik,https://cdn.tasteatlas.com//Images/Dishes/5a44b99d140a4958bc34599866e654ca.jpg?mw=660,Offal Dish,Tjvjik,Armenia
https://www.tasteatlas.com/arganak,https://cdn.tasteatlas.com//images/dishes/e63b4dcdcaac470e8abe9bce6376d959.jpg?mw=660,Meat Soup,Arganak,Armenia
https://www.tasteatlas.com/kchuch,https://cdn.tasteatlas.com//images/dishes/88b734fc0f5f4f4cb28ac8a5e8acb637.jpg?mw=660,Stew,Kchuch,Armenia
https://www.tasteatlas.com/yalanchi,https://cdn.tasteatlas.com//Images/Dishes/fe6a567fe7914e4ea1ad6d6f0cf0f0be.jpg?mw=660,Appetizer,Yalanchi,Armenia
https://www.tasteatlas.com/zhingyalov-khats,https://cdn.tasteatlas.com//images/dishes/4425d68726cb470c890112764097e8c8.jpg?mw=660,Flatbread,Zhingyalov khats,Armenia
https://www.tasteatlas.com/matnakash,https://cdn.tasteatlas.com//images/dishes/5ff263db46f44f02b9d5d2cab8e33884.jpg?mw=660,Flatbread,Matnakash,Armenia
https://www.tasteatlas.com/eetch,https://cdn.tasteatlas.com//images/dishes/2838962050a44783a2b53fa15c037ab2.jpg?mw=660,Salad,Eetch,Armenia
https://www.tasteatlas.com/mantapour,https://cdn.tasteatlas.com//images/dishes/6b03a2204b1e42fb95c3866794360404.jpg?mw=660,Soup,Mantapour,Armenia
https://www.tasteatlas.com/spas,https://cdn.tasteatlas.com//images/dishes/1a3fba809c384a15b463f697b901de43.jpg?mw=660,Soup,Spas,Armenia
https://www.tasteatlas.com/kyalagyosh,https://cdn.tasteatlas.com//images/dishes/0f18d26e0aa149e1a08d8816b740ae4f.jpg?mw=660,Soup,Kyalagyosh,Armenia
https://www.tasteatlas.com/vospapour,https://cdn.tasteatlas.com//images/dishes/007f96df78e545b4bfca4b559d82ecba.jpg?mw=660,Vegetable Soup,Vospapour,Armenia
https://www.tasteatlas.com/choereg,https://cdn.tasteatlas.com//Images/Dishes/f657949eb9184bb893f68fa37dd89198.jpg?mw=660,Sweet Bread,Choereg,Armenia
https://www.tasteatlas.com/anoushabour,https://cdn.tasteatlas.com//Images/Dishes/ba1530634d6e4859aa0fb4ee388db807.jpg?mw=660,Dessert,Anoushabour,Armenia
https://www.tasteatlas.com/kololik,https://cdn.tasteatlas.com//images/dishes/53516a87edf74a49b93c13c8ed3a875b.jpg?mw=660,Meat Soup,Kololik,Armenia
https://www.tasteatlas.com/beeshee,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Pancake,Beeshee,Armenia
