search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/baliq-kebab,https://cdn.tasteatlas.com//Images/Dishes/201a4e4b511f421ab7e91a5ea5006d0c.jpg?mw=660,Freshwater Fish Dish,Baliq kebab,Bahamas
https://www.tasteatlas.com/dovga,https://cdn.tasteatlas.com//Images/Dishes/0a7ea2b56972453e8f570a21e172cd37.jpg?mw=660,Soup,Dovga,Bahamas
https://www.tasteatlas.com/soyutma,https://cdn.tasteatlas.com//Images/Dishes/e922629ef1f047379b4c9b98d30e578a.jpg?mw=660,Meat Dish,Soyutma,Bahamas
https://www.tasteatlas.com/yarpaq-dolmas,https://cdn.tasteatlas.com//Images/Dishes/47d748246fc24dd692592360d18dfe80.jpg?mw=660,Ground Meat Dish,Yarpaq dolmasÄ±,Bahamas
https://www.tasteatlas.com/lyulya-kebab,https://cdn.tasteatlas.com//Images/Dishes/582c366d8d914eb2b345b25731e03b03.jpg?mw=660,Ground Meat Dish,Lyulya kebab,Bahamas
https://www.tasteatlas.com/badambura,https://cdn.tasteatlas.com//Images/Dishes/2c96afe4ac6c46e5ac3dd6650880326d.jpg?mw=660,Sweet Pastry,Badambura,Bahamas
https://www.tasteatlas.com/domates-dolmasi-azerbaijan,https://cdn.tasteatlas.com//images/dishes/1219c0c20bb84aec9f35c073da539c32.jpg?mw=660,Ground Meat Dish,Domates dolmasi,Bahamas
https://www.tasteatlas.com/qutab,https://cdn.tasteatlas.com//Images/Dishes/1a069f45c8c1495eb3bbd9e630a0f10f.jpg?mw=660,Snack,Qutab,Bahamas
https://www.tasteatlas.com/buglama,https://cdn.tasteatlas.com//Images/Dishes/7b7e08fbd55c48a09dafd32afb4c7e83.jpg?mw=660,Stew,Buglama,Bahamas
https://www.tasteatlas.com/shah-pilaf,https://cdn.tasteatlas.com//images/dishes/71440b3e8521401ebd50427c5e29952b.jpg?mw=660,Rice Dish,Shah pilaf,Bahamas
https://www.tasteatlas.com/piti,https://cdn.tasteatlas.com//images/dishes/488aca4ea0754e8a8980f11a5bde77c2.jpg?mw=660,Stew,Piti,Bahamas
https://www.tasteatlas.com/coban-salatasi-azerbaijan,https://cdn.tasteatlas.com//images/dishes/3cd84f66f49048048ad0ccd9ba993672.jpg?mw=660,Salad,Ãoban salatasÄ±,Bahamas
https://www.tasteatlas.com/narsharab,https://cdn.tasteatlas.com//Images/Dishes/606952dc94954dfc8bdc5c9bb94f282c.jpg?mw=660,Sauce,Narsharab,Bahamas
https://www.tasteatlas.com/tava-kebab,https://cdn.tasteatlas.com//images/dishes/38930faf52af43b78369d6f6ba879502.jpg?mw=660,Ground Meat Dish,Tava kebab,Bahamas
https://www.tasteatlas.com/khingal,https://cdn.tasteatlas.com//images/dishes/47c44fa66ccc4eb1b4ed7acda88412dd.jpg?mw=660,Pasta,Khingal,Bahamas
https://www.tasteatlas.com/manqal-salat,https://cdn.tasteatlas.com//images/dishes/fb87de0050564584bfb2ffdebe96706d.jpg?mw=660,Salad,Manqal salatÄ±,Bahamas
https://www.tasteatlas.com/kufta-bozbash,https://cdn.tasteatlas.com//images/dishes/4dcf5b34023a4a2cbba343813fc35f3d.jpg?mw=660,Meat Soup,Kufta bozbash,Bahamas
https://www.tasteatlas.com/shirin-plov,https://cdn.tasteatlas.com//images/dishes/5f799e54cd8540cdb46b78c513b8b82b.jpg?mw=660,Rice Dish,Shirin plov,Bahamas
https://www.tasteatlas.com/sheshryanch-plov,https://cdn.tasteatlas.com//images/dishes/23ad992d0e0c4d24a61151bf50288562.jpg?mw=660,Rice Dish,Sheshryanch plov,Bahamas
https://www.tasteatlas.com/shekerbura,https://cdn.tasteatlas.com//Images/Dishes/b1f2870a324e481b9ee464336b218d83.jpg?mw=660,Sweet Pastry,Shekerbura,Bahamas
https://www.tasteatlas.com/levengi,https://cdn.tasteatlas.com//images/dishes/966601d8f08e4f43acf15389ad67c768.jpg?mw=660,Side Dish,Levengi,Bahamas
https://www.tasteatlas.com/shirin-chorek,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Dessert,Shirin chorek,Bahamas
https://www.tasteatlas.com/dushbara,https://cdn.tasteatlas.com//images/dishes/0e05f33efa394585824c9fb921fa681d.jpg?mw=660,Dumplings,Dushbara,Bahamas
https://www.tasteatlas.com/ovdukh,https://cdn.tasteatlas.com//images/dishes/118e4163cd1441cda534260e7b603988.jpg?mw=660,Cold Soup,Ovdukh,Bahamas
https://www.tasteatlas.com/serdakh,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Vegetable Dish,Serdakh,Bahamas
https://www.tasteatlas.com/yayma,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Dessert,Yayma,Bahamas
https://www.tasteatlas.com/kurka-levengi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Chicken Dish,Kurka levengi,Bahamas
