search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/fuchka-bangladesh,https://cdn.tasteatlas.com//Images/Dishes/b01fa4c9920d42df9ef472fd4f8e6fda.jpg?mw=660,Snack,Fuchka,Bangladesh
https://www.tasteatlas.com/bhorta,https://cdn.tasteatlas.com//images/dishes/0b325cd0cd244541be20a0c5e6a32e62.jpg?mw=660,Side Dish,Bhorta,Bangladesh
https://www.tasteatlas.com/haleem-bangladesh,https://cdn.tasteatlas.com//images/dishes/03df132180744560921a1b481675e559.jpg?mw=660,Porridge,Haleem,Bangladesh
https://www.tasteatlas.com/paratha-bangladesh,https://cdn.tasteatlas.com//Images/Dishes/7053f1036e63478db68ce8ba7583b39e.jpg?mw=660,Flatbread,Paratha,Bangladesh
https://www.tasteatlas.com/beguni,https://cdn.tasteatlas.com//images/dishes/63bee7a0b6824622bf4f171c8b7be744.jpg?mw=660,Vegetable Dish,Beguni,Bangladesh
https://www.tasteatlas.com/chomchom,https://cdn.tasteatlas.com//Images/Dishes/71830fdcfe614079b990fc8672603e6b.jpg?mw=660,Dessert,Chomchom,Bangladesh
https://www.tasteatlas.com/jilapi-bangladesh,https://cdn.tasteatlas.com//images/dishes/85dca6a42c8948f6a861fba0a5442c8f.jpg?mw=660,Deep-fried Dessert,Jilapi,Bangladesh
https://www.tasteatlas.com/chotpoti,https://cdn.tasteatlas.com//images/dishes/77b06bb8d756468c8f82dc5832a403af.jpg?mw=660,Vegetable Dish,Chotpoti,Bangladesh
https://www.tasteatlas.com/ilish-macher-paturi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Fish Dish,Ilish macher paturi,Bangladesh
https://www.tasteatlas.com/shami-kabab-bangladesh,https://cdn.tasteatlas.com//images/dishes/ea0e277841e14f01b852d23fc664d234.jpg?mw=660,Ground Meat Dish,Shami kabab,Bangladesh
https://www.tasteatlas.com/panta-ilish,https://cdn.tasteatlas.com//images/dishes/38c0db0f2c4f466f9ad7b62a6d054067.jpg?mw=660,Rice Dish,Panta ilish,Bangladesh
https://www.tasteatlas.com/panta-bhat,https://cdn.tasteatlas.com//images/dishes/0bbddbf184e54067848e631f1f95f64e.jpg?mw=660,Rice Dish,Panta bhat,Bangladesh
https://www.tasteatlas.com/macher-jhol,https://cdn.tasteatlas.com//images/dishes/ea41a91386e645e889a74867f059eca5.jpg?mw=660,Stew,Macher jhol,Bangladesh
https://www.tasteatlas.com/jahlmuri,https://cdn.tasteatlas.com//Images/Dishes/d613f21d50184b45a9a763dafc4f3e8b.jpg?mw=660,Snack,Jhalmuri,Bangladesh
https://www.tasteatlas.com/shorshe-ilish,https://cdn.tasteatlas.com//images/dishes/4e8aa644e30b42fa81d2cfc63cef1e0a.jpg?mw=660,Fish Dish,Shorshe ilish,Bangladesh
https://www.tasteatlas.com/bakarkhani,https://cdn.tasteatlas.com//images/dishes/5febb90e2cf8407b874aaa7f74539da7.jpg?mw=660,Flatbread,Bakarkhani,Bangladesh
