search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/souse,https://cdn.tasteatlas.com//images/dishes/90cd70fa257a4ffd861f8a1fd1941aec.jpg?mw=660,Appetizer,Souse,Barbados
https://www.tasteatlas.com/cassava-pone,https://cdn.tasteatlas.com//Images/Dishes/ada5f052f34344f9949175893a19b7ef.jpg?mw=660,Dessert,Cassava Pone,Barbados
https://www.tasteatlas.com/jug-jug,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Stew,Jug-Jug,Barbados
https://www.tasteatlas.com/flying-fish-cutters,https://cdn.tasteatlas.com//images/dishes/4c5a1bb0ceff4036aac2101852f626b3.jpg?mw=660,Sandwich,Flying Fish Cutters,Barbados
https://www.tasteatlas.com/pudding-and-souse,https://cdn.tasteatlas.com//images/dishes/81972250ccd6477ca8ff4d695544e8d9.jpg?mw=660,Pork Dish,Pudding and Souse,Barbados
https://www.tasteatlas.com/coo-coo-and-flying-fish,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Saltwater Fish Dish,Coo-Coo and Flying Fish,Barbados
https://www.tasteatlas.com/conkies,,Dessert,Conkies,Barbados
https://www.tasteatlas.com/bajan-macaroni-pie-and-flying-fish,,Pasta,Bajan Macaroni Pie and Flying Fish,Barbados
https://www.tasteatlas.com/ham-cutter,,Sandwich,Ham Cutter,Barbados
https://www.tasteatlas.com/bajan-black-eyed-peas-and-rice,,Side Dish,Bajan Black Eyed Peas and Rice,Barbados
https://www.tasteatlas.com/bajan-candied-sweet-potatoes,,Side Dish,Bajan Candied Sweet Potatoes,Barbados
