search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/panades,https://cdn.tasteatlas.com//images/dishes/6851b177dffc4dea920910e003efcb74.jpg?mw=660,Savory Pastry,Panades,Belize
https://www.tasteatlas.com/salbute-belize,https://cdn.tasteatlas.com//images/dishes/066b23d5a7f94af68d2b48df7e028c4c.jpg?mw=660,Street Food,Salbute,Belize
https://www.tasteatlas.com/belizean-rice-and-beans-with-stewed-chicken,https://cdn.tasteatlas.com//images/dishes/3d10b96a66c34a368beccef520fbcd71.jpg?mw=660,Chicken Dish,Belizean Rice and Beans with Stewed Chicken,Belize
https://www.tasteatlas.com/fry-jack,https://cdn.tasteatlas.com//images/dishes/463066345820493abf740a9bf58cf309.jpg?mw=660,Bread,Fry Jack,Belize
https://www.tasteatlas.com/chimole,https://cdn.tasteatlas.com//images/dishes/f68794669e324727936fce53238b4a2f.jpg?mw=660,Soup,Chimole,Belize
https://www.tasteatlas.com/boil-up,https://cdn.tasteatlas.com//images/dishes/e4a64cf3cc354a75bd1d88106e106951.jpg?mw=660,Vegetable Dish,Boil Up,Belize
https://www.tasteatlas.com/black-fruit-cake,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Cake,Black Fruit Cake,Belize
https://www.tasteatlas.com/tapou,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Fish Dish,Tapou,Belize
https://www.tasteatlas.com/serre-la-sus,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Fish Soup,Serre la sus,Belize
https://www.tasteatlas.com/darasa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Snack,Darasa,Belize
