search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/saltenas,https://cdn.tasteatlas.com//Images/Dishes/2c307394260e4e3a8a71b5590bef4df5.jpg?mw=660,Breakfast,SalteÃ±as,Bolivia
https://www.tasteatlas.com/picante-de-pollo,https://cdn.tasteatlas.com//images/dishes/b20db01039384713910d1efcd5261667.jpg?mw=660,Chicken Dish,Picante de pollo,Bolivia
https://www.tasteatlas.com/majadito,https://cdn.tasteatlas.com//images/dishes/94622dde8b1440a99113e3174d23e75e.jpg?mw=660,Rice Dish,Majadito,Bolivia
https://www.tasteatlas.com/pique-macho,https://cdn.tasteatlas.com//images/dishes/403e23498e934b6982b04bf97467415b.jpg?mw=660,Meat Dish,Pique macho,Bolivia
https://www.tasteatlas.com/chicharron-bolivia,https://cdn.tasteatlas.com//images/dishes/0d02478e9d354c94baf7ec43ecfc68c0.jpg?mw=660,Appetizer,ChicharrÃ³n,Bolivia
https://www.tasteatlas.com/arroz-con-queso,https://cdn.tasteatlas.com//Images/Dishes/9eec9db664f045efa9ba2a4db47ff1a8.jpg?mw=660,Side Dish,Arroz con queso,Bolivia
https://www.tasteatlas.com/sajta-de-pollo,https://cdn.tasteatlas.com//images/dishes/d89086e5b84b46af82112da772dd3ecb.jpg?mw=660,Chicken Dish,Sajta de pollo,Bolivia
https://www.tasteatlas.com/silpancho,https://cdn.tasteatlas.com//Images/Dishes/cd7b45f1f497440e9a5d7c57f26d742e.jpg?mw=660,Meat Dish,Silpancho,Bolivia
https://www.tasteatlas.com/sopa-de-mondongo-bolivia,https://cdn.tasteatlas.com//Images/Dishes/24af0278a9f54465a23ed15e9e069f6e.jpg?mw=660,Offal Soup,Sopa de mondongo,Bolivia
https://www.tasteatlas.com/anticucho-bolivia,https://cdn.tasteatlas.com//Images/Dishes/92c74a79c13f491ab5832012aa64ffba.jpg?mw=660,Meat Dish,Anticucho,Bolivia
https://www.tasteatlas.com/lechon-al-horno,https://cdn.tasteatlas.com//images/dishes/9849175ca6a246b389f18a6180916777.jpg?mw=660,Pork Dish,LechÃ³n al horno,Bolivia
https://www.tasteatlas.com/cunape,https://cdn.tasteatlas.com//images/dishes/47a5b8ad86504531a8df68fd8b7fcdbe.jpg?mw=660,Snack,CuÃ±ape,Bolivia
https://www.tasteatlas.com/sopa-de-mani,https://cdn.tasteatlas.com//images/dishes/2107a11b2a6d47969d573cc5ce8d21da.jpg?mw=660,Soup,Sopa de mani,Bolivia
https://www.tasteatlas.com/plato-paceno,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Vegetable Dish,Plato paceÃ±o,Bolivia
https://www.tasteatlas.com/chairo,https://cdn.tasteatlas.com//images/dishes/db68276b741c4d11950e9c948dc8ab5d.jpg?mw=660,Soup,Chairo,Bolivia
https://www.tasteatlas.com/aji-de-lengua,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Stew,AjÃ­ de lengua,Bolivia
https://www.tasteatlas.com/pampaku,https://cdn.tasteatlas.com//images/dishes/89331fd07988420cb356050bbd9249c4.jpg?mw=660,Meat Dish,Pampaku,Bolivia
https://www.tasteatlas.com/saice,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Stew,Saice,Bolivia
https://www.tasteatlas.com/majao,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Beef Dish,Majao,Bolivia
https://www.tasteatlas.com/aji-de-fideos,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Pasta,AjÃ­ de fideos,Bolivia
https://www.tasteatlas.com/chancho-a-la-cruz,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Pork Dish,Chancho a la cruz,Bolivia
https://www.tasteatlas.com/sanduiche-de-chola,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Sandwich,SanduÃ­che de chola,Bolivia
https://www.tasteatlas.com/llajua,https://cdn.tasteatlas.com//images/dishes/3c44728c9a29463ebf98499db48e0034.jpg?mw=660,Sauce,Llajua,Bolivia
https://www.tasteatlas.com/caldo-de-cardan,https://cdn.tasteatlas.com//images/dishes/4eb361f201e74b0ca09b88a49b2e2f8d.jpg?mw=660,Offal Soup,Caldo de cardÃ¡n,Bolivia
https://www.tasteatlas.com/lagua-de-choclo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Soup,Lagua de choclo,Bolivia
https://www.tasteatlas.com/tawa-tawa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Fried Dough,Tawa-tawa,Bolivia
https://www.tasteatlas.com/risotto-de-quinoa-y-pimientos-amarillos-bolivia,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Vegetarian Dish,Risotto de quinoa y pimientos amarillos,Bolivia
