search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/cevapi,https://cdn.tasteatlas.com//Images/Dishes/a5abc85497774e3f8ba9a7f25c1914df.jpg?mw=660,Ground Meat Dish,Äevapi,Bosnia and Herzegovina
https://www.tasteatlas.com/burek,https://cdn.tasteatlas.com//images/dishes/1d0ca43e5dbe48e9b1b68121326fb02f.jpg?mw=660,Savory Pastry,Burek,Bosnia and Herzegovina
https://www.tasteatlas.com/sac,https://cdn.tasteatlas.com//images/dishes/b8d7bdd99abe48beb62cb1e2c57dad3a.jpg?mw=660,Technique,SaÄ,Bosnia and Herzegovina
https://www.tasteatlas.com/sarajevski-cevapi,https://cdn.tasteatlas.com//images/dishes/a0e0db6d072046a89d7bcfca1d203a0b.jpg?mw=660,Ground Meat Dish,Sarajevski Äevapi,Bosnia and Herzegovina
https://www.tasteatlas.com/zeljanica,https://cdn.tasteatlas.com//images/dishes/342e6926322d464c8218b95dab9eede9.jpg?mw=660,Savory Pastry,Zeljanica,Bosnia and Herzegovina
https://www.tasteatlas.com/tufahije,https://cdn.tasteatlas.com//Images/Dishes/6a2e9faf9b4e4e09bb0d9c51bf6dad88.jpg?mw=660,Dessert,Tufahija,Bosnia and Herzegovina
https://www.tasteatlas.com/japrak,https://cdn.tasteatlas.com//images/dishes/82e4813711904eedb2dc80db2c9dfb92.jpg?mw=660,Ground Meat Dish,Japrak,Bosnia and Herzegovina
https://www.tasteatlas.com/buranija,https://cdn.tasteatlas.com//images/dishes/34b33ebc3a1447d4a0a3d38d8c01f7d0.jpg?mw=660,Stew,Buranija,Bosnia and Herzegovina
https://www.tasteatlas.com/jabukovaca,https://cdn.tasteatlas.com//images/dishes/c197f3f85196425eb49672d85d63cd93.jpg?mw=660,Sweet Pastry,JabukovaÄa,Bosnia and Herzegovina
https://www.tasteatlas.com/bosanski-lonac,https://cdn.tasteatlas.com//Images/Dishes/d86a3b299e394d99a5e4af9992b34a11.jpg?mw=660,Stew,Bosanski lonac,Bosnia and Herzegovina
https://www.tasteatlas.com/gurabija,https://cdn.tasteatlas.com//images/dishes/8662810a484342d8938090ce60b52cfa.jpg?mw=660,Cookie,Gurabija,Bosnia and Herzegovina
https://www.tasteatlas.com/kalja,https://cdn.tasteatlas.com//images/dishes/7bbc28c9d3a04d8fa4d6a2d41d2ac032.jpg?mw=660,Stew,Kalja,Bosnia and Herzegovina
https://www.tasteatlas.com/kadaif,https://cdn.tasteatlas.com//Images/Dishes/ee104752ca5642aa97b710c44bb3f8b6.jpg?mw=660,Sweet Pastry,Kadaif,Bosnia and Herzegovina
https://www.tasteatlas.com/banjalucki-cevapi,https://cdn.tasteatlas.com//images/dishes/c56569c4fa6541dd9b600bdeda7c8d0f.jpg?mw=660,Ground Meat Dish,BanjaluÄki Äevapi,Bosnia and Herzegovina
https://www.tasteatlas.com/begova-corba,https://cdn.tasteatlas.com//Images/Dishes/e081f35fbe8b4a7ab23cbd582fef82de.jpg?mw=660,Chicken Soup,Begova Äorba,Bosnia and Herzegovina
