search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/churrasco,https://cdn.tasteatlas.com//images/dishes/3571507db7da42a49b116d559e68fb58.jpg?mw=660,Barbecue,Churrasco,Brazil
https://www.tasteatlas.com/feijoada,https://cdn.tasteatlas.com//images/dishes/ddcefce88a9a4f968d2452be1ecaf2ee.jpg?mw=660,Stew,Feijoada (Brazil),Brazil
https://www.tasteatlas.com/picanha,https://cdn.tasteatlas.com//images/dishes/df2fab8ced8f41a8bef7a2d4be68ef47.jpg?mw=660,Meat Cut,Picanha,Brazil
https://www.tasteatlas.com/coxinha,https://cdn.tasteatlas.com//Images/Dishes/929665f6d800440cb13ffde75ab76c07.jpg?mw=660,Snack,Coxinha,Brazil
https://www.tasteatlas.com/moqueca,https://cdn.tasteatlas.com//Images/Dishes/fb99478bb82b4e37812a1c31e89c5c5a.jpg?mw=660,Stew,Moqueca,Brazil
https://www.tasteatlas.com/pao-de-queijo,https://cdn.tasteatlas.com//Images/Dishes/bdf15882a58648468b2e245242ebc280.jpg?mw=660,Bread,PÃ£o de queijo,Brazil
https://www.tasteatlas.com/farofa,https://cdn.tasteatlas.com//images/dishes/10a842354fc4499b972b2dc4533a782f.jpg?mw=660,Side Dish,Farofa,Brazil
https://www.tasteatlas.com/carne-de-sol,https://cdn.tasteatlas.com//Images/Dishes/25b5314c9c324355a043846c762b7a90.jpg?mw=660,Meat Dish,Carne de sol,Brazil
https://www.tasteatlas.com/escondidinho,https://cdn.tasteatlas.com//images/dishes/9ff66fd2f9bf4cc581ce163f07d25d8a.jpg?mw=660,Casserole,Escondidinho,Brazil
https://www.tasteatlas.com/beijinho,https://cdn.tasteatlas.com//Images/Dishes/bfd88846bc82475187bdc25001aa5e08.jpg?mw=660,Dessert,Beijinho,Brazil
https://www.tasteatlas.com/brigadeiro,https://cdn.tasteatlas.com//Images/Dishes/b3e5d1f6fd5c4d5b8988dc1fae01f7a0.jpg?mw=660,Chocolate Dessert,Brigadeiro,Brazil
https://www.tasteatlas.com/pastel,https://cdn.tasteatlas.com//Images/Dishes/6f61311ba274414783a9ace5febcc643.jpg?mw=660,Savory Pastry,Pastel,Brazil
https://www.tasteatlas.com/feijao-tropeiro,https://cdn.tasteatlas.com//images/dishes/5c35290f58994cdda66f269a5a0aaeff.jpg?mw=660,Meat Dish,FeijÃ£o tropeiro,Brazil
https://www.tasteatlas.com/pudim-de-leite-condensado,https://cdn.tasteatlas.com//images/dishes/572bd6cf22ae46ff90ab8d92baee709b.jpg?mw=660,Pudding,Pudim de leite condensado,Brazil
https://www.tasteatlas.com/bolo-de-brigadeiro,https://cdn.tasteatlas.com//images/dishes/57731b4b4f7a4e71bdda83bb1e69dd65.jpg?mw=660,Chocolate Cake,Bolo de brigadeiro,Brazil
https://www.tasteatlas.com/x-tudo,https://cdn.tasteatlas.com//images/dishes/d875d031f3364ca5852050d0e81b306f.jpg?mw=660,Burger,X-Tudo,Brazil
https://www.tasteatlas.com/galinhada,https://cdn.tasteatlas.com//Images/Dishes/04406076d7b84f5c852a0392929e6024.jpg?mw=660,Stew,Galinhada,Brazil
https://www.tasteatlas.com/baiao-de-dois,https://cdn.tasteatlas.com//images/dishes/b10d33557ec34df8aff5f631344e309e.jpg?mw=660,Rice Dish,BaiÃ£o-de-dois,Brazil
https://www.tasteatlas.com/mousse-de-maracuja,https://cdn.tasteatlas.com//Images/Dishes/5b69a6cffee9429a896a90104731657b.jpg?mw=660,Dessert,Mousse de maracujÃ¡,Brazil
https://www.tasteatlas.com/quindim,https://cdn.tasteatlas.com//Images/Dishes/7be6f7bf95a546e8b112fd8b33e0e32c.jpg?mw=660,Custard,Quindim,Brazil
https://www.tasteatlas.com/acaraje,https://cdn.tasteatlas.com//images/dishes/f565b09227b742b3a5b7b5914227d5ae.jpg?mw=660,Street Food,AcarajÃ©,Brazil
https://www.tasteatlas.com/bobo-de-camarao,https://cdn.tasteatlas.com//Images/Dishes/c77a1f3f7eaf4f8e9b8cea46d12434cb.jpg?mw=660,Stew,BobÃ³ de camarÃ£o,Brazil
https://www.tasteatlas.com/rabanada,https://cdn.tasteatlas.com//images/dishes/5c33b6059a634e6195f80ff37c3f0997.jpg?mw=660,Dessert,Rabanada,Brazil
https://www.tasteatlas.com/canjica,https://cdn.tasteatlas.com//Images/Dishes/9fe99ad264f4467797da9de637465db5.jpg?mw=660,Dessert,Canjica,Brazil
https://www.tasteatlas.com/fraldinha,https://cdn.tasteatlas.com//images/dishes/30ab1d19adfd4d1ea13e1308ea6af7da.jpg?mw=660,Meat Cut,Fraldinha,Brazil
https://www.tasteatlas.com/arroz-carreteiro,https://cdn.tasteatlas.com//images/dishes/d18efd46f37740d9951e9ce5a3b2a396.jpg?mw=660,Rice Dish,Arroz carreteiro,Brazil
