search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/banitsa,https://cdn.tasteatlas.com//images/dishes/83292387cd1240129b8e2d5628b65255.jpg?mw=660,Pastry,Banitsa,Bulgaria
https://www.tasteatlas.com/shopska-salad,https://cdn.tasteatlas.com//images/dishes/fe10389ae55646cfbf1cf8d1f0c3b048.jpg?mw=660,Salad,Shopska Salad,Bulgaria
https://www.tasteatlas.com/banitsa-cheese,https://cdn.tasteatlas.com//images/dishes/37efaa0e83444f41a0b5d0e849b9ea91.jpg?mw=660,Pastry,Banitsa with Cheese,Bulgaria
https://www.tasteatlas.com/tarator,https://cdn.tasteatlas.com//images/dishes/7cc9413cc3c048dca52f498fea84743c.jpg?mw=660,Cold Soup,Tarator,Bulgaria
https://www.tasteatlas.com/kufteh,https://cdn.tasteatlas.com//images/dishes/0a70d71f8436429c83eab613a39559f9.jpg?mw=660,Ground Meat Dish,Kufte,Bulgaria
https://www.tasteatlas.com/mish-mash,https://cdn.tasteatlas.com//Images/Dishes/ba7e31daa9bc47d091cc041545145a09.jpg?mw=660,Vegetable Dish,Mish-mash,Bulgaria
https://www.tasteatlas.com/lukanka,https://cdn.tasteatlas.com//Images/Dishes/b6839a475ddd4529bacf5ad4f7fa7d60.jpg?mw=660,Sausage,Lukanka,Bulgaria
https://www.tasteatlas.com/kurabiiki,https://cdn.tasteatlas.com//images/dishes/472e5c80533d451eabbc5db641039e5d.jpg?mw=660,Cookie,Kurabiiki,Bulgaria
https://www.tasteatlas.com/tikvenik,https://cdn.tasteatlas.com//images/dishes/1522c6dd1623446b896d32883bc10cc0.jpg?mw=660,Sweet Pastry,Tikvenik,Bulgaria
https://www.tasteatlas.com/kavarma,https://cdn.tasteatlas.com//Images/Dishes/3a1ef226c57d4d6da3e4331198e0b814.jpg?mw=660,Meat Dish,Kavarma,Bulgaria
https://www.tasteatlas.com/kebapche,https://cdn.tasteatlas.com//Images/Dishes/f627490b50b14f1fb08fc0e4e70628ea.jpg?mw=660,Ground Meat Dish,Kebapche,Bulgaria
https://www.tasteatlas.com/lyutenitsa,https://cdn.tasteatlas.com//Images/Dishes/347aaa680c4c406c87cbc9a9125947b2.jpg?mw=660,Relish,Lutenica,Bulgaria
https://www.tasteatlas.com/sarma-bulgaria,https://cdn.tasteatlas.com//images/dishes/abbef07b6054405a8b2305db7beca93e.jpg?mw=660,Ground Meat Dish,Sarma,Bulgaria
https://www.tasteatlas.com/meshana-skara,https://cdn.tasteatlas.com//images/dishes/d62248a7c3614cbf984ba71d10ab22c5.jpg?mw=660,Meat Dish,Meshana skara,Bulgaria
https://www.tasteatlas.com/supa-topcheta,https://cdn.tasteatlas.com//images/dishes/2f0075de27e4415bb987e8711624857c.jpg?mw=660,Meat Soup,Supa topcheta,Bulgaria
https://www.tasteatlas.com/wine-kebab,https://cdn.tasteatlas.com//Images/Dishes/37093bcb46b94e39b1b2b81ab3910426.jpg?mw=660,Stew,Wine Kebab,Bulgaria
https://www.tasteatlas.com/torta-garash,https://cdn.tasteatlas.com//images/dishes/e013ef869b114b0b8760850182c7d71f.jpg?mw=660,Chocolate Cake,Torta Garash,Bulgaria
https://www.tasteatlas.com/banska-kapama,https://cdn.tasteatlas.com//images/dishes/ea41ab55de0f40188dc6ad1aecf48339.jpg?mw=660,Meat Dish,Banska kapama,Bulgaria
https://www.tasteatlas.com/ovcharska-salad,https://cdn.tasteatlas.com//images/dishes/29c9cdf10417439cafa73262b38d3639.jpg?mw=660,Salad,Ovcharska Salad,Bulgaria
https://www.tasteatlas.com/kyopolou,https://cdn.tasteatlas.com//Images/Dishes/68e25c9ec6804f2f8fc863aded61765c.jpg?mw=660,Spread,Kyopolou,Bulgaria
https://www.tasteatlas.com/bob-chorba,https://cdn.tasteatlas.com//Images/Dishes/4fba5dece100421cb3657fd676bde445.jpg?mw=660,Vegetable Soup,Bob chorba,Bulgaria
https://www.tasteatlas.com/taleshko-vareno,https://cdn.tasteatlas.com//Images/Dishes/aa006b330bbf41e7b4b91a4a57da0e35.jpg?mw=660,Soup,Taleshko vareno,Bulgaria
https://www.tasteatlas.com/patatnik,https://cdn.tasteatlas.com//Images/Dishes/c23fe5cd38bd44fd92d0ef04d584c917.jpg?mw=660,Savory Pie,Patatnik,Bulgaria
https://www.tasteatlas.com/bahur,https://cdn.tasteatlas.com//images/dishes/cf3397c123084c9b8e82c5bc785bc368.jpg?mw=660,Blood Sausage,Bahur,Bulgaria
https://www.tasteatlas.com/sirene-po-shopski,https://cdn.tasteatlas.com//Images/Dishes/fcc4d01ff7cc4bac88853d77b88f2d4f.jpg?mw=660,Appetizer,Sirene po shopski,Bulgaria
https://www.tasteatlas.com/guvech,https://cdn.tasteatlas.com//images/dishes/978ac271d1944c19baea733da4106376.jpg?mw=660,Stew,Guvech,Bulgaria
https://www.tasteatlas.com/kjufteta-po-chirpanski,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Meatballs,Kjufteta po chirpanski,Bulgaria
https://www.tasteatlas.com/chomlek-blagoevgrad-province,https://cdn.tasteatlas.com//images/dishes/873cbc92f7e54ac9a89b1205504052e6.jpg?mw=660,Stew,Chomlek,Bulgaria
https://www.tasteatlas.com/mekitsa,https://cdn.tasteatlas.com//images/dishes/3a0c8fdefb6c46b1a967b4fb9da96610.jpg?mw=660,Flatbread,Mekitsa,Bulgaria
