search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/amok-trey,https://cdn.tasteatlas.com//images/dishes/0ff0deac74e94712b1dd824a992ed43f.jpg?mw=660,Fish Dish,Steamed Curried Fish (Amok trey),Cambodia
https://www.tasteatlas.com/lok-lak,https://cdn.tasteatlas.com//images/dishes/62cec808390f480bb802f73232084852.jpg?mw=660,Meat Dish,Lok lak,Cambodia
https://www.tasteatlas.com/babor,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Porridge,Babor,Cambodia
https://www.tasteatlas.com/num-banh-chok,https://cdn.tasteatlas.com//images/dishes/a5390c995b6d4ad9baa9a8c88459fbe3.jpg?mw=660,Noodle Dish,Num banh chok,Cambodia
https://www.tasteatlas.com/fried-spider,https://cdn.tasteatlas.com//images/dishes/77b56a418c6c4488b572b31f91673498.jpg?mw=660,Street Food,Fried Spider,Cambodia
https://www.tasteatlas.com/yaohon,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Stew,Yaohon,Cambodia
https://www.tasteatlas.com/samlar-kari,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Stew,Samlar kari,Cambodia
https://www.tasteatlas.com/bok-lhong,https://cdn.tasteatlas.com//images/dishes/4ebb558b1e4b45fd800558f590343504.jpg?mw=660,Salad,Green Papaya Salad (Bok l'hong  ),Cambodia
https://www.tasteatlas.com/samlar-machu,https://cdn.tasteatlas.com//images/dishes/dd86a791ad6c44a8b4b1c68257a1d7b7.jpg?mw=660,Soup,Samlar machu,Cambodia
https://www.tasteatlas.com/mee-ketang,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Noodle Dish,Mee ketang,Cambodia
https://www.tasteatlas.com/chien-chuon,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Fish Dish,Crispy Fried Fish with Ginger-Garlic Sauce (Chien chuon),Cambodia
https://www.tasteatlas.com/khar,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Stew,Khar,Cambodia
https://www.tasteatlas.com/sankhya-lapov,https://cdn.tasteatlas.com//images/dishes/0791dc9b6f494ee09a196d8e82ccc49e.jpg?mw=660,Dessert,Sankhya lapov,Cambodia
https://www.tasteatlas.com/chha-khnhei,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Meat Dish,Ginger and Meat Stir-Fry (Chha kh'nhei),Cambodia
https://www.tasteatlas.com/pleah-sach-ko,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Appetizer,Pleah sach ko,Cambodia
https://www.tasteatlas.com/samlor-kako,https://cdn.tasteatlas.com//Images/Dishes/30a5d892d38a43b3908a4b6976992b10.jpg?mw=660,Fish Soup,Samlor kako,Cambodia
https://www.tasteatlas.com/ansom-chek,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Dessert,Sticky Rice Banana Cake (Ansom chek),Cambodia
https://www.tasteatlas.com/nom-lote,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Pudding,Nom lote,Cambodia
https://www.tasteatlas.com/ngam-nguv,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Soup,Ngam nguv,Cambodia
https://www.tasteatlas.com/nataing,https://cdn.tasteatlas.com//images/dishes/8905f7e7780e438cb785ac86a12489f0.jpg?mw=660,Appetizer,Nataing,Cambodia
https://www.tasteatlas.com/chruok-svay,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Salad,Green Mango Salad (Chruok svay),Cambodia
