search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/marraqueta,https://cdn.tasteatlas.com//images/dishes/e3a7347f21e2461f929908ed4928e997.jpg?mw=660,Bread,Marraqueta,Chile
https://www.tasteatlas.com/arroz-con-huevo,https://cdn.tasteatlas.com//Images/Dishes/4fdc9470333b41b191824534237c1af6.jpg?mw=660,Rice Dish,Arroz con huevo,Chile
https://www.tasteatlas.com/pastel-de-choclo,https://cdn.tasteatlas.com//Images/Dishes/afac73885b784a188bea5691142c740e.jpg?mw=660,Savory Pie,Pastel de choclo,Chile
https://www.tasteatlas.com/pebre,https://cdn.tasteatlas.com//Images/Dishes/39fe3f62d6264bd8bbe97cdadcffb1c4.jpg?mw=660,Salsa,Pebre,Chile
https://www.tasteatlas.com/curanto,https://cdn.tasteatlas.com//images/dishes/83bf1ccc53e846f28695f99fad6c969a.jpg?mw=660,Feast,Curanto,Chile
https://www.tasteatlas.com/barros-luco,https://cdn.tasteatlas.com//Images/Dishes/f02306511a95422a8724b2a964fc056b.jpg?mw=660,Sandwich,Barros Luco,Chile
https://www.tasteatlas.com/completo,https://cdn.tasteatlas.com//images/dishes/fc9ea9af0c1c42b896f3605f38d4a483.jpg?mw=660,Hot Dog,Completo,Chile
https://www.tasteatlas.com/mojo-de-ajo-chile,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Sauce,Mojo de ajo,Chile
https://www.tasteatlas.com/chacarero,https://cdn.tasteatlas.com//images/dishes/321adae6a8ef4ff6a963fca7e18921dc.jpg?mw=660,Sandwich,Chacarero,Chile
https://www.tasteatlas.com/chorrillana,https://cdn.tasteatlas.com//Images/Dishes/7950faeff1574790a01c88841197b545.jpg?mw=660,Appetizer,Chorrillana,Chile
https://www.tasteatlas.com/cordero-al-palo,https://cdn.tasteatlas.com//images/dishes/de71e275d3fb450a9a0ed107ef814105.jpg?mw=660,Lamb/Mutton Dish,Cordero al palo,Chile
https://www.tasteatlas.com/cazuela-de-ave,https://cdn.tasteatlas.com//images/dishes/0c86280dc9004c3590ae20cb4bfb81a6.jpg?mw=660,Stew,Cazuela de ave,Chile
https://www.tasteatlas.com/valdiviano,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Meat Soup,Valdiviano,Chile
https://www.tasteatlas.com/empanadas-de-manzana,https://cdn.tasteatlas.com//images/dishes/12687ee17b614afc91d6132555799845.jpg?mw=660,Sweet Pastry,Empanadas de manzana,Chile
https://www.tasteatlas.com/pan-de-huevo,https://cdn.tasteatlas.com//images/dishes/73bc2879a6fa484cb2ae96b6626dcaab.jpg?mw=660,Bread,Pan de huevo,Chile
https://www.tasteatlas.com/pan-amasado,https://cdn.tasteatlas.com//images/dishes/eaa6a1155c5e4bf297ce17708cfba525.jpg?mw=660,Bread,Pan amasado,Chile
https://www.tasteatlas.com/chancho-en-piedra,https://cdn.tasteatlas.com//images/dishes/bc82ff0825914423b2b24ee50342f4d3.jpg?mw=660,Salsa,Chancho en piedra,Chile
https://www.tasteatlas.com/charquican,https://cdn.tasteatlas.com//images/dishes/71c4cd9ed778410e8018f757c0b3ef56.jpg?mw=660,Stew,CharquicÃ¡n,Chile
