search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/dim-sum,https://cdn.tasteatlas.com//images/dishes/a000ac2b437b4c5aae6ca6b6b8ac384f.jpg?mw=660,Assorted Small Dishes or Ritual,Dim sum,China
https://www.tasteatlas.com/jiaozi,https://cdn.tasteatlas.com//Images/Dishes/cdc9ff6690ad42ab9e96cbfff7d1af69.jpg?mw=660,Dumplings,Jiaozi,China
https://www.tasteatlas.com/baozi,https://cdn.tasteatlas.com//images/dishes/4c265ad0d0e4421c8d16613b22e6ff72.jpg?mw=660,Dumplings,Baozi,China
https://www.tasteatlas.com/wonton,https://cdn.tasteatlas.com//Images/Dishes/4d0ea1a4056f4f5088e6857539560192.jpg?mw=660,Dumplings,Wonton,China
https://www.tasteatlas.com/mooncake,https://cdn.tasteatlas.com//Images/Dishes/76c513e6c3214386b6c1dd9c98a564cc.jpg?mw=660,Sweet Pastry,Mooncake,China
https://www.tasteatlas.com/spring-rolls,https://cdn.tasteatlas.com//Images/Dishes/b151eebf5805474aa899f41b8c331b56.jpg?mw=660,Appetizer,Spring Rolls,China
https://www.tasteatlas.com/chow-mein,https://cdn.tasteatlas.com//Images/Dishes/0946b9809ef24450a6cfcb738de3dd51.jpg?mw=660,Noodle Dish,Chow mein,China
https://www.tasteatlas.com/shabu-shabu-china,https://cdn.tasteatlas.com//Images/Dishes/20eb7a41894a457181057348f1314c1b.jpg?mw=660,Meat Dish,Shabu-shabu,China
https://www.tasteatlas.com/bing,https://cdn.tasteatlas.com//images/dishes/47230a52a4e842d7acd7dc8cd1cd1eda.jpg?mw=660,Flatbread,Shaobing,China
https://www.tasteatlas.com/manju-china,https://cdn.tasteatlas.com//Images/Dishes/fea3e4a030d14a499d5cd83d4016752d.jpg?mw=660,Dessert,ManjÅ«,China
https://www.tasteatlas.com/paocai,https://cdn.tasteatlas.com//Images/Dishes/02fedfcb808643d5a6b6995bec8bd328.jpg?mw=660,Pickling,PÃ o cÃ i,China
https://www.tasteatlas.com/kung-pao-chicken,https://cdn.tasteatlas.com//Images/Dishes/91e1f0236e414f9dbaefe548f5384a20.jpg?mw=660,Chicken Dish,Kung Pao Chicken,China
https://www.tasteatlas.com/hot-pot,https://cdn.tasteatlas.com//Images/Dishes/6680af3463bb4eeebfe37fa96a0feef4.jpg?mw=660,Technique,Hot Pot,China
https://www.tasteatlas.com/sweet-and-sour-sauce,https://cdn.tasteatlas.com//Images/Dishes/246acd31811840e380f00221fe7d6569.jpg?mw=660,Sauce,Sweet and Sour Sauce,China
https://www.tasteatlas.com/century-egg,https://cdn.tasteatlas.com//Images/Dishes/559347f0b0ed43349099de96d5184b7e.jpg?mw=660,Appetizer,Century Egg,China
https://www.tasteatlas.com/youtiao,https://cdn.tasteatlas.com//Images/Dishes/5e7b95fc504b4db6ab1176e9890cf8de.jpg?mw=660,Breakfast,Youtiao,China
https://www.tasteatlas.com/zhajiangmian,https://cdn.tasteatlas.com//Images/Dishes/ae09eae7d55745b19059dbe883da3829.jpg?mw=660,Noodle Dish,Zhajiangmian,China
https://www.tasteatlas.com/chen-mapo-doufu,https://cdn.tasteatlas.com//Images/Dishes/8738dc28f1824697b53a1852456ccff5.jpg?mw=660,Stew,Mapo doufu,China
https://www.tasteatlas.com/peking-duck,https://cdn.tasteatlas.com//images/dishes/d8c9977734d040b3bed4e29caff5b2b2.jpg?mw=660,Duck Dish,Peking Duck,China
https://www.tasteatlas.com/shumai,https://cdn.tasteatlas.com//Images/Dishes/9a1dd20923f6437aa939f9aa9a2ea8a0.jpg?mw=660,Dumplings,Shumai,China
https://www.tasteatlas.com/jianbing,https://cdn.tasteatlas.com//images/dishes/f39430e2250744f1a13669aa4afd094f.jpg?mw=660,Pancake,Jianbing,China
https://www.tasteatlas.com/shanghai-hairy-crab,https://cdn.tasteatlas.com//Images/Dishes/de827a7d5f0a4a46a4e7a162de35e118.jpg?mw=660,Crab Dish,Chinese Mitten Crab,China
https://www.tasteatlas.com/orange-chicken,https://cdn.tasteatlas.com//Images/Dishes/4cc2758bb1354d4e8b1e018105767fed.jpg?mw=660,Fried Chicken Dish,Orange Chicken,China
https://www.tasteatlas.com/egg-tart,https://cdn.tasteatlas.com//Images/Dishes/7215c17478d54e7f9d4f77102cd1a51c.jpg?mw=660,Sweet Pastry,Egg Tart,China
https://www.tasteatlas.com/har-gow,https://cdn.tasteatlas.com//Images/Dishes/c579bcc9409141b7a4878c4e75c53de3.jpg?mw=660,Dumplings,Har gow,China
