search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/arepa-colombia,https://cdn.tasteatlas.com//Images/Dishes/aaa50fed110a4cabbeffb4c52e5fa6cf.jpg?mw=660,Sandwich type,Arepa,Colombia
https://www.tasteatlas.com/oblea,https://cdn.tasteatlas.com//Images/Dishes/a22474944c0f494b8e6e8e4d27eced31.jpg?mw=660,Wafer,Obleas,Colombia
https://www.tasteatlas.com/lechona,https://cdn.tasteatlas.com//Images/Dishes/c88761353b4d4571b939f963fb825adf.jpg?mw=660,Pork Dish,Lechona,Colombia
https://www.tasteatlas.com/sancocho,https://cdn.tasteatlas.com//Images/Dishes/f74bdc79f63d4c78bef0495166986038.jpg?mw=660,Stew,Sancocho,Colombia
https://www.tasteatlas.com/bandeja-paisa,https://cdn.tasteatlas.com//Images/Dishes/aadd83f9a31b4b02b3ed5a5675b72cbf.jpg?mw=660,Meat Dish,Bandeja paisa,Colombia
https://www.tasteatlas.com/calentado,https://cdn.tasteatlas.com//images/dishes/668a56200f8240319c0a98b78785150c.jpg?mw=660,Breakfast,Calentado,Colombia
https://www.tasteatlas.com/arroz-con-huevo-colombia,https://cdn.tasteatlas.com//Images/Dishes/4fdc9470333b41b191824534237c1af6.jpg?mw=660,Rice Dish,Arroz con huevo,Colombia
https://www.tasteatlas.com/aroz-con-coco,https://cdn.tasteatlas.com//images/dishes/2742aa3223914a8c9aeac05b2c117293.jpg?mw=660,Rice Dish,Arroz con coco,Colombia
https://www.tasteatlas.com/perro-caliente,https://cdn.tasteatlas.com//images/dishes/d39392fc042042af9cfa921e99261619.jpg?mw=660,Hot Dog,Perro caliente,Colombia
https://www.tasteatlas.com/ajiaco,https://cdn.tasteatlas.com//images/dishes/2f8f166d1e80417497aa2c903668d405.jpg?mw=660,Soup,Ajiaco,Colombia
https://www.tasteatlas.com/flan-de-coco,https://cdn.tasteatlas.com//images/dishes/d095ef31772342a8bd06300063c0bde5.jpg?mw=660,Dessert,Flan de coco,Colombia
https://www.tasteatlas.com/picada-colombiana,https://cdn.tasteatlas.com//images/dishes/deadc89a6b3c4bb7b4d07ef35bf7e596.jpg?mw=660,Meat Dish,Picada Colombiana,Colombia
https://www.tasteatlas.com/pan-de-queso,https://cdn.tasteatlas.com//Images/Dishes/17f5d1b8ba1646ebbcbc5e97bfbd20b7.jpg?mw=660,Bread,Pan de queso,Colombia
https://www.tasteatlas.com/pan-de-yuca,https://cdn.tasteatlas.com//images/dishes/edb2a21b5f644779942ad564e1ed9534.jpg?mw=660,Bread,Pan de yuca,Colombia
https://www.tasteatlas.com/pan-de-bono,https://cdn.tasteatlas.com//images/dishes/955c42f1f59c4589bebec13335ddfb06.jpg?mw=660,Bread,Pan de bono,Colombia
https://www.tasteatlas.com/bollo,https://cdn.tasteatlas.com//images/dishes/d0c0c2163ccf48229e7bb71ca5b6618f.jpg?mw=660,Bread,Bollo,Colombia
https://www.tasteatlas.com/arepa-de-huevo,https://cdn.tasteatlas.com//images/dishes/3c7dddcc70dd4b70a7849ef35bab9a19.jpg?mw=660,Street Food,Arepa de huevo,Colombia
https://www.tasteatlas.com/hogao,https://cdn.tasteatlas.com//images/dishes/11342d50cf9d4dbb802528104aeb0d79.jpg?mw=660,Sauce,Hogao,Colombia
