search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/casados,https://cdn.tasteatlas.com//images/dishes/84af7f3910f94f1aa98ef20efa984579.jpg?mw=660,Meat Dish,Casados,Costa Rica
https://www.tasteatlas.com/gallo-pinto,https://cdn.tasteatlas.com//Images/Dishes/139333a2eb264050a43f4a5e44cc0c8e.jpg?mw=660,Side Dish,Gallo pinto,Costa Rica
https://www.tasteatlas.com/olla-de-carne,https://cdn.tasteatlas.com//Images/Dishes/a5d4b41162a9436e9ca82dbc160c63af.jpg?mw=660,Stew,Olla de carne,Costa Rica
https://www.tasteatlas.com/chorreadas,https://cdn.tasteatlas.com//Images/Dishes/e58d0330f78540799ee6f5960549f21c.jpg?mw=660,Pancake,Chorreadas,Costa Rica
https://www.tasteatlas.com/picadillo-de-papa,https://cdn.tasteatlas.com//Images/Dishes/f8562b9b7d234a57aea92cadf5ed3f1a.jpg?mw=660,Beef Dish,Picadillo de papa,Costa Rica
https://www.tasteatlas.com/chilera,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Pickling,Chilera,Costa Rica
https://www.tasteatlas.com/sopa-negra,https://cdn.tasteatlas.com//images/dishes/2729923d0fde4dbe915adba627057054.jpg?mw=660,Vegetable Soup,Sopa negra,Costa Rica
https://www.tasteatlas.com/chifrijo,https://cdn.tasteatlas.com//images/dishes/14a26dd50f804be2b9d6e109728518b3.jpg?mw=660,Appetizer,Chifrijo,Costa Rica
https://www.tasteatlas.com/rosquillas-costa-rica,https://cdn.tasteatlas.com//images/dishes/4bbb29f3ccb04b8a991107d57b458e46.jpg?mw=660,Sweet Pastry,Rosquillas,Costa Rica
https://www.tasteatlas.com/cajeta-de-coco,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Dessert,Cajeta de coco,Costa Rica
https://www.tasteatlas.com/pargo-relleno,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Saltwater Fish Dish,Pargo relleno,Costa Rica
https://www.tasteatlas.com/ceviche-tico,https://cdn.tasteatlas.com//Images/Dishes/793d35e4a0224fb58538772c01d7a0dd.jpg?mw=660,Seafood,Ceviche Tico,Costa Rica
https://www.tasteatlas.com/crema-de-pejibaye,https://cdn.tasteatlas.com//Images/Dishes/f3024777d8fc4d14ba9f0268ab6e72d7.jpg?mw=660,Soup,Crema de pejibaye,Costa Rica
