search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/strukli,https://cdn.tasteatlas.com//images/dishes/5ba5ea4678cf4940a0f19356a560becf.jpg?mw=660,Pasta,Å trukli,Croatia
https://www.tasteatlas.com/brudet,https://cdn.tasteatlas.com//images/dishes/80be02b5400848c5ba190ed280283da0.jpg?mw=660,Stew,Brudet,Croatia
https://www.tasteatlas.com/peka,https://cdn.tasteatlas.com//images/dishes/b8d7bdd99abe48beb62cb1e2c57dad3a.jpg?mw=660,Technique,Peka,Croatia
https://www.tasteatlas.com/madjarica,https://cdn.tasteatlas.com//images/dishes/b8b74be2d6e44998977c7c19312dd211.jpg?mw=660,Chocolate Cake,MaÄarica,Croatia
https://www.tasteatlas.com/fritule,https://cdn.tasteatlas.com//images/dishes/23ee053fc47a49a0b9f26c4715358038.jpg?mw=660,Sweet Pastry,Fritule,Croatia
https://www.tasteatlas.com/dalmatinska-pasticada,https://cdn.tasteatlas.com//Images/Dishes/9a45c206d14a43548d604bc05953bc08.jpg?mw=660,Stew,Dalmatinska paÅ¡ticada,Croatia
https://www.tasteatlas.com/kotlovina,https://cdn.tasteatlas.com//Images/Dishes/01a5ceeeb6844a0b884265425bc3e0b4.jpg?mw=660,Meat Dish,Kotlovina,Croatia
https://www.tasteatlas.com/cobanac,https://cdn.tasteatlas.com//images/dishes/2bf95d26b7204db28570d41cf2a4b7b1.jpg?mw=660,Stew,Äobanac,Croatia
https://www.tasteatlas.com/janjetina-s-raznja,https://cdn.tasteatlas.com//images/dishes/3cb65d28253f4b7ca6de612bcf91ad9e.jpg?mw=660,Lamb/Mutton Dish,Janjetina s raÅ¾nja,Croatia
https://www.tasteatlas.com/crni-rizot,https://cdn.tasteatlas.com//images/dishes/ccd1cbc574e641cc8ab6f900910f6491.jpg?mw=660,Rice Dish,Crni riÅ¾ot,Croatia
https://www.tasteatlas.com/sataras,https://cdn.tasteatlas.com//images/dishes/a5cbe22923784e9a9e656ad9ca1409e5.jpg?mw=660,Stew,SataraÅ¡,Croatia
https://www.tasteatlas.com/burek-sa-sirom,https://cdn.tasteatlas.com//images/dishes/7eb00d71d027475bbeab681d5915a034.jpg?mw=660,Savory Pastry,Burek sa sirom,Croatia
https://www.tasteatlas.com/buzara,https://cdn.tasteatlas.com//images/dishes/546664cc0c4c41a896ede3791fc51cd1.jpg?mw=660,Technique,Buzara,Croatia
https://www.tasteatlas.com/krvavica,https://cdn.tasteatlas.com//images/dishes/9fc02f4b56c647b8a4b7d87865abe61a.jpg?mw=660,Blood Sausage,Krvavica,Croatia
https://www.tasteatlas.com/hobotnica-ispod-peke,https://cdn.tasteatlas.com//images/dishes/540defaee8fb4a04805ccd27030881fa.jpg?mw=660,Octopus Dish,Hobotnica ispod peke,Croatia
https://www.tasteatlas.com/turkey-with-mlinci,https://cdn.tasteatlas.com//Images/Dishes/53a4334f6f1046a0aa1d62d6bbf9a0f4.jpg?mw=660,Turkey Dish,Purica s mlincima,Croatia
https://www.tasteatlas.com/samoborska-kremsnita,https://cdn.tasteatlas.com//images/dishes/5f16be138e7047f1a7a87046f5bf890e.jpg?mw=660,Cake,Samoborska kremÅ¡nita,Croatia
https://www.tasteatlas.com/gradele,https://cdn.tasteatlas.com//images/dishes/e853579f636549ce997cde2cee8fe3ee.jpg?mw=660,Barbecue,Gradele,Croatia
https://www.tasteatlas.com/krafne,https://cdn.tasteatlas.com//images/dishes/5d7bb143eccb46dcba3e9a5f08c4e150.jpg?mw=660,Sweet Pastry,Krafne,Croatia
https://www.tasteatlas.com/poljicki-soparnik,https://cdn.tasteatlas.com//images/dishes/051416452bb649bab2bbc4aca4cc13ac.jpg?mw=660,Savory Pie,PoljiÄki soparnik,Croatia
https://www.tasteatlas.com/fuzi-s-tartufima,https://cdn.tasteatlas.com//images/dishes/b566ce275eb74f47ae0f8eeb02282e55.jpg?mw=660,Pasta,FuÅ¾i s tartufima,Croatia
https://www.tasteatlas.com/pinca,https://cdn.tasteatlas.com//Images/Dishes/64bef70fd8a2459498fbcf1f5452bfdd.jpg?mw=660,Sweet Bread,Pinca,Croatia
https://www.tasteatlas.com/manestra,https://cdn.tasteatlas.com//images/dishes/ed18e31fa11440f2bfbbb8a08e8e00d7.jpg?mw=660,Stew,ManeÅ¡tra,Croatia
