search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/picadillo,https://cdn.tasteatlas.com//Images/Dishes/f9c517e5c54d4c96b21d100a9bd581f7.jpg?mw=660,Ground Meat Dish,Picadillo,Cuba
https://www.tasteatlas.com/ropa-vieja,https://cdn.tasteatlas.com//Images/Dishes/8d55a8dc11fe4061ae44bed6795eb1dd.jpg?mw=660,Stew,Ropa vieja,Cuba
https://www.tasteatlas.com/arroz-con-huevo-cuba,https://cdn.tasteatlas.com//Images/Dishes/4fdc9470333b41b191824534237c1af6.jpg?mw=660,Rice Dish,Arroz con huevo,Cuba
https://www.tasteatlas.com/medianoche,https://cdn.tasteatlas.com//Images/Dishes/dc2d169b63884b80a314a941e95747ff.jpg?mw=660,Sandwich,Medianoche,Cuba
https://www.tasteatlas.com/platillo-moros-y-cristiano,https://cdn.tasteatlas.com//images/dishes/efefb414156f4121a87beee3dce39c11.jpg?mw=660,Rice Dish,Platillo moros y cristiano,Cuba
https://www.tasteatlas.com/boliche,https://cdn.tasteatlas.com//Images/Dishes/81fd3768548c4ac5a093642ceed53b35.jpg?mw=660,Beef Dish,Boliche,Cuba
https://www.tasteatlas.com/frita,https://cdn.tasteatlas.com//images/dishes/93b085a03ca64ca1b2f5a72f2682273a.jpg?mw=660,Burger,Frita,Cuba
https://www.tasteatlas.com/cucurucho,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Dessert,Cucurucho,Cuba
https://www.tasteatlas.com/arroz-con-maiz,https://cdn.tasteatlas.com//images/dishes/977beb96e81a470dafd6f7eccc0a1f7a.jpg?mw=660,Rice Dish,Arroz con maiz,Cuba
https://www.tasteatlas.com/vaca-frita,https://cdn.tasteatlas.com//images/dishes/87944a50374048acaf956f14ca53cccb.jpg?mw=660,Beef Dish,Vaca frita,Cuba
https://www.tasteatlas.com/mojo-de-ajo-cuba,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Sauce,Mojo de ajo,Cuba
https://www.tasteatlas.com/chuletas-de-puerco,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Pork Dish,Chuletas de puerco,Cuba
https://www.tasteatlas.com/fricase-de-pollo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Chicken Dish,FricasÃ© de pollo,Cuba
https://www.tasteatlas.com/pan-con-bistec,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Sandwich,Pan con bistec,Cuba
https://www.tasteatlas.com/arroz-imperial,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Casserole,Arroz imperial,Cuba
https://www.tasteatlas.com/pizza-cubana,https://cdn.tasteatlas.com//images/dishes/e12f44a647e1445a843b65316b062f76.jpg?mw=660,Pizza,Pizza cubana,Cuba
https://www.tasteatlas.com/pan-con-lechon,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Sandwich,Pan con lechÃ³n,Cuba
https://www.tasteatlas.com/rabo-encendido,https://cdn.tasteatlas.com//images/dishes/1abb7f13bac54d13bab3aa8cde4cb233.jpg?mw=660,Stew,Rabo encendido,Cuba
https://www.tasteatlas.com/pulpeta,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Ground Meat Dish,Pulpeta,Cuba
https://www.tasteatlas.com/bistec-de-palomilla,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Beef Dish,Bistec de palomilla,Cuba
https://www.tasteatlas.com/munyeta,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Vegetable Dish,Munyeta,Cuba
https://www.tasteatlas.com/boniatillo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Dessert,Boniatillo,Cuba
https://www.tasteatlas.com/elena-ruz,https://cdn.tasteatlas.com//images/dishes/e775609b79e74143bb1a7c16de81481a.jpg?mw=660,Sandwich,Elena Ruz,Cuba
https://www.tasteatlas.com/pan-con-timba,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Sandwich,Pan con timba,Cuba
https://www.tasteatlas.com/pargo-relleno-cuba,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Saltwater Fish Dish,Pargo relleno,Cuba
https://www.tasteatlas.com/torticas-de-moron,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Cookie,Torticas de MorÃ³n,Cuba
https://www.tasteatlas.com/huevos-habaneros,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Egg Dish,Huevos habaneros,Cuba
https://www.tasteatlas.com/red-snapper-a-la-santa-barbara,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Freshwater Fish Dish,Red Snapper a la Santa Barbara,Cuba
