search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/stifado-cyprus,https://cdn.tasteatlas.com//Images/Dishes/5c4aa0b40cfa4c1d84571b78a62fe4b6.jpg?mw=660,Stew,Stifado,Cyprus
https://www.tasteatlas.com/loukoumades-2,https://cdn.tasteatlas.com//images/dishes/e460c51adc3447639c4418cbaa439309.jpg?mw=660,Sweet Pastry,Loukoumades,Cyprus
https://www.tasteatlas.com/kleftiko-cyprus,https://cdn.tasteatlas.com//Images/Dishes/1c7b5cb1eb6642c9abbf6936cbeea24b.jpg?mw=660,Lamb/Mutton Dish,Kleftiko,Cyprus
https://www.tasteatlas.com/sheftalia,https://cdn.tasteatlas.com//Images/Dishes/dafe256fabbe4c3bb8349182f7397d07.jpg?mw=660,Ground Meat Dish,Sheftalia,Cyprus
https://www.tasteatlas.com/afelia,https://cdn.tasteatlas.com//Images/Dishes/3c0222a7193b4b5b8d539dd1ee3defe7.jpg?mw=660,Pork Dish,Afelia,Cyprus
https://www.tasteatlas.com/souvla,https://cdn.tasteatlas.com//Images/Dishes/d1799584dc1849a8b4d6714e568673c8.jpg?mw=660,Meat Dish,Souvla,Cyprus
https://www.tasteatlas.com/bourekia,https://cdn.tasteatlas.com//images/dishes/f1316b2feca3437095c6136a34ebf35f.jpg?mw=660,Pastry,Bourekia,Cyprus
https://www.tasteatlas.com/flaouna,https://cdn.tasteatlas.com//Images/Dishes/e73c9854525b4094a4dfc82581fa5b1c.jpg?mw=660,Sweet Pastry,Flaouna,Cyprus
https://www.tasteatlas.com/hellimli,https://cdn.tasteatlas.com//images/dishes/f619b9dcae2b48ea8e12e43ed4d5c6fa.jpg?mw=660,Bread,Hellimli,Cyprus
https://www.tasteatlas.com/lountza,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Pork Dish,Lountza,Cyprus
https://www.tasteatlas.com/loukoumigeroskipouxxx,https://cdn.tasteatlas.com//images/dishes/42c014b34f3541d9b4ec180934eb16af.jpg?mw=660,Dessert,Loukoumi geroskipou,Cyprus
https://www.tasteatlas.com/tsamarella,https://cdn.tasteatlas.com//images/dishes/707c992d3c41401f8a40055892774dc3.jpg?mw=660,Appetizer,Tsamarella,Cyprus
https://www.tasteatlas.com/sakoulas-cyprus,https://cdn.tasteatlas.com//Images/Dishes/86b988cf271f48ea8c19d0a352e5a635.jpg?mw=660,Dip,Labneh,Cyprus
https://www.tasteatlas.com/antinaxtes,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Side Dish,Antinaxtes,Cyprus
https://www.tasteatlas.com/shamishi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Sweet Pastry,Shamishi,Cyprus
https://www.tasteatlas.com/resi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Porridge,Resi,Cyprus
https://www.tasteatlas.com/apohtin,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Appetizer,Apohtin,Cyprus
