search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/knedliky,https://cdn.tasteatlas.com//Images/Dishes/beb7e6fabbca4a018553a352003e249e.jpg?mw=660,Dumplings,KnedlÃ­ky,Czechia
https://www.tasteatlas.com/gulas,https://cdn.tasteatlas.com//Images/Dishes/ac9575707133493f984feb3f97619e48.jpg?mw=660,Stew,GulÃ¡Å¡,Czechia
https://www.tasteatlas.com/bublanina,https://cdn.tasteatlas.com//Images/Dishes/28f6aa5fb4f14b65adf6b2fc172df188.jpg?mw=660,Cake,Bublanina,Czechia
https://www.tasteatlas.com/kolach,https://cdn.tasteatlas.com//Images/Dishes/318a93f09682496793856dfa06198829.jpg?mw=660,Sweet Pastry,KolÃ¡Äe,Czechia
https://www.tasteatlas.com/svickova,https://cdn.tasteatlas.com//images/dishes/816ef03512524348a002bdbcb449f7ef.jpg?mw=660,Beef Dish,SvÃ­ÄkovÃ¡,Czechia
https://www.tasteatlas.com/ovocne-knedliky,https://cdn.tasteatlas.com//Images/Dishes/0fc754462dde4b058002324656d6518c.jpg?mw=660,Dumplings,OvocnÃ© knedlÃ­ky,Czechia
https://www.tasteatlas.com/rizek,https://cdn.tasteatlas.com//Images/Dishes/8f1f4441e3e74fa88b100632bbb50739.jpg?mw=660,Meat Dish,ÅÃ­zek,Czechia
https://www.tasteatlas.com/sekana,https://cdn.tasteatlas.com//images/dishes/7ad3d3ffba094b209f22e566ab1504ea.jpg?mw=660,Ground Meat Dish,SekanÃ¡,Czechia
https://www.tasteatlas.com/houska,https://cdn.tasteatlas.com//Images/Dishes/d11d187528ea4ac1833d0eb9d6c0a73f.jpg?mw=660,Bread,Houska,Czechia
https://www.tasteatlas.com/misa,https://cdn.tasteatlas.com//Images/Dishes/16708686fb304d72b0eaee292fe81cc0.jpg?mw=660,Ice Cream,MiÅ¡a,Czechia
https://www.tasteatlas.com/chlebicky,https://cdn.tasteatlas.com//Images/Dishes/7d0b13a8798b48f9b02df8e8203f6200.jpg?mw=660,Sandwich type,ChlebÃ­Äky,Czechia
https://www.tasteatlas.com/pernik,https://cdn.tasteatlas.com//Images/Dishes/22e822c84963413bbc23b4f6042b5c59.jpg?mw=660,Cookie,Pernik,Czechia
https://www.tasteatlas.com/vanocni-cukrovi,https://cdn.tasteatlas.com//Images/Dishes/7673927b159b4be48d0b18e3acf4bb11.jpg?mw=660,Cookie,VÃ¡noÄnÃ­ cukrovÃ­,Czechia
https://www.tasteatlas.com/uzene,https://cdn.tasteatlas.com//images/dishes/ff3c01ebb9d3425b92ca564c587a9952.jpg?mw=660,Pork Dish,UzenÃ©,Czechia
