search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/smorrebrod,https://cdn.tasteatlas.com//Images/Dishes/38f732904c25404e969194da16fe3aed.jpg?mw=660,Sandwich type,SmÃ¸rrebrÃ¸d,Denmark
https://www.tasteatlas.com/danish-pastry,https://cdn.tasteatlas.com//Images/Dishes/51a44b52b30c4d8eb0306fb944e261d1.jpg?mw=660,Sweet Pastry,Danish Pastry,Denmark
https://www.tasteatlas.com/frikadeller,https://cdn.tasteatlas.com//Images/Dishes/1221a2d90d004c21bc37d6c0573829cf.jpg?mw=660,Meatballs,Frikadeller,Denmark
https://www.tasteatlas.com/smakager,https://cdn.tasteatlas.com//Images/Dishes/2b562ba1927543b19db32ff52564db51.jpg?mw=660,Cookie,SmÃ¥kager,Denmark
https://www.tasteatlas.com/stegt-flsk,https://cdn.tasteatlas.com//Images/Dishes/23be659637384b36a383bcb72d1370fe.jpg?mw=660,Pork Dish,Stegt flÃ¦sk,Denmark
https://www.tasteatlas.com/polser,https://cdn.tasteatlas.com//Images/Dishes/f3d6a801f5274d489c7712ef78bf2743.jpg?mw=660,Hot Dog,PÃ¸lser,Denmark
https://www.tasteatlas.com/lagkage,https://cdn.tasteatlas.com//Images/Dishes/cd276b9fad0541c4bf1cd11c30fd5044.jpg?mw=660,Cake,Lagkage,Denmark
https://www.tasteatlas.com/risengrd,https://cdn.tasteatlas.com//images/dishes/21f31723b1fe492191f9baf75df278c7.jpg?mw=660,Rice Dish,RisengrÃ¸d,Denmark
https://www.tasteatlas.com/flskesteg,https://cdn.tasteatlas.com//Images/Dishes/db2890c6d5a5422d9c832e8e0b0e68e5.jpg?mw=660,Pork Dish,FlÃ¦skesteg,Denmark
https://www.tasteatlas.com/stjerneskud,https://cdn.tasteatlas.com//Images/Dishes/8578738bee3e4da1abcf8fa6d2ad996d.jpg?mw=660,Sandwich,Stjerneskud,Denmark
https://www.tasteatlas.com/rdkal,https://cdn.tasteatlas.com//Images/Dishes/8c21030151e74962815aa344ee7d1d00.jpg?mw=660,Side Dish,RÃ¸dkÃ¥l,Denmark
https://www.tasteatlas.com/jodekager,https://cdn.tasteatlas.com//images/dishes/039c0229b5804bec965fb70e690e72c6.jpg?mw=660,Cookie,JÃ¸dekager,Denmark
https://www.tasteatlas.com/bleskiver,https://cdn.tasteatlas.com//Images/Dishes/981bd4e0ce474faea94acb697366b6c7.jpg?mw=660,Pancake,Ãbleskiver,Denmark
https://www.tasteatlas.com/tarteletter,https://cdn.tasteatlas.com//images/dishes/7def78aec0114e5f86c218eda7e6127b.jpg?mw=660,Snack,Tarteletter,Denmark
https://www.tasteatlas.com/rugbrd,https://cdn.tasteatlas.com//Images/Dishes/00cb2aa07c87445a94e0beb25b82f1c0.jpg?mw=660,Bread,RugbrÃ¸d,Denmark
https://www.tasteatlas.com/koldskal,https://cdn.tasteatlas.com//Images/Dishes/56c0134b33ce475fb5410149e7d23a6a.jpg?mw=660,Sweet Soup,KoldskÃ¥l,Denmark
https://www.tasteatlas.com/vaniljekranse,https://cdn.tasteatlas.com//Images/Dishes/5ee184527a7244ffbd36d41179f4ac36.jpg?mw=660,Cookie,Vaniljekranse,Denmark
https://www.tasteatlas.com/aeblekage,https://cdn.tasteatlas.com//Images/Dishes/4fcccddf77a048769522181d8dabd306.jpg?mw=660,Dessert,Ãblekage,Denmark
https://www.tasteatlas.com/ggekage,https://cdn.tasteatlas.com//Images/Dishes/f4a9d7f39fe3455181fb17ba21ea2dec.jpg?mw=660,Egg Dish,Ãggekage,Denmark
https://www.tasteatlas.com/leverpostej,https://cdn.tasteatlas.com//Images/Dishes/7110e2cda30141cc832ee1cd5bc12592.jpg?mw=660,PÃ¢tÃ©,Leverpostej,Denmark
https://www.tasteatlas.com/fiskefrikadeller,https://cdn.tasteatlas.com//images/dishes/76f480de716b474c9cf3664ae8a0f68e.jpg?mw=660,Saltwater Fish Dish,Fiskefrikadeller,Denmark
https://www.tasteatlas.com/hakkebf,https://cdn.tasteatlas.com//Images/Dishes/1cca1f1908af4cc9b80184c9a5e92c82.jpg?mw=660,Ground Meat Dish,HakkebÃ¸f,Denmark
https://www.tasteatlas.com/gammeldags-kylling,https://cdn.tasteatlas.com//images/dishes/f8b4fc4537a4438fa0c1150b99b18a55.jpg?mw=660,Chicken Dish,Gammeldags kylling,Denmark
https://www.tasteatlas.com/boller-i-curry,https://cdn.tasteatlas.com//images/dishes/70c173587d4646ca9dc517f0669ec694.jpg?mw=660,Meatballs,Boller i karry,Denmark
https://www.tasteatlas.com/mrbradbffer-i-fldesovs,https://cdn.tasteatlas.com//images/dishes/9fd8a10965f24241a5717a1a28e3a35d.jpg?mw=660,Casserole,MÃ¸rbradbÃ¸ffer i flÃ¸desovs,Denmark
https://www.tasteatlas.com/drommekage,https://cdn.tasteatlas.com//images/dishes/2160b343c05f43c4969beb30139a9a08.jpg?mw=660,Cake,DrÃ¸mmekage,Denmark
https://www.tasteatlas.com/kransekage,https://cdn.tasteatlas.com//Images/Dishes/c52a4c7ef328458b96f310002f66989f.jpg?mw=660,Cake,Kransekage,Denmark
https://www.tasteatlas.com/kammerjunker,https://cdn.tasteatlas.com//images/dishes/e82477a399b64f4da3e99a41fa6b0b63.jpg?mw=660,Cookie,Kammerjunker,Denmark
https://www.tasteatlas.com/peberndder,https://cdn.tasteatlas.com//Images/Dishes/fcfb66fa25b04723ab042dc0e65b4588.jpg?mw=660,Cookie,PebernÃ¸dder,Denmark
https://www.tasteatlas.com/brndende-krlighed,https://cdn.tasteatlas.com//Images/Dishes/65b927f1d61842ba9b5c2d37aaa7c6f1.jpg?mw=660,Meat Dish,BrÃ¦ndende kÃ¦rlighed,Denmark
https://www.tasteatlas.com/palgschokolade,https://cdn.tasteatlas.com//images/dishes/a39f0b78520b489f8b8795ba4929f4b9.jpg?mw=660,Chocolate Dessert,PÃ¥lÃ¦gschokolade,Denmark
https://www.tasteatlas.com/medisterplse,https://cdn.tasteatlas.com//images/dishes/b6a0a7ae7b8f44dcbb4b5a39b5caca4b.jpg?mw=660,Sausage,MedisterpÃ¸lse,Denmark
https://www.tasteatlas.com/kagemand,https://cdn.tasteatlas.com//images/dishes/2a19f33118f7496b87176667180732d6.jpg?mw=660,Dessert,Kagemand,Denmark
https://www.tasteatlas.com/frugtsalat,https://cdn.tasteatlas.com//Images/Dishes/0587d98a6de249d8930bcd6072cca99f.jpg?mw=660,Fruit Salad,Frugtsalat,Denmark
https://www.tasteatlas.com/andesteg,https://cdn.tasteatlas.com//Images/Dishes/c907313d17c844b8b58d6f7668240687.jpg?mw=660,Duck Dish,Andesteg,Denmark
https://www.tasteatlas.com/sol-over-gudhjem,https://cdn.tasteatlas.com//Images/Dishes/4119ca46d1c2469abb968178edc37202.jpg?mw=660,Sandwich,Sol over Gudhjem,Denmark
https://www.tasteatlas.com/bofsandwich,https://cdn.tasteatlas.com//images/dishes/1ed0e4bfb3534b21b0f0a8b470278a8f.jpg?mw=660,Burger,BÃ¸fsandwich,Denmark
https://www.tasteatlas.com/flskestegssandwich,https://cdn.tasteatlas.com//images/dishes/835e67f88367466eae4cc609f6b76923.jpg?mw=660,Sandwich,FlÃ¦skestegssandwich,Denmark
https://www.tasteatlas.com/risalamande,https://cdn.tasteatlas.com//Images/Dishes/2c62e7255fbf4c89977e646a0f309a16.jpg?mw=660,Pudding,Risalamande,Denmark
https://www.tasteatlas.com/hjerter-i-fldesovs,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Offal Dish,Hjerter i flÃ¸desovs,Denmark
https://www.tasteatlas.com/citronfromage,https://cdn.tasteatlas.com//Images/Dishes/46f9a03c557d407f872cc798eae5e6e6.jpg?mw=660,Dessert,Citronfromage,Denmark
https://www.tasteatlas.com/gule-rter,https://cdn.tasteatlas.com//images/dishes/27bf3773f6074509b268fc4dd3c90973.jpg?mw=660,Vegetable Soup,Gule Ãrter,Denmark
https://www.tasteatlas.com/dyrlgens-natmad,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Sandwich,DyrlÃ¦gens natmad,Denmark
https://www.tasteatlas.com/bleflsk,https://cdn.tasteatlas.com//images/dishes/8934a22818ee4f0dba315bcb2d6617d4.jpg?mw=660,Pork Dish,ÃbleflÃ¦sk,Denmark
https://www.tasteatlas.com/llebrd,https://cdn.tasteatlas.com//images/dishes/39b0a6467c6f489f97e1d804a491fcd1.jpg?mw=660,Porridge,ÃllebrÃ¸d,Denmark
https://www.tasteatlas.com/pariserbf,https://cdn.tasteatlas.com//images/dishes/d162a05d8f1e4996af963dcfc7001349.jpg?mw=660,Beef Dish,PariserbÃ¸f,Denmark
https://www.tasteatlas.com/rdspttefilet,https://cdn.tasteatlas.com//images/dishes/7fe7b88798b3477f92ce60bca6e2be5c.jpg?mw=660,Saltwater Fish Dish,RÃ¸dspÃ¦ttefilet,Denmark
https://www.tasteatlas.com/culottesteg,https://cdn.tasteatlas.com//images/dishes/b3b95067f8884c5c8e5618c368960041.jpg?mw=660,Beef Dish,Culottesteg,Denmark
https://www.tasteatlas.com/stegte-sild,https://cdn.tasteatlas.com//images/dishes/536aa3877d07469fa6727d1dd1771648.jpg?mw=660,Saltwater Fish Dish,Stegte sild,Denmark
https://www.tasteatlas.com/krebinetter,https://cdn.tasteatlas.com//images/dishes/d633a48a910a4c02b7ea6537ade150de.jpg?mw=660,Ground Meat Dish,Krebinetter,Denmark
https://www.tasteatlas.com/millionbf,https://cdn.tasteatlas.com//images/dishes/d42a0259eb404180929d24e88cdb986b.jpg?mw=660,Stew,MillionbÃ¸f,Denmark
https://www.tasteatlas.com/paskelam,https://cdn.tasteatlas.com//images/dishes/e839db4454794d508ba42fa6e519453b.jpg?mw=660,Lamb/Mutton Dish,PÃ¥skelam,Denmark
https://www.tasteatlas.com/rd-plse,https://cdn.tasteatlas.com//images/dishes/e7de5ff9cc0d4bd3b2d8b1745c4ac5bc.jpg?mw=660,Sausage,RÃ¸d pÃ¸lse,Denmark
https://www.tasteatlas.com/stegt-gas,https://cdn.tasteatlas.com//images/dishes/86da534ecb6e4361b6d5c7af24101999.jpg?mw=660,Goose Dish,Stegt gÃ¥s,Denmark
https://www.tasteatlas.com/kiviak,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Game Dish,Kiviak,Denmark
