search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/pica-pollo,https://cdn.tasteatlas.com//Images/Dishes/21d9dfe874f6419590b174219ff049fc.jpg?mw=660,Fried Chicken Dish,Pica pollo,Dominican Republic
https://www.tasteatlas.com/carne-guisada,https://cdn.tasteatlas.com//images/dishes/8d94472e14da4e0c90eba9ad78ecdb37.jpg?mw=660,Stew,Carne guisada,Dominican Republic
https://www.tasteatlas.com/mangu,https://cdn.tasteatlas.com//Images/Dishes/d027bfab58994f93a9048fd51662d58d.jpg?mw=660,Breakfast,Mang̼,Dominican Republic
https://www.tasteatlas.com/chivo-guisado,https://cdn.tasteatlas.com//images/dishes/f58d0a468cf94b0c9a70945bb6592046.jpg?mw=660,Stew,Chivo guisado,Dominican Republic
https://www.tasteatlas.com/la-bandera-dominicana,https://cdn.tasteatlas.com//images/dishes/27305d70e04f4d3a8fcdca962badd80d.jpg?mw=660,Meat Dish,La bandera Dominicana,Dominican Republic
https://www.tasteatlas.com/yaroa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Casserole,Yaroa,Dominican Republic
https://www.tasteatlas.com/ninos-envueltos,https://cdn.tasteatlas.com//images/dishes/f02664362f864db9a79606dd0db99a48.jpg?mw=660,Beef Dish,Ni̱os envueltos,Dominican Republic
https://www.tasteatlas.com/chimichurri-burger,https://cdn.tasteatlas.com//images/dishes/3a5c4644db8a408aa56d65d66bb5ea8d.jpg?mw=660,Burger,Chimichurri Burger,Dominican Republic
https://www.tasteatlas.com/chapea,https://cdn.tasteatlas.com//images/dishes/5923293669544543b2b791896fcf13c1.jpg?mw=660,Stew,Chapea,Dominican Republic
https://www.tasteatlas.com/suspiritos,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Dessert,Suspiritos,Dominican Republic
https://www.tasteatlas.com/bacalao-guisado,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Saltwater Fish Dish,Bacalao guisado,Dominican Republic
https://www.tasteatlas.com/moro-de-habichuelas,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Rice Dish,Moro de habichuelas,Dominican Republic
https://www.tasteatlas.com/yaniqueque,https://cdn.tasteatlas.com//images/dishes/26846db0c9184ac8b01ae77d40cba2c8.jpg?mw=660,Flatbread,Yaniqueque,Dominican Republic
https://www.tasteatlas.com/palmito-guisado,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Stew,Palmito guisado,Dominican Republic
https://www.tasteatlas.com/ensalada-de-molondrones,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Salad,Ensalada de molondrones,Dominican Republic
