search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/falafel-egypt,https://cdn.tasteatlas.com//images/dishes/6a7d870a48e34847b06f1711907ccf8a.jpg?mw=660,Street Food,Ta'meya,Egypt
https://www.tasteatlas.com/kunafah,https://cdn.tasteatlas.com//Images/Dishes/fea42741c0934a0494256d70187f0803.jpg?mw=660,Sweet Pastry,KunÄfah,Egypt
https://www.tasteatlas.com/kushari,https://cdn.tasteatlas.com//Images/Dishes/bc0a3be4164b484ea01512c3ab6d4467.jpg?mw=660,Rice Dish,Kushari,Egypt
https://www.tasteatlas.com/qatayef,https://cdn.tasteatlas.com//images/dishes/8b3fd75c843748ae8433d1c44d19a5b3.jpg?mw=660,Dessert,Qatayef,Egypt
https://www.tasteatlas.com/kebda-eskandarani,https://cdn.tasteatlas.com//images/dishes/f4d8a7febf434305a362fbf8a3936986.jpg?mw=660,Offal Dish,Kebda Eskandarani,Egypt
https://www.tasteatlas.com/mulukhiyah,https://cdn.tasteatlas.com//Images/Dishes/f8c79a3543e348eab489a5f2be352068.jpg?mw=660,Vegetable Soup,Mulukhiyah,Egypt
https://www.tasteatlas.com/fesikh,https://cdn.tasteatlas.com//images/dishes/490647167f314613bd07cbe69f054538.jpg?mw=660,Saltwater Fish Dish,Fesikh,Egypt
https://www.tasteatlas.com/shawarma-egypt,https://cdn.tasteatlas.com//images/dishes/a2a68bb8904548639a51bbb609c50821.jpg?mw=660,Street Food,Shawarma,Egypt
https://www.tasteatlas.com/ful-medames,https://cdn.tasteatlas.com//Images/Dishes/6663a3bf6e854199973e94f6117f6c64.jpg?mw=660,Stew,Ful medames,Egypt
https://www.tasteatlas.com/hummus-egypt,https://cdn.tasteatlas.com//images/dishes/61d5db7fc3cc42c896813471d334d052.jpg?mw=660,Dip,Hummus,Egypt
https://www.tasteatlas.com/samak-mashwi,https://cdn.tasteatlas.com//images/dishes/7a75334cde174550ad6544a58d25edb9.jpg?mw=660,Saltwater Fish Dish,Samak mashwi,Egypt
https://www.tasteatlas.com/umm-ali,https://cdn.tasteatlas.com//images/dishes/71f3d6d18b9a45db9ba8ee31e85e0c30.jpg?mw=660,Dessert,Umm ali,Egypt
https://www.tasteatlas.com/hawawshi,https://cdn.tasteatlas.com//Images/Dishes/184155020d564d0ea7f74cfa1f2c03cb.jpg?mw=660,Snack,Hawawshi,Egypt
https://www.tasteatlas.com/labneh-egypt,https://cdn.tasteatlas.com//Images/Dishes/86b988cf271f48ea8c19d0a352e5a635.jpg?mw=660,Dip,Labneh,Egypt
https://www.tasteatlas.com/eggah,https://cdn.tasteatlas.com//images/dishes/c06e9655101b4cdc82ad0191e4aab394.jpg?mw=660,Egg Dish,Eggah,Egypt
https://www.tasteatlas.com/luqmat-al-qadi,https://cdn.tasteatlas.com//images/dishes/e460c51adc3447639c4418cbaa439309.jpg?mw=660,Sweet Pastry,Luqmat al qadi,Egypt
https://www.tasteatlas.com/shakshouka-egypt,https://cdn.tasteatlas.com//Images/Dishes/16db5759e81b4166a0eb8bccaa211e6a.jpg?mw=660,Egg Dish,Shakshouka,Egypt
https://www.tasteatlas.com/fetir-meshaltet,https://cdn.tasteatlas.com//images/dishes/7d39d0483c634a879ae7cd72fd691836.jpg?mw=660,Sweet Pastry,Fetir meshaltet,Egypt
https://www.tasteatlas.com/kamounia-egypt,https://cdn.tasteatlas.com//images/dishes/4f5e07f129e34151b65417af306577bb.jpg?mw=660,Stew,Kamounia,Egypt
https://www.tasteatlas.com/rozz-meammar,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Rice Dish,Rozz meÊ¿ammar,Egypt
https://www.tasteatlas.com/torly,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Casserole,Torly,Egypt
https://www.tasteatlas.com/taameya,https://cdn.tasteatlas.com//images/dishes/1726c8f827804ec8aff0d4af5b000ee9.jpg?mw=660,Street Food,Taameya,Egypt
https://www.tasteatlas.com/macaroni-bechamel,https://cdn.tasteatlas.com//images/dishes/e17aaf1ebae446b0ab7377c5318a8d66.jpg?mw=660,Pasta,Macaroni bÃ©chamel,Egypt
https://www.tasteatlas.com/sayadeya,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Saltwater Fish Dish,Sayadeya,Egypt
https://www.tasteatlas.com/aish-baladi,https://cdn.tasteatlas.com//images/dishes/7e3e5711678945ed9d79aa4591d9d84c.jpg?mw=660,Flatbread,Aish baladi,Egypt
https://www.tasteatlas.com/ful-nabed,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Dip,Ful nabed,Egypt
https://www.tasteatlas.com/aish-merahrah,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Flatbread,Aish merahrah,Egypt
https://www.tasteatlas.com/michoteta,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Salad,Michoteta,Egypt
