search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/curtido,https://cdn.tasteatlas.com//Images/Dishes/6c836be8f0094a9e8150705a12fad69d.jpg?mw=660,Relish,Curtido,El Salvador
https://www.tasteatlas.com/pupusa,https://cdn.tasteatlas.com//Images/Dishes/ccc825a4428b4ff591c9cee063886f34.jpg?mw=660,Street Food,Pupusa,El Salvador
https://www.tasteatlas.com/tamal-de-pollo,https://cdn.tasteatlas.com//images/dishes/857bb33d8c2f4bcf99feb1312599202f.jpg?mw=660,Chicken Dish,Tamal de pollo,El Salvador
https://www.tasteatlas.com/coctel-de-conchas,https://cdn.tasteatlas.com//images/dishes/928d3c22e9d045e2b89f7ea88dc61b8c.jpg?mw=660,Clam Dish,CÃ³ctel de conchas,El Salvador
https://www.tasteatlas.com/sopa-de-pata,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Offal Soup,Sopa de pata,El Salvador
https://www.tasteatlas.com/lomo-relleno,https://cdn.tasteatlas.com//images/dishes/4162e315cc704a3bba2ec6f71e6a4411.jpg?mw=660,Meat Dish,Lomo relleno,El Salvador
https://www.tasteatlas.com/casamiento,https://cdn.tasteatlas.com//images/dishes/5c649ff4c39d4a06950fb2034fbc1314.jpg?mw=660,Rice Dish,Casamiento,El Salvador
https://www.tasteatlas.com/tamales-pisques,https://cdn.tasteatlas.com//images/dishes/da00a240aaf3472390fedf1c8d8f1beb.jpg?mw=660,Vegetable Dish,Tamales pisques,El Salvador
https://www.tasteatlas.com/sopa-de-gallina-india,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Chicken Soup,Sopa de gallina india,El Salvador
https://www.tasteatlas.com/pupusa-de-queso-con-loroco,,Street Food,Pupusa de queso con loroco,El Salvador
https://www.tasteatlas.com/quesadilla-salvadorena,,Cake,Quesadilla SalvadoreÃ±a,El Salvador
https://www.tasteatlas.com/yuca-con-chicharron-el-salvador,,Side Dish,Yuca con chicharrÃ³n,El Salvador
https://www.tasteatlas.com/leche-poleada,,Custard,Leche poleada,El Salvador
