search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/kohuke,https://cdn.tasteatlas.com//images/dishes/ea4e3c4750b4496aae070b70037d151c.jpg?mw=660,Cheese Dessert,Kohuke,Estonia
https://www.tasteatlas.com/pirukas,https://cdn.tasteatlas.com//images/dishes/ea0b1414511844a2972287cbb8800c96.jpg?mw=660,Savory Pastry,Pirukas,Estonia
https://www.tasteatlas.com/kama,https://cdn.tasteatlas.com//images/dishes/42952983b1c54460a1c30b1437f3ee57.jpg?mw=660,Porridge,Kama,Estonia
https://www.tasteatlas.com/verivorst,https://cdn.tasteatlas.com//images/dishes/b9fbcd18d414469d9f5f7618286c06e8.jpg?mw=660,Blood Sausage,Verivorst,Estonia
https://www.tasteatlas.com/kohupiimakreem,https://cdn.tasteatlas.com//images/dishes/c5089b81a5b5473390097decdec22d69.jpg?mw=660,Cheese Dessert,Kohupiimakreem,Estonia
https://www.tasteatlas.com/rosolje,https://cdn.tasteatlas.com//images/dishes/8c5ceba907c34dbb82c6d7f3ebcbb81b.jpg?mw=660,Salad,Rosolje,Estonia
https://www.tasteatlas.com/kiluvoileib,https://cdn.tasteatlas.com//images/dishes/34e9439fcd8049d2ac81cd86e772fc70.jpg?mw=660,Sandwich,KiluvÃµileib,Estonia
https://www.tasteatlas.com/leivasupp,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Sweet Soup,Leivasupp,Estonia
https://www.tasteatlas.com/mulgipuder,https://cdn.tasteatlas.com//Images/Dishes/e0e9106c3bea4a9584b55d14f9b06e56.jpg?mw=660,Porridge,Mulgipuder,Estonia
https://www.tasteatlas.com/sult,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Appetizer,SÃ¼lt,Estonia
