search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/injera,https://cdn.tasteatlas.com//Images/Dishes/28c00848c6c34a25b875e69765e1d206.jpg?mw=660,Flatbread,Injera,Ethiopia
https://www.tasteatlas.com/wat,https://cdn.tasteatlas.com//images/dishes/676bf431e57448a29c25f3736c0573e8.jpg?mw=660,Stew,Wat,Ethiopia
https://www.tasteatlas.com/kitfo,https://cdn.tasteatlas.com//Images/Dishes/1da821e8c98a42f38ede3fd8556652d2.jpg?mw=660,Beef Dish,Kitfo,Ethiopia
https://www.tasteatlas.com/tibs,https://cdn.tasteatlas.com//images/dishes/8fe2189a9a6e4815907eeef210c855c5.jpg?mw=660,Meat Dish,Tibs,Ethiopia
https://www.tasteatlas.com/fit-fit,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Breakfast,Fit-fit,Ethiopia
https://www.tasteatlas.com/genfo,https://cdn.tasteatlas.com//images/dishes/d64fe1f3c3754340bfbc7e20510110ef.jpg?mw=660,Porridge,Genfo,Ethiopia
https://www.tasteatlas.com/kitcha,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Flatbread,Kitcha,Ethiopia
https://www.tasteatlas.com/shiro,https://cdn.tasteatlas.com//images/dishes/a24594b10e634e17a9201a1eb314f78e.jpg?mw=660,Stew,Shiro,Ethiopia
https://www.tasteatlas.com/doro-wat,https://cdn.tasteatlas.com//Images/Dishes/c3bdca39282a42b082bfea7df7ff07da.jpg?mw=660,Stew,Doro wat,Ethiopia
https://www.tasteatlas.com/azifa,https://cdn.tasteatlas.com//images/dishes/ed496c425fb045438329730536fdc04f.jpg?mw=660,Salad,Azifa,Ethiopia
https://www.tasteatlas.com/sega-wat,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Stew,Sega wat,Ethiopia
https://www.tasteatlas.com/fatira,https://cdn.tasteatlas.com//images/dishes/f99dcc3dfcc642348a40b19f51f32b74.jpg?mw=660,Pancake,Fatira,Ethiopia
https://www.tasteatlas.com/gored-gored,https://cdn.tasteatlas.com//images/dishes/1999e01b68c44ca993ce3b1e249af40e.jpg?mw=660,Beef Dish,Gored gored,Ethiopia
https://www.tasteatlas.com/kik-alicha,https://cdn.tasteatlas.com//Images/Dishes/632981faf2a2486392869db014c9b27a.jpg?mw=660,Stew,Kik alicha,Ethiopia
https://www.tasteatlas.com/kinche,https://cdn.tasteatlas.com//images/dishes/5746f1c174664a01990eb04377c9228a.jpg?mw=660,Porridge,Kinche,Ethiopia
https://www.tasteatlas.com/key-wat,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Stew,Key wat,Ethiopia
https://www.tasteatlas.com/pasta-saltata,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Pasta,Pasta saltata,Ethiopia
https://www.tasteatlas.com/misir-wat,https://cdn.tasteatlas.com//images/dishes/c29c99f0530143158a7bef2ef1236a83.jpg?mw=660,Stew,Misir wat,Ethiopia
https://www.tasteatlas.com/atakilt-wat,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Stew,Atakilt wat,Ethiopia
https://www.tasteatlas.com/alicha-wat,https://cdn.tasteatlas.com//images/dishes/7d9fe373c8954daf92d00451f493c42f.jpg?mw=660,Stew,Alicha wat,Ethiopia
https://www.tasteatlas.com/bayenetu,https://cdn.tasteatlas.com//images/dishes/ac7193047f6049a99d27740ca1ccb791.jpg?mw=660,Vegetable Dish,Bayenetu,Ethiopia
https://www.tasteatlas.com/gomen-be-siga,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Beef Dish,Gomen be siga,Ethiopia
https://www.tasteatlas.com/fossolia,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Vegetable Dish,Fossolia,Ethiopia
https://www.tasteatlas.com/kocho,https://cdn.tasteatlas.com//images/dishes/581dc31887424a8ba6f8f49f9efbc07b.jpg?mw=660,Flatbread,Kocho,Ethiopia
https://www.tasteatlas.com/himbasha,https://cdn.tasteatlas.com//Images/Dishes/2f781c4c6725422996cdd2c60c0e1f08.jpg?mw=660,Sweet Bread,Himbasha,Ethiopia
https://www.tasteatlas.com/derek-tibs,https://cdn.tasteatlas.com//images/dishes/e6299f2e66cb486397970d5f53a7623c.jpg?mw=660,Meat Dish,Derek tibs,Ethiopia
https://www.tasteatlas.com/tere-siga,https://cdn.tasteatlas.com//images/dishes/11880f35e34a4ee7819130bcacccca66.jpg?mw=660,Meat Dish,Tere siga,Ethiopia
https://www.tasteatlas.com/kolo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Snack,Kolo,Ethiopia
https://www.tasteatlas.com/awaze-sauce,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Sauce,Awaze Sauce,Ethiopia
