search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/kokoda,https://cdn.tasteatlas.com//images/dishes/61bdb4dcfc83424587b4a8b5ef6f9323.jpg?mw=660,Saltwater Fish Dish,Kokoda,Fiji
https://www.tasteatlas.com/lovo,https://cdn.tasteatlas.com//images/dishes/b7ab3b8ab4c740aead925cce5beee23a.jpg?mw=660,Technique,Lovo,Fiji
https://www.tasteatlas.com/fish-lolo,https://cdn.tasteatlas.com//images/dishes/5ece0feb67ae4f0faa2230884b5c2cf0.jpg?mw=660,Stew,Fish lolo,Fiji
https://www.tasteatlas.com/tavioka,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Dessert,Tavioka,Fiji
https://www.tasteatlas.com/vakalolo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Dessert,Vakalolo,Fiji
https://www.tasteatlas.com/rourou,https://cdn.tasteatlas.com//images/dishes/1cf2ae02969f45c4bb23dc2467f2924d.jpg?mw=660,Side Dish,Rourou,Fiji
https://www.tasteatlas.com/topoi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Dumplings,Topoi,Fiji
https://www.tasteatlas.com/babakau,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Breakfast,Babakau,Fiji
https://www.tasteatlas.com/vakalavalava,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Dessert,Vakalavalava,Fiji
https://www.tasteatlas.com/purini,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Dessert,Purini,Fiji
https://www.tasteatlas.com/tinned-marchri-tarkari,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Stew,Tinned marchri tarkari,Fiji
https://www.tasteatlas.com/aloo-boda-tarkari,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Stew,Aloo boda tarkari,Fiji
https://www.tasteatlas.com/fish-suruwa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Stew,Fish suruwa,Fiji
https://www.tasteatlas.com/kovu-walu,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Saltwater Fish Dish,Kovu walu,Fiji
https://www.tasteatlas.com/baigan-valo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Saltwater Fish Dish,Baigan valo,Fiji
https://www.tasteatlas.com/ura-vakalolo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Shrimp/Prawn Dish,Ura vakalolo,Fiji
https://www.tasteatlas.com/lolo-buns,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Sweet Bread,Lolo Buns,Fiji
https://www.tasteatlas.com/fijian-mud-pie,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Sweet Pie,Fijian Mud Pie,Fiji
https://www.tasteatlas.com/fijian-raita,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Salad,Fijian Raita,Fiji
