search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/brie-de-meaux,https://cdn.tasteatlas.com//images/ingredients/1682087a2b054fd498d440828bcfd893.jpg?mw=660,Cheese,Brie de Meaux,France
https://www.tasteatlas.com/camembert,https://cdn.tasteatlas.com//images/ingredients/a4916fee88a54021adf9a85c0cd9a2ed.jpg?mw=660,Cheese,Camembert de Normandie,France
https://www.tasteatlas.com/ganache,https://cdn.tasteatlas.com//images/ingredients/18c9b201ef77401fbc56a09c6deab96a.jpg?mw=660,Confectionery,Ganache,France
https://www.tasteatlas.com/roquefort,https://cdn.tasteatlas.com//images/ingredients/5f87e9bc9c4f43e5a56d071359400d19.jpg?mw=660,Cheese,Roquefort,France
https://www.tasteatlas.com/comte,https://cdn.tasteatlas.com//Images/Ingredients/4353856b08d541dfb4200d133fb5121a.jpg?mw=660,Cheese,ComtÃ©,France
https://www.tasteatlas.com/fines-herbes,https://cdn.tasteatlas.com//images/ingredients/e377b661e6764ff395a1388af8475ac8.jpg?mw=660,Herb,Fines herbes,France
https://www.tasteatlas.com/cayenne-pepper,https://cdn.tasteatlas.com//images/ingredients/c5c814682d91498f9c9cdfe1e7c7f94b.jpg?mw=660,Hot Pepper,Cayenne Pepper,France
https://www.tasteatlas.com/moutarde-de-dijon,https://cdn.tasteatlas.com//Images/Ingredients/643175d9f7314db08b13d5874699dc4a.jpg?mw=660,Mustard,Moutarde de Dijon,France
https://www.tasteatlas.com/reblochon,https://cdn.tasteatlas.com//Images/Ingredients/d1938d3044bc401aa385f29d85d5407c.jpg?mw=660,Cheese,Reblochon,France
https://www.tasteatlas.com/aioli,https://cdn.tasteatlas.com//images/ingredients/c27ded8ace5e4e2a9b6a6c1b62dc1541.jpg?mw=660,Condiment,AÃ¯oli,France
https://www.tasteatlas.com/fromage-blanc,https://cdn.tasteatlas.com//images/ingredients/ae2d6c073db9416480b4a6e11d8ab154.jpg?mw=660,Cheese,Fromage blanc,France
https://www.tasteatlas.com/fromage-frais,https://cdn.tasteatlas.com//images/ingredients/15e4c2a0a26041e19f282358a2aa862c.jpg?mw=660,Cheese,Fromage Frais,France
https://www.tasteatlas.com/creme-fraiche,https://cdn.tasteatlas.com//images/ingredients/82b038fbbc5d4255808900eb01eabd81.jpg?mw=660,Cream,CrÃ¨me fraÃ®che,France
