search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/khachapuri,https://cdn.tasteatlas.com//images/dishes/dfe5095fa6854403ac8b9fe86a30b01a.jpg?mw=660,Savory Pie,Khachapuri,Georgia
https://www.tasteatlas.com/khinkali,https://cdn.tasteatlas.com//Images/Dishes/d9ae0ef06bc54f7cb4e6b5b928bc6f41.jpg?mw=660,Dumplings,Khinkali,Georgia
https://www.tasteatlas.com/lobio,https://cdn.tasteatlas.com//Images/Dishes/3d08e62bca2f494996321c92c044af70.jpg?mw=660,Stew,Lobio,Georgia
https://www.tasteatlas.com/shashlik-georgia,https://cdn.tasteatlas.com//Images/Dishes/e6d621b9d0d1454199f48e0db7c05b09.jpg?mw=660,Meat Dish,Shashlik,Georgia
https://www.tasteatlas.com/kharcho,https://cdn.tasteatlas.com//Images/Dishes/db282d4d8ae84d4f9b7b1e0d905bad74.jpg?mw=660,Meat Soup,Kharcho,Georgia
https://www.tasteatlas.com/chicken-tabaka,https://cdn.tasteatlas.com//images/dishes/dd0f89d165e4437c8903c2cfcfeb32c3.jpg?mw=660,Chicken Dish,Chicken tabaka,Georgia
https://www.tasteatlas.com/mtsvadi,https://cdn.tasteatlas.com//Images/Dishes/e0f44dd7956644589fc006ceee81d7c0.jpg?mw=660,Meat Dish,Mtsvadi,Georgia
https://www.tasteatlas.com/kupati,https://cdn.tasteatlas.com//Images/Dishes/4633e7e70f2b4f259d90100b1c819fce.jpg?mw=660,Sausage,Kupati,Georgia
https://www.tasteatlas.com/tolma,https://cdn.tasteatlas.com//Images/Dishes/76d736d504e347f1bfc9dbec1830bb3a.jpg?mw=660,Ground Meat Dish,Tolma,Georgia
https://www.tasteatlas.com/lobiani,https://cdn.tasteatlas.com//Images/Dishes/4a9e275065bf4d379891ddab38a629f7.jpg?mw=660,Bread,Lobiani,Georgia
https://www.tasteatlas.com/ajika,https://cdn.tasteatlas.com//Images/Dishes/2458430f922b4657b48365150c99ce93.jpg?mw=660,Dip,Ajika,Georgia
