search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/pretzel,https://cdn.tasteatlas.com//images/dishes/a3d9f03625f14029a24dcadc88910171.jpg?mw=660,Bread,Pretzel,Germany
https://www.tasteatlas.com/bratwurst,https://cdn.tasteatlas.com//Images/Dishes/de9c2d8d21c5438580ee42ed9dfa41e4.jpg?mw=660,Sausage,Bratwurst,Germany
https://www.tasteatlas.com/schwarzwalder-kirschtorte,https://cdn.tasteatlas.com//Images/Dishes/b19aebb29acd4062b729913ed0af1692.jpg?mw=660,Cake,SchwarzwÃ¤lder Kirschtorte,Germany
https://www.tasteatlas.com/currywurst,https://cdn.tasteatlas.com//images/dishes/092c3f75df9b4d14ad7ef84308fc8dd2.jpg?mw=660,Sausage,Currywurst,Germany
https://www.tasteatlas.com/lebkuchen,https://cdn.tasteatlas.com//images/dishes/51106e1227fd4e3e8189cbfce83eaf67.jpg?mw=660,Cookie,Lebkuchen,Germany
https://www.tasteatlas.com/sauerkraut,https://cdn.tasteatlas.com//Images/Dishes/8920a1b2a09245a0928f64a915c0bb36.jpg?mw=660,Side Dish,Sauerkraut,Germany
https://www.tasteatlas.com/stollen,https://cdn.tasteatlas.com//Images/Dishes/fe327fabf2724f6da2d19e605c335787.jpg?mw=660,Sweet Bread,Stollen,Germany
https://www.tasteatlas.com/sauerbraten,https://cdn.tasteatlas.com//images/dishes/79dceb1607db46a7af6a42e2f84417a9.jpg?mw=660,Beef Dish,Sauerbraten,Germany
https://www.tasteatlas.com/leberkase,https://cdn.tasteatlas.com//Images/Dishes/ce6226bba9e049638de9401a82af9aea.jpg?mw=660,Ground Meat Dish,LeberkÃ¤se,Germany
https://www.tasteatlas.com/bavarian-cream,https://cdn.tasteatlas.com//images/dishes/9db4d4d5949f4601a19096527573729d.jpg?mw=660,Custard,Bavarian Cream,Germany
https://www.tasteatlas.com/weiwurste,https://cdn.tasteatlas.com//Images/Dishes/8f16bdd6f6d74fa5bbe443e8f69654c7.jpg?mw=660,Sausage,WeiÃwÃ¼rste,Germany
