search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/fufu,https://cdn.tasteatlas.com//images/dishes/f189408c715349a891af42809e22b4a9.jpg?mw=660,Side Dish,Fufu,Ghana
https://www.tasteatlas.com/waakye,https://cdn.tasteatlas.com//images/dishes/3366ea6f04784e3688f1ee1d393294fa.jpg?mw=660,Rice Dish,Waakye,Ghana
https://www.tasteatlas.com/red-red,https://cdn.tasteatlas.com//images/dishes/beada8969d314075ae942ca030feed65.jpg?mw=660,Stew,Red red,Ghana
https://www.tasteatlas.com/garden-egg-stew,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Stew,Garden Egg Stew,Ghana
https://www.tasteatlas.com/kelewele,https://cdn.tasteatlas.com//images/dishes/afc452e0dac14233bc5fdf6bec33ef1e.jpg?mw=660,Side Dish,Kelewele,Ghana
https://www.tasteatlas.com/kokonte,https://cdn.tasteatlas.com//images/dishes/67d8baa08eed4fffbdfc9ed0ad4f6516.jpg?mw=660,Stew,Kokonte,Ghana
https://www.tasteatlas.com/palm-nut-soup,https://cdn.tasteatlas.com//images/dishes/583c1cbdf17a4e6ca995e1884d8d27bc.jpg?mw=660,Soup,Palm Nut Soup,Ghana
https://www.tasteatlas.com/kontomire-soup,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Soup,Kontomire Soup,Ghana
https://www.tasteatlas.com/plakali,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Side Dish,Plakali,Ghana
https://www.tasteatlas.com/chichinga,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Street Food,Chichinga,Ghana
https://www.tasteatlas.com/banku,https://cdn.tasteatlas.com//images/dishes/283d062368be45138a9c9b0199d62a43.jpg?mw=660,Side Dish,Banku,Ghana
https://www.tasteatlas.com/hkatenkwan,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Chicken Dish,Hkatenkwan,Ghana
https://www.tasteatlas.com/akple,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Side Dish,Akple,Ghana
https://www.tasteatlas.com/kpekpele,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Bread,Kpekpele,Ghana
https://www.tasteatlas.com/tuo-zaafi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Side Dish,Tuo zaafi,Ghana
https://www.tasteatlas.com/konkonte,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Side Dish,Konkonte,Ghana
https://www.tasteatlas.com/akotonshi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Crab Dish,Akotonshi,Ghana
https://www.tasteatlas.com/ghana-meatball-stew,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Stew,Ghana Meatball Stew,Ghana
https://www.tasteatlas.com/gari-foto,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Side Dish,Gari foto,Ghana
