search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/gyros,https://cdn.tasteatlas.com//images/dishes/254a002208804e0fa92fa354655fdaac.jpg?mw=660,Meat Dish,Gyros,Greece
https://www.tasteatlas.com/moussaka,https://cdn.tasteatlas.com//images/dishes/d714f264955840a980db8b9cfbf66d3b.jpg?mw=660,Casserole,Moussaka,Greece
https://www.tasteatlas.com/greek-salad,https://cdn.tasteatlas.com//images/dishes/acc4fd5eba9c41c1b655b5f3cce086e1.jpg?mw=660,Salad,Greek Salad,Greece
https://www.tasteatlas.com/souvlaki,https://cdn.tasteatlas.com//images/dishes/90c413e6606d4c69af350324c8e69835.jpg?mw=660,Meat Dish,Souvlaki,Greece
https://www.tasteatlas.com/tzatziki,https://cdn.tasteatlas.com//Images/Dishes/220986c23b4b452d8b4a749edf1158f5.jpg?mw=660,Dip,Tzatziki,Greece
https://www.tasteatlas.com/spanakopita,https://cdn.tasteatlas.com//Images/Dishes/95a200dc7d014c1db1898a020206174b.jpg?mw=660,Savory Pastry,Spanakopita,Greece
https://www.tasteatlas.com/pastitsio,https://cdn.tasteatlas.com//images/dishes/e780cff6efea4b1ab8da70e49426606f.jpg?mw=660,Casserole,Pastitsio,Greece
https://www.tasteatlas.com/revani,https://cdn.tasteatlas.com//images/dishes/2df62552a21148f9b1e202f4afbf4903.jpg?mw=660,Dessert,Revani,Greece
https://www.tasteatlas.com/horta-salad,https://cdn.tasteatlas.com//images/dishes/cd76cdaa843d4bfeb62785c1210a20fe.jpg?mw=660,Salad,Horta,Greece
https://www.tasteatlas.com/yemista,https://cdn.tasteatlas.com//images/dishes/e30084f6f02342249ed507bab4db1a20.jpg?mw=660,Vegetable Dish,Yemista,Greece
https://www.tasteatlas.com/mydia,https://cdn.tasteatlas.com//images/dishes/3c52b28591f040ba9f2b7c8da9108192.jpg?mw=660,Mussel Dish,Mydia,Greece
https://www.tasteatlas.com/bougatsa,https://cdn.tasteatlas.com//images/dishes/97c3870c77ff459a8a8d07c26f4f4b87.jpg?mw=660,Sweet Pastry,Bougatsa,Greece
https://www.tasteatlas.com/koulourakia,https://cdn.tasteatlas.com//Images/Dishes/74747075e7f944cb815ef0beb2b748f3.jpg?mw=660,Cookie,Koulourakia,Greece
https://www.tasteatlas.com/keftedakia,https://cdn.tasteatlas.com//Images/Dishes/828ec80aaa6f4774b64a6dc11ca5888b.jpg?mw=660,Meatballs,Keftedakia,Greece
https://www.tasteatlas.com/taramasalata,https://cdn.tasteatlas.com//images/dishes/07692150597846bcbaf520d734a906ef.jpg?mw=660,Dip,Taramasalata,Greece
https://www.tasteatlas.com/tiropita,https://cdn.tasteatlas.com//Images/Dishes/c3833e9e6d0940fbb32c86443cbc6ec7.jpg?mw=660,Savory Pastry,Tiropita,Greece
https://www.tasteatlas.com/tsoureki,https://cdn.tasteatlas.com//images/dishes/3aa161d9e3f545b49a606504c2a82157.jpg?mw=660,Sweet Bread,Tsoureki,Greece
https://www.tasteatlas.com/dakos,https://cdn.tasteatlas.com//images/dishes/e93c7fa882674f77a29604a563569422.jpg?mw=660,Appetizer,Dakos,Greece
https://www.tasteatlas.com/fakes,https://cdn.tasteatlas.com//images/dishes/626441b7935748a2b9fa075f86a1a0be.jpg?mw=660,Vegetable Soup,Fakes,Greece
https://www.tasteatlas.com/melomakarona,https://cdn.tasteatlas.com//images/dishes/930ba2678ac24b7f9d7abd492772fdfb.jpg?mw=660,Cookie,Melomakarona,Greece
https://www.tasteatlas.com/magiritsa,https://cdn.tasteatlas.com//images/dishes/3ff03027966a4e19b8a93f77224db9fc.jpg?mw=660,Offal Soup,Magiritsa,Greece
https://www.tasteatlas.com/bamies,https://cdn.tasteatlas.com//images/dishes/a2fb86aa37e243ab82a0412824d55bd5.jpg?mw=660,Vegetable Dish,Bamies,Greece
https://www.tasteatlas.com/saganaki,https://cdn.tasteatlas.com//images/dishes/de7393bd433643bba1b7f6dd6ea2cfb5.jpg?mw=660,Appetizer,Saganaki,Greece
https://www.tasteatlas.com/apaki,https://cdn.tasteatlas.com//images/dishes/680f58a712ef4eb6a7f33de9ae598c49.jpg?mw=660,Pork Dish,ApÃ¡ki,Greece
https://www.tasteatlas.com/galaktoboureko,https://cdn.tasteatlas.com//images/dishes/a5ae61ea000444cfb3c7cc04c605a9f9.jpg?mw=660,Sweet Pastry,Galaktoboureko,Greece
https://www.tasteatlas.com/kourabiedes,https://cdn.tasteatlas.com//images/dishes/a8c9d19224984211863342413ea2fa00.jpg?mw=660,Cookie,Kourabiedes,Greece
https://www.tasteatlas.com/bakaliaros,https://cdn.tasteatlas.com//images/dishes/1740d542706e472fbc7e3da356e0fd01.jpg?mw=660,Saltwater Fish Dish,Bakaliaros,Greece
https://www.tasteatlas.com/paidakia,https://cdn.tasteatlas.com//images/dishes/ec887df80cab4d31a420d57b84716e39.jpg?mw=660,Lamb/Mutton Dish,PaÃ¯dakia,Greece
https://www.tasteatlas.com/kokkinisto,https://cdn.tasteatlas.com//images/dishes/b3899835a82f4b96bc75b0edd7222099.jpg?mw=660,Meat Dish,Kokkinisto,Greece
https://www.tasteatlas.com/kalamarakia,https://cdn.tasteatlas.com//images/dishes/7e4530ad321f40c993667ad1f2ca5ffd.jpg?mw=660,Squid Dish,Kalamarakia tiganita,Greece
https://www.tasteatlas.com/stifado,https://cdn.tasteatlas.com//Images/Dishes/5c4aa0b40cfa4c1d84571b78a62fe4b6.jpg?mw=660,Stew,Stifado,Greece
https://www.tasteatlas.com/omeletta,https://cdn.tasteatlas.com//images/dishes/eb5491e5ee62424f8e68c8032f933185.jpg?mw=660,Egg Dish,Omeletta,Greece
