search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/fiambre,https://cdn.tasteatlas.com//Images/Dishes/159384559a4a4e848d2e73baf0fc0b19.jpg?mw=660,Salad,Fiambre,Guatemala
https://www.tasteatlas.com/pollo-en-crema,https://cdn.tasteatlas.com//images/dishes/94cab1fa8fce4a3580cc7abe1d207158.jpg?mw=660,Chicken Dish,Pollo en crema,Guatemala
https://www.tasteatlas.com/mixtas,https://cdn.tasteatlas.com//images/dishes/d0f644fde3a0431b825f4ee1c374e15d.jpg?mw=660,Hot Dog,Mixtas,Guatemala
https://www.tasteatlas.com/shucos,https://cdn.tasteatlas.com//images/dishes/eb08e31a42104be6bab3747eae7b4130.jpg?mw=660,Hot Dog,Shucos,Guatemala
https://www.tasteatlas.com/hilachas,https://cdn.tasteatlas.com//images/dishes/eb0cd4b13ebd4eab80ec5eb7687c8462.jpg?mw=660,Stew,Hilachas,Guatemala
https://www.tasteatlas.com/pocon,https://cdn.tasteatlas.com//images/dishes/6497aaf145994c40a43c03b472f51abe.jpg?mw=660,Stew,JocÃ³n,Guatemala
https://www.tasteatlas.com/pepian,https://cdn.tasteatlas.com//images/dishes/873c4e5543e944629c996cf05cea0197.jpg?mw=660,Stew,PepiÃ¡n,Guatemala
https://www.tasteatlas.com/estofado-con-papas,https://cdn.tasteatlas.com//images/dishes/564ee14728684479b537677a77dcb352.jpg?mw=660,Stew,Estofado con papas,Guatemala
https://www.tasteatlas.com/revolcado,https://cdn.tasteatlas.com//images/dishes/8f6e7b58915b4864931cd5bd533f7b2e.jpg?mw=660,Stew,Revolcado,Guatemala
https://www.tasteatlas.com/pan-de-camote,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Sweet Bread,Pan de camote,Guatemala
https://www.tasteatlas.com/pastel-de-banano,https://cdn.tasteatlas.com//images/dishes/13ec82cda90b42a8a506fb10c30ed69a.jpg?mw=660,Cake,Pastel de banano,Guatemala
https://www.tasteatlas.com/kakik,https://cdn.tasteatlas.com//images/dishes/01bb069441d5459da221c85d9a1040db.jpg?mw=660,Stew,Kak'ik,Guatemala
https://www.tasteatlas.com/arroz-con-apio,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Rice Dish,Arroz con apio,Guatemala
https://www.tasteatlas.com/tostadas-de-salsa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Appetizer,Tostadas de salsa,Guatemala
https://www.tasteatlas.com/chuchitos,https://cdn.tasteatlas.com//Images/Dishes/0ce2c50ebf5940f799c49ad7d12ab434.jpg?mw=660,Snack,Chuchitos,Guatemala
https://www.tasteatlas.com/pulique,https://cdn.tasteatlas.com//images/dishes/ad6f03d80c24407380a3a3716ce42c82.jpg?mw=660,Stew,Pulique,Guatemala
https://www.tasteatlas.com/paches,https://cdn.tasteatlas.com//images/dishes/960acc1772b5467fbf84c796fa1ff4ef.jpg?mw=660,Wrap,Paches,Guatemala
https://www.tasteatlas.com/tamalitos-de-chipilin,https://cdn.tasteatlas.com//images/dishes/fccdcb3d3c2a4938ac6373dadba23334.jpg?mw=660,Street Food,Tamalitos de chipilÃ­n,Guatemala
https://www.tasteatlas.com/subanik,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Stew,Subanik,Guatemala
https://www.tasteatlas.com/chojin,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Salad,ChojÃ­n,Guatemala
https://www.tasteatlas.com/choca,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Stew,Choc'a,Guatemala
https://www.tasteatlas.com/tortitas-de-yuca,https://cdn.tasteatlas.com//images/dishes/12054680ef4741f29c3b440ae68d12f7.jpg?mw=660,Pancake,Tortitas de yuca,Guatemala
https://www.tasteatlas.com/zompopos-de-mayo,https://cdn.tasteatlas.com//images/dishes/b966ba4b0ed54e7aaf4ab6a149220681.jpg?mw=660,Insect Dish,Zompopos de mayo,Guatemala
https://www.tasteatlas.com/piloyada-antiguena,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Salad,Piloyada AntigueÃ±a,Guatemala
https://www.tasteatlas.com/boxboles,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Side Dish,Boxboles,Guatemala
