search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/lohikeitto,https://cdn.tasteatlas.com//Images/Dishes/38e5693d7406474aa49c8e346430a9cb.jpg?mw=660,Fish Soup,Lohikeitto,Guyana
https://www.tasteatlas.com/lihapullat,https://cdn.tasteatlas.com//Images/Dishes/287ac1d095ed4dc688d69e3caaf7b0a6.jpg?mw=660,Meatballs,Lihapullat,Guyana
https://www.tasteatlas.com/salmiakki,https://cdn.tasteatlas.com//Images/Dishes/a426b4efde4a465eb858b839b8cb8986.jpg?mw=660,Dessert,Salmiakki,Guyana
https://www.tasteatlas.com/mammi,https://cdn.tasteatlas.com//images/dishes/5213ad8d28b1454d826fc8071080c180.jpg?mw=660,Dessert,MÃ¤mmi,Guyana
https://www.tasteatlas.com/hernekeitto,https://cdn.tasteatlas.com//Images/Dishes/1a00c10c7aa74d6db8cefce590d3a742.jpg?mw=660,Vegetable Soup,Hernekeitto,Guyana
https://www.tasteatlas.com/silakat,https://cdn.tasteatlas.com//images/dishes/51212c315c6144c58b9269cfcc118036.jpg?mw=660,Saltwater Fish Dish,Silakat,Guyana
https://www.tasteatlas.com/poronkaristys,https://cdn.tasteatlas.com//Images/Dishes/4ebf1baa83914a87a142fea7402c7440.jpg?mw=660,Game Dish,PoronkÃ¤ristys,Guyana
https://www.tasteatlas.com/munkki,https://cdn.tasteatlas.com//Images/Dishes/74dbee73c7f34503b610620746e14c2e.jpg?mw=660,Sweet Pastry,Munkki,Guyana
https://www.tasteatlas.com/karjalanpiirakka,https://cdn.tasteatlas.com//Images/Dishes/7395ea304a0b45e5ad569b49fedd5d2e.jpg?mw=660,Savory Pie,Karjalanpiirakka,Guyana
https://www.tasteatlas.com/munavoi,https://cdn.tasteatlas.com//Images/Dishes/e29debc29f39464a915efb7111846acc.jpg?mw=660,Spread,Munavoi,Guyana
https://www.tasteatlas.com/rieska,https://cdn.tasteatlas.com//images/dishes/2162006ea71040fe9e04ca2eeac6eda9.jpg?mw=660,Flatbread,Rieska,Guyana
https://www.tasteatlas.com/kalakeitto,https://cdn.tasteatlas.com//images/dishes/4e2f55e4763a424c9f6f6ea892521c1f.jpg?mw=660,Fish Soup,Kalakeitto,Guyana
https://www.tasteatlas.com/kaalilaatikko,https://cdn.tasteatlas.com//Images/Dishes/b7cd7473dc7742c9bfb0e88186ea187f.jpg?mw=660,Casserole,Kaalilaatikko,Guyana
https://www.tasteatlas.com/karjalanpaisti,https://cdn.tasteatlas.com//Images/Dishes/2fa12506449840d7a3a3ee48e41c7006.jpg?mw=660,Stew,Karjalanpaisti,Guyana
https://www.tasteatlas.com/kalakukko,https://cdn.tasteatlas.com//images/dishes/42bf91c1e88044e491801c32e97787b7.jpg?mw=660,Savory Pie,Kalakukko,Guyana
https://www.tasteatlas.com/mustamakkara,https://cdn.tasteatlas.com//images/dishes/6b9e336bdf3e41fe97c362f222cc213f.jpg?mw=660,Blood Sausage,Mustamakkara,Guyana
https://www.tasteatlas.com/porilainen,https://cdn.tasteatlas.com//images/dishes/d3cfcb1163c8400e97c05d9c4f80e00d.jpg?mw=660,Sandwich,Porilainen,Guyana
https://www.tasteatlas.com/nakkileipa,https://cdn.tasteatlas.com//images/dishes/cbe2958316ac4d1ba0a5f622bcb87df6.jpg?mw=660,Flatbread,NÃ¤kkileipÃ¤,Guyana
https://www.tasteatlas.com/maksalaatikko,https://cdn.tasteatlas.com//Images/Dishes/e7d29c3d60bb4f1aa9eb7b363b7f9df6.jpg?mw=660,Casserole,Maksalaatikko,Guyana
https://www.tasteatlas.com/porkkanalaatikko,https://cdn.tasteatlas.com//images/dishes/8f16bd5ffdcf48c7ab23b18e2613c4f0.jpg?mw=660,Casserole,Porkkanalaatikko,Guyana
https://www.tasteatlas.com/lanttulaatikko,https://cdn.tasteatlas.com//Images/Dishes/437e3bdb50ec433f8d93b3f906e3ead3.jpg?mw=660,Casserole,Lanttulaatikko,Guyana
https://www.tasteatlas.com/pulla,https://cdn.tasteatlas.com//Images/Dishes/8872699d4166466581bbecf3a9b7b590.jpg?mw=660,Sweet Bread,Pulla,Guyana
https://www.tasteatlas.com/nakkikastike,https://cdn.tasteatlas.com//images/dishes/65c8628485514d1e896f353e3222370f.jpg?mw=660,Sausage,Nakkikastike,Guyana
https://www.tasteatlas.com/runebergintorttu,https://cdn.tasteatlas.com//Images/Dishes/05ddf2e2ded34b6e810b75f6e18129cd.jpg?mw=660,Dessert,Runebergintorttu,Guyana
https://www.tasteatlas.com/mansikkakakku,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Cake,Strawberry Meringue Cake (Mansikkakakku),Guyana
https://www.tasteatlas.com/vispipuuro,https://cdn.tasteatlas.com//Images/Dishes/09db3391ac9e45e687b305dbfcfeb8e6.jpg?mw=660,Porridge,Vispipuuro,Guyana
https://www.tasteatlas.com/limppu,https://cdn.tasteatlas.com//images/dishes/3421667ccff34a64b6f8d631b374acde.jpg?mw=660,Bread,Limppu,Guyana
https://www.tasteatlas.com/joulutorttu,https://cdn.tasteatlas.com//Images/Dishes/9f907c8971b94e72a0f45b4e8e3df00d.jpg?mw=660,Sweet Pastry,Joulutorttu,Guyana
https://www.tasteatlas.com/laskiaispulla,https://cdn.tasteatlas.com//images/dishes/cd50d2052519405895afd85f69cbe4cf.jpg?mw=660,Sweet Pastry,Laskiaispulla,Guyana
https://www.tasteatlas.com/rosolli,https://cdn.tasteatlas.com//images/dishes/d91e359168f3421a88d8447eb65ac605.jpg?mw=660,Salad,Rosolli,Guyana
https://www.tasteatlas.com/korppu,https://cdn.tasteatlas.com//images/dishes/be1c0829adcf4530888a03bb9e9759d3.jpg?mw=660,Rusk,Korppu,Guyana
