search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/poulet-aux-noix,https://cdn.tasteatlas.com//images/dishes/d242ff264e674a7a8d1791815520c563.jpg?mw=660,Chicken Dish,Poulet aux noix,Haiti
https://www.tasteatlas.com/griot,https://cdn.tasteatlas.com//Images/Dishes/65e01a8cf8614b8d93d2b0602af22002.jpg?mw=660,Pork Dish,Griot,Haiti
https://www.tasteatlas.com/joumou,https://cdn.tasteatlas.com//images/dishes/9bd05eb05b0f49a0bccbc4655979324a.jpg?mw=660,Vegetable Soup,Joumou,Haiti
https://www.tasteatlas.com/haitian-patty,https://cdn.tasteatlas.com//images/dishes/ea3684efec1b436b92da5d345a43cc7f.jpg?mw=660,Savory Pastry,Haitian Patty,Haiti
https://www.tasteatlas.com/tassot,https://cdn.tasteatlas.com//images/dishes/6e1b5a6d47f24e42936343368ea0bd00.jpg?mw=660,Meat Dish,Tassot,Haiti
https://www.tasteatlas.com/legim,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Stew,Legim,Haiti
https://www.tasteatlas.com/tchaka,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Stew,Tchaka,Haiti
https://www.tasteatlas.com/pikliz,https://cdn.tasteatlas.com//images/dishes/90f1859d8bc2403e810ef4c113c0775a.jpg?mw=660,Relish,Pikliz,Haiti
https://www.tasteatlas.com/bouillon-soup,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Soup,Bouillon Soup,Haiti
https://www.tasteatlas.com/makawoni-au-graten,https://cdn.tasteatlas.com//images/dishes/42bf96757c8846658348e9d8726f08d3.jpg?mw=660,Pasta,Makawoni au graten,Haiti
https://www.tasteatlas.com/diri-ak-pwa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Rice Dish,Diri ak pwa,Haiti
https://www.tasteatlas.com/diri-ak-djon-djon,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Rice Dish,Diri ak djon djon,Haiti
https://www.tasteatlas.com/diri-ak-legim,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Rice Dish,Diri ak legim,Haiti
https://www.tasteatlas.com/diri-ak-sos-pwa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Rice Dish,Diri ak sos pwa,Haiti
https://www.tasteatlas.com/sos-ti-malice,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Sauce,Sos ti-malice,Haiti
https://www.tasteatlas.com/dous-makos,https://cdn.tasteatlas.com//images/dishes/c869c9b6aacd4e73ad22f3761de4ecec.jpg?mw=660,Dessert,Dous makos,Haiti
https://www.tasteatlas.com/sos-pwa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Sauce,Sos pwa,Haiti
https://www.tasteatlas.com/pwason-boukannen,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Technique,Pwason boukannen,Haiti
https://www.tasteatlas.com/poul-ak-nwa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Chicken Dish,Poul ak nwa,Haiti
https://www.tasteatlas.com/mayi-moulen,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Porridge,Mayi moulen,Haiti
https://www.tasteatlas.com/pain-haitien,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Bread,Pain HaÃ¯tien,Haiti
https://www.tasteatlas.com/doukounou,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Pudding,Doukounou,Haiti
https://www.tasteatlas.com/tonmtonm,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Side Dish,Tonmtonm,Haiti
https://www.tasteatlas.com/pain-patate,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Pudding,Pain patate,Haiti
https://www.tasteatlas.com/accra-haiti,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Snack,Accra,Haiti
