search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/baleada,https://cdn.tasteatlas.com//images/dishes/aaa1ef5914204a5896edf6c22060f183.jpg?mw=660,Street Food,Baleada,Honduras
https://www.tasteatlas.com/sopa-de-caracol,https://cdn.tasteatlas.com//images/dishes/811d24dce1384231848c52da6c309b55.jpg?mw=660,Seafood Soup,Sopa de caracol,Honduras
https://www.tasteatlas.com/pan-de-coco,https://cdn.tasteatlas.com//images/dishes/5e680989ff2c414a9b51559cb8b10277.jpg?mw=660,Sweet Bread,Pan de coco,Honduras
https://www.tasteatlas.com/rosquillas-honduras,https://cdn.tasteatlas.com//images/dishes/4bbb29f3ccb04b8a991107d57b458e46.jpg?mw=660,Sweet Pastry,Rosquillas,Honduras
https://www.tasteatlas.com/sopa-catratcha-de-mariscos-con-un,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Seafood Soup,Sopa catratcha de mariscos con un,Honduras
https://www.tasteatlas.com/tapado-de-pescado,https://cdn.tasteatlas.com//images/dishes/4f3007dd026949e697cf817ba4b3546d.jpg?mw=660,Fish Soup,Tapado de pescado,Honduras
https://www.tasteatlas.com/plato-tipico,https://cdn.tasteatlas.com//Images/Dishes/f7bbdcd27aec4e3d98946d1460261ab8.jpg?mw=660,Assorted Small Dishes or Ritual,Plato tÃ­pico,Honduras
https://www.tasteatlas.com/sopa-marinera,https://cdn.tasteatlas.com//images/dishes/66bcee2b73cc43ea8404e7ce562b36e3.jpg?mw=660,Seafood Soup,Sopa marinera,Honduras
https://www.tasteatlas.com/candinga,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Stew,Candinga,Honduras
https://www.tasteatlas.com/fried-yojoa-fish,https://cdn.tasteatlas.com//images/dishes/f633ca61143947b0bf3af82c7b08d6a4.jpg?mw=660,Freshwater Fish Dish,Fried Yojoa Fish,Honduras
https://www.tasteatlas.com/yuca-con-chicharron,https://cdn.tasteatlas.com//images/dishes/c389e75b47824f0796fccba330479e7d.jpg?mw=660,Side Dish,Yuca con chicharrÃ³n,Honduras
https://www.tasteatlas.com/macheteadas,https://cdn.tasteatlas.com//images/dishes/c47f2c23644342b0b4154ea5fb66da12.jpg?mw=660,Snack,Macheteadas,Honduras
https://www.tasteatlas.com/sopa-de-capirotadas,https://cdn.tasteatlas.com//images/dishes/0ae2a6ae833644658ee6992c699e040f.jpg?mw=660,Soup,Sopa de capirotadas,Honduras
https://www.tasteatlas.com/catrachitas,https://cdn.tasteatlas.com//images/dishes/09616c3c7f524651a9ee22180967bf1c.jpg?mw=660,Snack,Catrachitas,Honduras
https://www.tasteatlas.com/anafre-de-frijoles,https://cdn.tasteatlas.com//images/dishes/6d3251768fe1472db3745b2f5b48380f.jpg?mw=660,Appetizer,Anafre de frijoles,Honduras
https://www.tasteatlas.com/tortilla-con-quesillo,https://cdn.tasteatlas.com//images/dishes/2c9c0f2064244e659ad510cea3d9877f.jpg?mw=660,Snack,Tortilla con quesillo,Honduras
https://www.tasteatlas.com/coyol-en-miel,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Dessert,Coyol en miel,Honduras
