search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/gulyas,https://cdn.tasteatlas.com//Images/Dishes/c248dc8942e1454f92e8e140141d02e7.jpg?mw=660,Meat Soup,GulyÃ¡s,Hungary
https://www.tasteatlas.com/kremes,https://cdn.tasteatlas.com//images/dishes/3a50c3d19f014dab8720930f7fe381d8.jpg?mw=660,Cake,KrÃ©mes,Hungary
https://www.tasteatlas.com/paprikas-csirke,https://cdn.tasteatlas.com//images/dishes/82bf238da3e6442ea67427a3ec6efe49.jpg?mw=660,Stew,Chicken Paprikash (PaprikÃ¡s csirke),Hungary
https://www.tasteatlas.com/porkolt,https://cdn.tasteatlas.com//Images/Dishes/5a7168ff459d4104bbfc5e8ec378abab.jpg?mw=660,Stew,PÃ¶rkÃ¶lt,Hungary
https://www.tasteatlas.com/langos,https://cdn.tasteatlas.com//Images/Dishes/0384c4118bdf4bc687dc766b3c4beca0.jpg?mw=660,Snack,LÃ¡ngos,Hungary
https://www.tasteatlas.com/turo-rudi,https://cdn.tasteatlas.com//images/dishes/56cbc0d84997482da93cff985c7edd8d.jpg?mw=660,Cheese Dessert,TÃºrÃ³ rudi,Hungary
https://www.tasteatlas.com/pogacsa,https://cdn.tasteatlas.com//Images/Dishes/83a95efa02ed4f65934e3bd47c1a9fb7.jpg?mw=660,Savory Pastry,PogÃ¡csa,Hungary
https://www.tasteatlas.com/halaszle,https://cdn.tasteatlas.com//images/dishes/aaf7314d372245fe8c4f2ce3d718d184.jpeg?mw=660,Fish Soup,HalÃ¡szlÃ©,Hungary
https://www.tasteatlas.com/kurtoskalacs,https://cdn.tasteatlas.com//images/dishes/b17fce3105f54e74864d7de485513231.jpg?mw=660,Sweet Pastry,KÃ¼rtÅskalÃ¡cs,Hungary
https://www.tasteatlas.com/dobos-torte,https://cdn.tasteatlas.com//Images/Dishes/3274334915b74cc7b7f0cf5a03544fcf.jpg?mw=660,Cake,Dobos torte,Hungary
https://www.tasteatlas.com/zserbo,https://cdn.tasteatlas.com//images/dishes/2dd4654ecc9848518ac5f59420dc73a5.jpg?mw=660,Cake,ZserbÃ³,Hungary
https://www.tasteatlas.com/lecso,https://cdn.tasteatlas.com//Images/Dishes/b35f960d1caa4239a0cf7af9a76b0823.jpg?mw=660,Vegetable Dish,LecsÃ³,Hungary
https://www.tasteatlas.com/esterhazy-torta,https://cdn.tasteatlas.com//Images/Dishes/d4df0b54e1df41d784f364cf0428baea.jpg?mw=660,Cake,EsterhÃ¡zy torta,Hungary
https://www.tasteatlas.com/kifli,https://cdn.tasteatlas.com//Images/Dishes/efc333fbe54e4a1fbca9ce8c6e431355.jpg?mw=660,Snack,Kifli,Hungary
https://www.tasteatlas.com/kalacs,https://cdn.tasteatlas.com//Images/Dishes/6f88e893b7f44bc6a581a0e1031d1338.jpg?mw=660,Sweet Bread,KalÃ¡cs,Hungary
https://www.tasteatlas.com/toltott-kaposzta,https://cdn.tasteatlas.com//images/dishes/9544306e814c4b7dbedc62dc9336517a.jpg?mw=660,Ground Meat Dish,TÃ¶ltÃ¶tt kaposzta,Hungary
https://www.tasteatlas.com/gulyasleves,https://cdn.tasteatlas.com//images/dishes/daa32e1a07d3418fb40f2f2a9d7b9124.jpg?mw=660,Meat Soup,GulyÃ¡sleves,Hungary
https://www.tasteatlas.com/somloi-galuska,https://cdn.tasteatlas.com//Images/Dishes/6c20b80fae9c4814a91af908efe4a0cf.jpg?mw=660,Cake,SomlÃ³i galuska,Hungary
https://www.tasteatlas.com/hurka,https://cdn.tasteatlas.com//Images/Dishes/a9381667e2e248ce9e483d1734569a0a.jpg?mw=660,Sausage,Hurka,Hungary
https://www.tasteatlas.com/fozelek,https://cdn.tasteatlas.com//images/dishes/1f4ac5ee69cc4192add7d9088d387b10.jpg?mw=660,Stew,FÅzelÃ©k,Hungary
https://www.tasteatlas.com/husleves,https://cdn.tasteatlas.com//Images/Dishes/37b287673cd2463a925db1ed046a053b.jpg?mw=660,Meat Soup,HÃºsleves,Hungary
https://www.tasteatlas.com/turogomboc,https://cdn.tasteatlas.com//Images/Dishes/78ff5aa2eab04f32bd7dd1a5605b7060.jpg?mw=660,Dumplings,TÃºrÃ³gombÃ³c,Hungary
https://www.tasteatlas.com/rakott-krumpli,https://cdn.tasteatlas.com//images/dishes/7fcf0e6e0c55405e825385db1f1caac7.jpg?mw=660,Casserole,Rakott krumpli,Hungary
https://www.tasteatlas.com/lekvar,https://cdn.tasteatlas.com//Images/Dishes/aff83f5aaa92491389d3f953f07f523e.jpg?mw=660,Spread,LekvÃ¡r,Hungary
https://www.tasteatlas.com/meggyleves,https://cdn.tasteatlas.com//Images/Dishes/a56d40284ddd4604aa842abe4d046ad7.jpg?mw=660,Sweet Soup,Meggyleves,Hungary
https://www.tasteatlas.com/toltott-paprika,https://cdn.tasteatlas.com//images/dishes/4adbfa40607a43b6b61d379925e93b2b.jpg?mw=660,Ground Meat Dish,TÃ¶ltÃ¶tt paprika,Hungary
https://www.tasteatlas.com/turos-csusza,https://cdn.tasteatlas.com//Images/Dishes/ddb9f08d2c7045e392c379ad54da3189.jpg?mw=660,Pasta,TÃºrÃ³s csusza,Hungary
https://www.tasteatlas.com/slambuc,https://cdn.tasteatlas.com//images/dishes/d3edda300cb3463ca4691d475bfcfb4f.jpg?mw=660,Stew,Slambuc,Hungary
https://www.tasteatlas.com/paprikas-krumpli,https://cdn.tasteatlas.com//images/dishes/48d71163f5cf496581f755cf216184c9.jpg?mw=660,Stew,PaprikÃ¡s krumpli,Hungary
https://www.tasteatlas.com/fank,https://cdn.tasteatlas.com//images/dishes/5d7bb143eccb46dcba3e9a5f08c4e150.jpg?mw=660,Sweet Pastry,FÃ¡nk,Hungary
https://www.tasteatlas.com/zoldsegleves,https://cdn.tasteatlas.com//images/dishes/03b21080406b42b8b15042318e01334c.jpg?mw=660,Vegetable Soup,ZÃ¶ldsÃ©gleves,Hungary
https://www.tasteatlas.com/gesztenyepure,https://cdn.tasteatlas.com//images/dishes/8bb3716f67674aa289e4476157e3bac2.jpg?mw=660,Dessert,GesztenyepÃ¼rÃ©,Hungary
https://www.tasteatlas.com/fis-paprikas-baranya-county,https://cdn.tasteatlas.com//images/dishes/719883b396f44d41bf9491521cebe48f.jpg?mw=660,Stew,Hal PaprikÃ¡s,Hungary
https://www.tasteatlas.com/solet,https://cdn.tasteatlas.com//images/dishes/8f30b8c4fcec4e56a435b994b2f6757a.jpg?mw=660,Stew,SÃ³let,Hungary
https://www.tasteatlas.com/szaloncukor,https://cdn.tasteatlas.com//images/dishes/143f8601e734438bae71e24104d70787.jpg?mw=660,Dessert,Szaloncukor,Hungary
https://www.tasteatlas.com/mezes-kremes,https://cdn.tasteatlas.com//images/dishes/909bbe846e924f69b143e41b24380113.jpg?mw=660,Cake,MÃ©zes krÃ©mes,Hungary
