search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/svid,https://cdn.tasteatlas.com//images/dishes/a8d1744fcf754a9e8e905874be2767a4.jpg?mw=660,Lamb/Mutton Dish,SviÃ°,Iceland
https://www.tasteatlas.com/icelandic-fish-and-chips,https://cdn.tasteatlas.com//images/dishes/56d57df5de334573a3acecec618ffba6.jpg?mw=660,Saltwater Fish Dish,Icelandic Fish and Chips,Iceland
https://www.tasteatlas.com/hakarl,https://cdn.tasteatlas.com//images/dishes/49be7c1c18294b85a5e9391489e0a012.jpg?mw=660,Saltwater Fish Dish,HÃ¡karl,Iceland
https://www.tasteatlas.com/harfiskur,https://cdn.tasteatlas.com//images/dishes/559c177a1f114f1b994dc1ab794bb05e.jpg?mw=660,Saltwater Fish Dish,HarÃ°fiskur,Iceland
https://www.tasteatlas.com/kjotsupa,https://cdn.tasteatlas.com//images/dishes/ae50e83a7669487ba94dc399e4e81a4b.jpg?mw=660,Meat Soup,KjÃ¶tsÃºpa,Iceland
https://www.tasteatlas.com/hangikjot,https://cdn.tasteatlas.com//images/dishes/db8b691ac27a45a29f648cc2d1adb160.jpg?mw=660,Lamb/Mutton Dish,HangikjÃ¶t,Iceland
https://www.tasteatlas.com/rugbrau,https://cdn.tasteatlas.com//Images/Dishes/4274d36a265a40faabd6f18d106bde11.jpg?mw=660,Bread,RÃºgbrauÃ°,Iceland
https://www.tasteatlas.com/icelandic-hot-dog,https://cdn.tasteatlas.com//Images/Dishes/21114e9ae42c4983bb64a213b674386b.jpg?mw=660,Hot Dog,Icelandic Hot Dog,Iceland
https://www.tasteatlas.com/thorramatur,https://cdn.tasteatlas.com//images/dishes/1bffdfaa3437428fad6d5a5e5eeebe56.jpg?mw=660,Assorted Small Dishes or Ritual,Thorramatur,Iceland
https://www.tasteatlas.com/vinarterta,https://cdn.tasteatlas.com//images/dishes/ebc693c1fc5f4c63809645aaf0ce1057.jpg?mw=660,Cake,VÃ­narterta,Iceland
https://www.tasteatlas.com/broddur,https://cdn.tasteatlas.com//images/dishes/61fb20e322cd47b28047f993ac73d892.jpg?mw=660,Dessert,Oven Cheese (Broddur),Iceland
https://www.tasteatlas.com/laufabrau,https://cdn.tasteatlas.com//images/dishes/abd87f94c22f4b088c39bacebd6dea93.jpg?mw=660,Flatbread,LaufabrauÃ°,Iceland
https://www.tasteatlas.com/abrystir,https://cdn.tasteatlas.com//images/dishes/1b3b7122775e432a958ac04dbada2863.jpg?mw=660,Pudding,Ãbrystir,Iceland
https://www.tasteatlas.com/flatkaka,https://cdn.tasteatlas.com//Images/Dishes/b59ad1d4e79a4ef3b4e3f1a56d9a925e.jpg?mw=660,Flatbread,Flatkaka,Iceland
https://www.tasteatlas.com/skyronnes,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Dip,Skyronnes,Iceland
