search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/roti,https://cdn.tasteatlas.com//Images/Dishes/1bd5e63b79b344ef9b56cc6480470dba.jpg?mw=660,Flatbread,Roti,India
https://www.tasteatlas.com/naan,https://cdn.tasteatlas.com//images/dishes/8f5e5f67af2541ac8008637115b7c104.jpg?mw=660,Flatbread,Naan,India
https://www.tasteatlas.com/chutney,https://cdn.tasteatlas.com//images/dishes/90ddab16279f486ba3c8dea223ab1231.jpg?mw=660,Relish,Chutney,India
https://www.tasteatlas.com/biryani-northern-india,https://cdn.tasteatlas.com//Images/Dishes/8fd2297171484b88be3e3e6815979690.jpg?mw=660,Rice Dish,Biryani,India
https://www.tasteatlas.com/dal,https://cdn.tasteatlas.com//images/dishes/fae65ee13027459b9f0b6793fb97634b.jpg?mw=660,Stew,Dal,India
https://www.tasteatlas.com/butter-chicken,https://cdn.tasteatlas.com//images/dishes/f110acd777ca43889ceafb24c17f752d.jpg?mw=660,Chicken Dish,Butter Chicken,India
https://www.tasteatlas.com/tandoori,https://cdn.tasteatlas.com//Images/Dishes/e1ef1317a40f432992402380e0ec7a6e.jpg?mw=660,Technique,Tandoori,India
https://www.tasteatlas.com/tandoori-chicken,https://cdn.tasteatlas.com//Images/Dishes/bdab2e7920f0409188d0b3646826893a.jpg?mw=660,Chicken Dish,Tandoori Chicken,India
https://www.tasteatlas.com/korma,https://cdn.tasteatlas.com//Images/Dishes/8bf6e58d3a1545f6abd1dabe49dffa8d.jpg?mw=660,Stew,Korma,India
https://www.tasteatlas.com/dosa,https://cdn.tasteatlas.com//Images/Dishes/b1e9054ebc86490ebef27f3e791ccee4.jpg?mw=660,Pancake,Dosa,India
https://www.tasteatlas.com/tikka,https://cdn.tasteatlas.com//Images/Dishes/ad88b52257ea4e96ab77e3508f6403be.jpg?mw=660,Chicken Dish,Tikka,India
https://www.tasteatlas.com/paratha,https://cdn.tasteatlas.com//Images/Dishes/7053f1036e63478db68ce8ba7583b39e.jpg?mw=660,Flatbread,Paratha,India
https://www.tasteatlas.com/chapati,https://cdn.tasteatlas.com//Images/Dishes/4e46fbe524c444f7a131f2187c61b6ec.jpg?mw=660,Flatbread,Chapati,India
https://www.tasteatlas.com/idli,https://cdn.tasteatlas.com//Images/Dishes/7389072b562f4dd6b08608b2692b4728.jpg?mw=660,Breakfast,Idli,India
https://www.tasteatlas.com/kheer,https://cdn.tasteatlas.com//Images/Dishes/bae67efebeaa47f9947a81c4c0f2fd91.jpg?mw=660,Pudding,Kheer,India
https://www.tasteatlas.com/chana-masala,https://cdn.tasteatlas.com//Images/Dishes/393074c0c9854ccdbb78da71a8686b86.jpg?mw=660,Vegetable Dish,Chana masala,India
https://www.tasteatlas.com/vada-pav,https://cdn.tasteatlas.com//Images/Dishes/951728fa0ae74174a2602aaece17368c.jpg?mw=660,Sandwich,Vada pav,India
https://www.tasteatlas.com/khichdi,https://cdn.tasteatlas.com//Images/Dishes/d4baa4764df440a4ae6c4bf44dcdff6a.jpg?mw=660,Rice Dish,Khichdi,India
https://www.tasteatlas.com/samosa,https://cdn.tasteatlas.com//Images/Dishes/e668e32ae1a3423c95fbd4d77f8c940c.jpg?mw=660,Snack,Samosa,India
https://www.tasteatlas.com/upma,https://cdn.tasteatlas.com//Images/Dishes/e4e3193046014f5bb9d0b6dc838d0f53.jpg?mw=660,Porridge,Upma,India
https://www.tasteatlas.com/appam,https://cdn.tasteatlas.com//Images/Dishes/7de2a201d16e44b18e983b2e402b3737.jpg?mw=660,Pancake,Appam,India
https://www.tasteatlas.com/hyderabadi-biryani,https://cdn.tasteatlas.com//images/dishes/3bd6dfaf53e244dfb7f3ee390447a2f8.jpg?mw=660,Rice Dish,Hyderabadi biryani,India
https://www.tasteatlas.com/palak-paneer,https://cdn.tasteatlas.com//Images/Dishes/4ecba690cc0b47809d43d70c7a6b3a39.jpg?mw=660,Vegetable Dish,Palak paneer,India
https://www.tasteatlas.com/gulab-jamun,https://cdn.tasteatlas.com//Images/Dishes/23fba80da08c46ceba5a99a5b1f1f200.jpg?mw=660,Deep-fried Dessert,Gulab jamun,India
https://www.tasteatlas.com/pav-bhaji,https://cdn.tasteatlas.com//Images/Dishes/081e0170e376406aa4b56f5b86cc3156.jpg?mw=660,Stew,Pav bhaji,India
https://www.tasteatlas.com/dal-makhani,https://cdn.tasteatlas.com//images/dishes/0a3f1b0d231b43e497f33ae5506bb46c.jpg?mw=660,Stew,Dal makhani,India
https://www.tasteatlas.com/pilaf-india,https://cdn.tasteatlas.com//Images/Dishes/49a441aab7b34bc799bd0f4030429c73.jpg?mw=660,Rice Dish,Pulao,India
https://www.tasteatlas.com/pulihora,https://cdn.tasteatlas.com//images/dishes/2a00c116070d46a7a8dd91c0e086f76d.jpg?mw=660,Rice Dish,Pulihora,India
https://www.tasteatlas.com/vindaloo,https://cdn.tasteatlas.com//Images/Dishes/6c8eab762bef45d4be6082f76f740c65.jpg?mw=660,Pork Dish,Vindaloo,India
https://www.tasteatlas.com/keema,https://cdn.tasteatlas.com//Images/Dishes/aed15b96c6384aef89ce3cefd4e6196d.jpg?mw=660,Stew,Keema,India
https://www.tasteatlas.com/chaat,https://cdn.tasteatlas.com//Images/Dishes/84327074df8e4c5fabeaeca6fa3ab659.jpg?mw=660,Street Food,Chaat,India
https://www.tasteatlas.com/sambar,https://cdn.tasteatlas.com//Images/Dishes/91fa968808234ac0bd4b6007bda75b9f.jpg?mw=660,Stew,Sambar,India
https://www.tasteatlas.com/kulfi,https://cdn.tasteatlas.com//images/dishes/4f3d4d079fce4c2ebda620d8717ae358.jpg?mw=660,Ice Cream,Kulfi,India
https://www.tasteatlas.com/panipuri,https://cdn.tasteatlas.com//Images/Dishes/b01fa4c9920d42df9ef472fd4f8e6fda.jpg?mw=660,Snack,Panipuri,India
https://www.tasteatlas.com/pakora,https://cdn.tasteatlas.com//Images/Dishes/b4deb1913b6b48c2baff9e6cf8d25923.jpg?mw=660,Snack,Pakora,India
https://www.tasteatlas.com/masala-dosa,https://cdn.tasteatlas.com//Images/Dishes/ba7bab747c7e41769dbc895a84626a23.jpg?mw=660,Pancake,Masala dosa,India
https://www.tasteatlas.com/rasgulla,https://cdn.tasteatlas.com//Images/Dishes/728691b02df3490bbbecdea8422530d1.jpg?mw=660,Dessert,Rasgulla,India
https://www.tasteatlas.com/chicken-65,https://cdn.tasteatlas.com//images/dishes/55f00ba4fe8746a68b8ad62b24226e3b.jpg?mw=660,Fried Chicken Dish,Chicken 65,India
https://www.tasteatlas.com/ras-malai,https://cdn.tasteatlas.com//Images/Dishes/b53ee1a62b704a36b63361822681ed47.jpg?mw=660,Cheese Dessert,Ras malai,India
https://www.tasteatlas.com/misal,https://cdn.tasteatlas.com//Images/Dishes/181106e0dc5249ac8f8089098048cc02.jpg?mw=660,Stew,Misal,India
https://www.tasteatlas.com/puri,https://cdn.tasteatlas.com//Images/Dishes/9d3c2351d9814a4daba235d7bf7c79f2.jpg?mw=660,Bread,Puri,India
https://www.tasteatlas.com/laddu,https://cdn.tasteatlas.com//Images/Dishes/6610f979d023438f94688e9e9ae951bb.jpg?mw=660,Dessert,Laddu,India
https://www.tasteatlas.com/papadum,https://cdn.tasteatlas.com//Images/Dishes/824335caa36140c6ae24be176b2d2a5e.jpg?mw=660,Snack,Papadum,India
https://www.tasteatlas.com/khaja,https://cdn.tasteatlas.com//Images/Dishes/7c239718f9404b2b82d38832422c3763.jpg?mw=660,Sweet Pastry,Khaja,India
https://www.tasteatlas.com/kadhi,https://cdn.tasteatlas.com//Images/Dishes/ed4b71cd5e8c4ba091ac261fa6537cac.jpg?mw=660,Stew,Kadhi,India
https://www.tasteatlas.com/rogan-josh,https://cdn.tasteatlas.com//Images/Dishes/99d92862af9a42a2973a8213144f39ca.jpg?mw=660,Stew,Rogan josh,India
https://www.tasteatlas.com/rajma,https://cdn.tasteatlas.com//Images/Dishes/25ab742da91d49b18b1a7f8a9a3f1b18.jpg?mw=660,Vegetable Dish,Rajma,India
https://www.tasteatlas.com/pongal,https://cdn.tasteatlas.com//images/dishes/a4a2780dee054e0c9e764bb7ad1ae820.jpg?mw=660,Rice Dish,Pongal,India
https://www.tasteatlas.com/shahi-paneer,https://cdn.tasteatlas.com//Images/Dishes/56ff328667ef4dc6a883398c519b9622.jpg?mw=660,Stew,Shahi paneer,India
https://www.tasteatlas.com/nihari,https://cdn.tasteatlas.com//Images/Dishes/a5973d1624d642ceb63539fb0d501a5c.jpg?mw=660,Stew,Nihari,India
https://www.tasteatlas.com/rasam,https://cdn.tasteatlas.com//Images/Dishes/4ff368c7e0794e12a9e06a8589f8c408.jpg?mw=660,Vegetable Soup,Rasam,India
https://www.tasteatlas.com/barfi,https://cdn.tasteatlas.com//Images/Dishes/fde987b6024d4c5ab3c2bc4caf860e31.jpg?mw=660,Dessert,Barfi,India
https://www.tasteatlas.com/jalfrezi,https://cdn.tasteatlas.com//images/dishes/9ac4921c28ff4dd7bda03ce135d098ca.jpg?mw=660,Technique,Jalfrezi,India
https://www.tasteatlas.com/raita,https://cdn.tasteatlas.com//Images/Dishes/2e3ac247a441416ca9b22d648fe3a708.jpg?mw=660,Side Dish,Raita,India
https://www.tasteatlas.com/saag-paneer,https://cdn.tasteatlas.com//Images/Dishes/9662d774c41a476bb4ff9379f919c3e7.jpg?mw=660,Stew,Saag paneer,India
https://www.tasteatlas.com/malai-kofta,https://cdn.tasteatlas.com//images/dishes/7cd03979f70949c08f779a686919d7e3.jpg?mw=660,Vegetable Dish,Malai kofta,India
https://www.tasteatlas.com/misal-pav,https://cdn.tasteatlas.com//images/dishes/31581c6651644769875834e8dc60bec0.jpg?mw=660,Vegetable Dish,Misal pav,India
https://www.tasteatlas.com/modak,https://cdn.tasteatlas.com//Images/Dishes/a46f5298ed7141b0a8763c3ca2333b8f.jpg?mw=660,Dumplings,Modak,India
https://www.tasteatlas.com/bhelpuri,https://cdn.tasteatlas.com//Images/Dishes/e5e261d8a0004f2097dca3fefad53c59.jpg?mw=660,Street Food,Bhelpuri,India
https://www.tasteatlas.com/gajar-ka-halwa,https://cdn.tasteatlas.com//Images/Dishes/fdda72f960004dbb99b3fd4cb54d4b7c.jpg?mw=660,Pudding,Gajar ka halwa,India
https://www.tasteatlas.com/mysore-pak,https://cdn.tasteatlas.com//Images/Dishes/a16024033f59415ea574750ac003b15c.jpg?mw=660,Dessert,Mysore pak,India
https://www.tasteatlas.com/chole-bhature,https://cdn.tasteatlas.com//Images/Dishes/a111291d959e40789af1280bba00f5c8.jpg?mw=660,Street Food,Chole bhature,India
https://www.tasteatlas.com/falooda,https://cdn.tasteatlas.com//images/dishes/e4772eaf58004e048fdade5bde99b09c.jpg?mw=660,Dessert,Falooda,India
https://www.tasteatlas.com/putu-mayam,https://cdn.tasteatlas.com//Images/Dishes/9486e817e7aa4b2dbd03c1c9da005fc4.jpg?mw=660,Noodle Dish,Putu mayam,India
https://www.tasteatlas.com/dal-tadka,https://cdn.tasteatlas.com//images/dishes/617f5d93003c43a992244eff2dd52b6d.jpg?mw=660,Stew,Dal tadka,India
https://www.tasteatlas.com/jalebi,https://cdn.tasteatlas.com//images/dishes/85dca6a42c8948f6a861fba0a5442c8f.jpg?mw=660,Deep-fried Dessert,Jalebi,India
https://www.tasteatlas.com/jeera-rice,https://cdn.tasteatlas.com//images/dishes/560b70e2b97d4a7dabaeabf83866302e.jpg?mw=660,Rice Dish,Jeera Rice,India
https://www.tasteatlas.com/bonda,https://cdn.tasteatlas.com//Images/Dishes/d5fac5de4c5149dfae566eebb2eb7f59.jpg?mw=660,Potato Dish,Bonda,India
https://www.tasteatlas.com/kaju-katli,https://cdn.tasteatlas.com//Images/Dishes/7be1f4cc4c6747868181dc95398df458.jpg?mw=660,Dessert,Kaju katli,India
https://www.tasteatlas.com/punjabi-kadhi,https://cdn.tasteatlas.com//images/dishes/b2dae808a2d9472f9a6183c9b930c6d2.jpg?mw=660,Stew,Punjabi kadhi,India
https://www.tasteatlas.com/aloo-paratha,https://cdn.tasteatlas.com//Images/Dishes/68a0b958e4ec47d7bfc0f5554b5bb746.jpg?mw=660,Breakfast,Aloo paratha,India
https://www.tasteatlas.com/patrode,https://cdn.tasteatlas.com//images/dishes/f0a30d373ee6437f8068dc9997be8701.jpg?mw=660,Vegetable Dish,Aluchya Wadya,India
https://www.tasteatlas.com/mattar-paneer,https://cdn.tasteatlas.com//Images/Dishes/ef2e189156f642d989e433c2af47a584.jpg?mw=660,Vegetable Dish,Mattar paneer,India
https://www.tasteatlas.com/kachori,https://cdn.tasteatlas.com//Images/Dishes/07272c50684d428b8b034e7c97a4f87e.jpg?mw=660,Snack,Kachori,India
https://www.tasteatlas.com/kulcha,https://cdn.tasteatlas.com//Images/Dishes/1bac151589d64b298ae673624e080866.jpg?mw=660,Flatbread,Kulcha,India
https://www.tasteatlas.com/phirni,https://cdn.tasteatlas.com//Images/Dishes/edf4f02d196d4a2d8b5190db47b1b096.jpg?mw=660,Pudding,Phirni,India
https://www.tasteatlas.com/muthia,https://cdn.tasteatlas.com//images/dishes/f5fd3ee98c9d42688f2333d5a4a87944.jpg?mw=660,Dumplings,Muthia,India
https://www.tasteatlas.com/laal-maas,https://cdn.tasteatlas.com//images/dishes/4b653d04e3a4440eb822e424cbcf4424.jpg?mw=660,Stew,Laal maas,India
https://www.tasteatlas.com/kadai-paneer,https://cdn.tasteatlas.com//images/dishes/ded879e1f20347e2a60114cc93da4248.jpg?mw=660,Stew,Kadai paneer,India
https://www.tasteatlas.com/madras-curry,https://cdn.tasteatlas.com//images/dishes/d6a8f798e5c94e3dbaa61d8471971159.jpg?mw=660,Stew,Madras Curry,India
https://www.tasteatlas.com/curd-rice,https://cdn.tasteatlas.com//Images/Dishes/2dcad48106534bd8a1013961c8e3c7b3.jpg?mw=660,Rice Dish,Curd Rice,India
https://www.tasteatlas.com/dhokla,https://cdn.tasteatlas.com//Images/Dishes/148d38515fc64278a65b71df7bb00725.jpg?mw=660,Snack,Dhokla,India
https://www.tasteatlas.com/paneer-tikka,https://cdn.tasteatlas.com//images/dishes/16dbebbff2e04e0d984f4ed83be93b97.jpg?mw=660,Cheese Dish,Paneer tikka,India
https://www.tasteatlas.com/aloo-gobi,https://cdn.tasteatlas.com//Images/Dishes/d5e9d11a668640eb9cfd790b4c21436a.jpg?mw=660,Potato Dish,Aloo gobi,India
https://www.tasteatlas.com/coconut-chutney,https://cdn.tasteatlas.com//Images/Dishes/95eb97a4ccfc458bbc63fd4f15cbba78.jpg?mw=660,Side Dish,Coconut Chutney,India
https://www.tasteatlas.com/shrikhand,https://cdn.tasteatlas.com//Images/Dishes/b40366bbc02a4ad583c12a036f44e69a.jpg?mw=660,Dessert,Shrikhand,India
https://www.tasteatlas.com/medu-vada,https://cdn.tasteatlas.com//Images/Dishes/d69c2f9b128a49299056a0bb9eca8a45.jpg?mw=660,Snack,Medu vada,India
https://www.tasteatlas.com/panjiri,https://cdn.tasteatlas.com//images/dishes/8b590f23f89849f39e9bff1c8be77516.jpg?mw=660,Dessert,Panjiri,India
https://www.tasteatlas.com/bhakri,https://cdn.tasteatlas.com//images/dishes/9dbd66882cea4e3789a71ffbb77ef2bd.jpg?mw=660,Flatbread,Bhakri,India
https://www.tasteatlas.com/pesara-dosa,https://cdn.tasteatlas.com//Images/Dishes/bfbbd4dc711f41998c123baeaf6c13cc.jpg?mw=660,Flatbread,Pesara dosa,India
https://www.tasteatlas.com/baati,https://cdn.tasteatlas.com//Images/Dishes/a0f80468aa0f43e1a0cd3b3faef40e00.jpg?mw=660,Bread,Baati,India
