search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/biryani,https://cdn.tasteatlas.com//Images/Dishes/8fd2297171484b88be3e3e6815979690.jpg?mw=660,Rice Dish,Biryani,Iran
https://www.tasteatlas.com/pilaf,https://cdn.tasteatlas.com//Images/Dishes/49a441aab7b34bc799bd0f4030429c73.jpg?mw=660,Rice Dish,Pilaf,Iran
https://www.tasteatlas.com/kuku,https://cdn.tasteatlas.com//Images/Dishes/f6278cc497554c6c9a3b60a00eb7c0c8.jpg?mw=660,Egg Dish,Kuku,Iran
https://www.tasteatlas.com/gaz,https://cdn.tasteatlas.com//Images/Dishes/b60e78a21a0a40db8c459e92c0a1f53e.jpg?mw=660,Dessert,Gaz,Iran
https://www.tasteatlas.com/abgoosht,https://cdn.tasteatlas.com//Images/Dishes/2def4f3aa290418ab116f34dcbdf8e1c.jpg?mw=660,Stew,Abgoosht,Iran
https://www.tasteatlas.com/zulbia,https://cdn.tasteatlas.com//images/dishes/85dca6a42c8948f6a861fba0a5442c8f.jpg?mw=660,Deep-fried Dessert,Zulbia,Iran
https://www.tasteatlas.com/khoresh-gheimeh,https://cdn.tasteatlas.com//Images/Dishes/00fa0d16fc40452b808c0fc660a3252e.jpg?mw=660,Stew,Khoresh gheimeh,Iran
https://www.tasteatlas.com/pashmak,https://cdn.tasteatlas.com//Images/Dishes/835f7abc476f4c55a6d39868be077ab2.jpg?mw=660,Dessert,Pashmak,Iran
https://www.tasteatlas.com/chelow-kebab,https://cdn.tasteatlas.com//Images/Dishes/407c0d2fda8b4591877846d7f1128ca3.jpg?mw=660,Meat Dish,Chelow kebab,Iran
https://www.tasteatlas.com/khoresh,https://cdn.tasteatlas.com//images/dishes/4b99b8ebdb1c42ac98055e9e7629dc21.jpg?mw=660,Stew,Khoresh,Iran
https://www.tasteatlas.com/kabab-koobideh,https://cdn.tasteatlas.com//Images/Dishes/6cf4640bbc5244beb781a011508ad14a.jpg?mw=660,Ground Meat Dish,Kabab koobideh,Iran
https://www.tasteatlas.com/zereshk-polow,https://cdn.tasteatlas.com//images/dishes/054805fd42f84786a600965d872a1fb1.jpg?mw=660,Rice Dish,Zereshk polow,Iran
https://www.tasteatlas.com/jujeh-kabab,https://cdn.tasteatlas.com//images/dishes/61e71867ffb34aa38af6ccbfa0000082.jpg?mw=660,Chicken Dish,Jujeh kabab,Iran
https://www.tasteatlas.com/bastani-sonnati,https://cdn.tasteatlas.com//images/dishes/a68f74f1e799404d8da60f11d6a765c1.jpg?mw=660,Ice Cream,Bastani sonnati,Iran
https://www.tasteatlas.com/kabab-barg,https://cdn.tasteatlas.com//images/dishes/158b62ab83724617a6dad392e5f79ff3.jpg?mw=660,Meat Dish,Kabab barg,Iran
https://www.tasteatlas.com/tahchin,https://cdn.tasteatlas.com//Images/Dishes/d937870a9fbd473fa13916a427d7492f.jpg?mw=660,Rice Dish,Tahchin,Iran
https://www.tasteatlas.com/masghati,https://cdn.tasteatlas.com//images/dishes/301d2dc3e02e4b9bbcb9047c4542f2a5.jpg?mw=660,Dessert,Masghati,Iran
https://www.tasteatlas.com/sabzi-khordan,https://cdn.tasteatlas.com//images/dishes/201a2ea22dd84566b5aa446e936227a9.jpg?mw=660,Vegetable Dish,Sabzi khordan,Iran
https://www.tasteatlas.com/kashke-bademjan,https://cdn.tasteatlas.com//images/dishes/bea238add0dc4386a4cef6a15fb4855f.jpg?mw=660,Vegetable Dish,Kashke bademjan,Iran
https://www.tasteatlas.com/tahdig,https://cdn.tasteatlas.com//images/dishes/d8902c84d75549e09cd7cf7d4d788750.jpg?mw=660,Rice Dish,Tahdig,Iran
https://www.tasteatlas.com/kufteh-tabrizi,https://cdn.tasteatlas.com//images/dishes/0f785cf5f85b4d729d33e439e3922282.jpg?mw=660,Meatballs,Kufteh tabrizi,Iran
https://www.tasteatlas.com/kateh,https://cdn.tasteatlas.com//Images/Dishes/60894d73a8e34a9ca0dbfdf135e11c4e.jpg?mw=660,Technique,Kateh,Iran
https://www.tasteatlas.com/sholeh-zard,https://cdn.tasteatlas.com//images/dishes/3f1c00e46af5419dbc9cbbfb5f6c925b.jpg?mw=660,Pudding,Sholeh zard,Iran
https://www.tasteatlas.com/nan-e-shirmal,https://cdn.tasteatlas.com//Images/Dishes/5112dc3af14043e6b0d862fcacbbb848.jpg?mw=660,Flatbread,Nan-e shirmal,Iran
https://www.tasteatlas.com/nan-e-sangak,https://cdn.tasteatlas.com//Images/Dishes/5933f945dc5043098ca331d4223451a2.jpg?mw=660,Flatbread,Nan-e sangak,Iran
https://www.tasteatlas.com/kuku-sabzi,https://cdn.tasteatlas.com//Images/Dishes/3f2afd0b4ab34b4f98f3b3ca6f0b561c.jpg?mw=660,Egg Dish,Kuku sabzi,Iran
https://www.tasteatlas.com/morasa-polo,https://cdn.tasteatlas.com//images/dishes/3a140d080a004d88b79fcf1e8ff02007.jpg?mw=660,Rice Dish,Morasa polo,Iran
https://www.tasteatlas.com/noghl,https://cdn.tasteatlas.com//Images/Dishes/0e7b20d515184cd093f090f39edc8595.jpg?mw=660,Dessert,Noghl,Iran
https://www.tasteatlas.com/qottab,https://cdn.tasteatlas.com//images/dishes/534acbfdb0864f11bfc333824c7ce770.jpg?mw=660,Sweet Pastry,Qottab,Iran
https://www.tasteatlas.com/gheymeh-nesar,https://cdn.tasteatlas.com//images/dishes/8511986585644c76a37db8c62dfecaf3.jpg?mw=660,Meat Dish,Gheymeh nesar,Iran
https://www.tasteatlas.com/ghormeh-sabzi,https://cdn.tasteatlas.com//images/dishes/b937783340484cdd9a02639a4e64ef39.jpg?mw=660,Stew,Ghormeh sabzi,Iran
https://www.tasteatlas.com/nan-e-taftoon,https://cdn.tasteatlas.com//images/dishes/b99141f21f8049b19b08511e8115740b.jpg?mw=660,Flatbread,Nan-e taftoon,Iran
https://www.tasteatlas.com/morgh-e-shekam-por,https://cdn.tasteatlas.com//Images/Dishes/f90c0ee970bb4450a3cead1de31c5c9d.jpg?mw=660,Chicken Dish,Morgh e shekam por,Iran
https://www.tasteatlas.com/nan-e-barbari,https://cdn.tasteatlas.com//Images/Dishes/df35c8c94448471a94b97f65b6629956.jpg?mw=660,Flatbread,Nan-e barbari,Iran
https://www.tasteatlas.com/ranginak,https://cdn.tasteatlas.com//images/dishes/9d62920cb5ad40f7aba7a4eda38772e2.jpg?mw=660,Dessert,Ranginak,Iran
https://www.tasteatlas.com/zeytoon-parvardeh,https://cdn.tasteatlas.com//images/dishes/3047c660bcdf467c96e3d0128a087d55.jpg?mw=660,Appetizer,Zeytoon parvardeh,Iran
https://www.tasteatlas.com/halva-ardeh,https://cdn.tasteatlas.com//images/dishes/886db9f3771b4ae89412e2e3c274d6ec.jpg?mw=660,Dessert,Halva ardeh,Iran
https://www.tasteatlas.com/mast-o-khiar,https://cdn.tasteatlas.com//Images/Dishes/3abc21675c36434fa9107e2332300ed4.jpg?mw=660,Dip,Mast o khiar,Iran
https://www.tasteatlas.com/khoresht-mast,https://cdn.tasteatlas.com//images/dishes/6aa7bc194b524b928a174591f6157bfa.jpg?mw=660,Dessert,Khoresht mast,Iran
