search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/dubliner,https://cdn.tasteatlas.com//images/ingredients/df1fa29ed4744fe284ea02770d5f571b.jpg?mw=660,Cheese,Dubliner,Ireland
https://www.tasteatlas.com/milleens,https://cdn.tasteatlas.com//images/ingredients/98237e9964604277a72980999a8d86e1.jpg?mw=660,Cheese,Milleens,Ireland
https://www.tasteatlas.com/cashel-blue,https://cdn.tasteatlas.com//images/ingredients/7038e286ba4e499c85db4f3cc8a54a90.jpg?mw=660,Cheese,Cashel Blue,Ireland
https://www.tasteatlas.com/ardrahan,https://cdn.tasteatlas.com//images/ingredients/132130a0614d466081d921ac0b73bc01.jpg?mw=660,Cheese,Ardrahan,Ireland
https://www.tasteatlas.com/blarney-castle,https://cdn.tasteatlas.com//images/ingredients/d4631c6a6bd140e290f10d81879c4420.jpg?mw=660,Cheese,Blarney Castle,Ireland
https://www.tasteatlas.com/coolea-cheese,https://cdn.tasteatlas.com//images/ingredients/e17947621b87487d8455e0be2d50ed73.jpg?mw=660,Cheese,Coolea,Ireland
https://www.tasteatlas.com/clare-island-salmon,https://cdn.tasteatlas.com//images/ingredients/6a257a53fa7d4033be397f96ca0cb714.jpg?mw=660,Salmon,Clare Island Salmon,Ireland
https://www.tasteatlas.com/gubbeen,https://cdn.tasteatlas.com//images/ingredients/7e59afb2757d4012aa72eae198c40557.jpg?mw=660,Cheese,Gubbeen,Ireland
https://www.tasteatlas.com/durrus-cheese,https://cdn.tasteatlas.com//images/ingredients/f16b7d9a02e84c9a9f8e77b535a57cb4.jpg?mw=660,Cheese,Durrus,Ireland
https://www.tasteatlas.com/st-killian,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Cheese,St. Killian,Ireland
https://www.tasteatlas.com/connemara-hill-lamb,https://cdn.tasteatlas.com//Images/Ingredients/f91f90e5f1744ce48e558b37ec2eca4f.jpg?mw=660,Lamb,Connemara Hill lamb,Ireland
https://www.tasteatlas.com/walnut-cheddar,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Cheese,Walnut Cheddar,Ireland
https://www.tasteatlas.com/coolattin-cheddar,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Cheese,Coolattin Cheddar,Ireland
https://www.tasteatlas.com/st-gall,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Cheese,St Gall,Ireland
https://www.tasteatlas.com/carlowcheese,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Cheese,Carlow,Ireland
https://www.tasteatlas.com/croghan,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Cheese,Croghan,Ireland
https://www.tasteatlas.com/cooleney-cheese,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Cheese,Cooleeney,Ireland
https://www.tasteatlas.com/dunbarra,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Cheese,Dunbarra,Ireland
https://www.tasteatlas.com/wicklow-blue,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Cheese,Wicklow Blue,Ireland
https://www.tasteatlas.com/bellingham-blue,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Cheese,Bellingham Blue,Ireland
https://www.tasteatlas.com/mossfield,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Cheese,Mossfield,Ireland
https://www.tasteatlas.com/baylough,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Cheese,Baylough,Ireland
https://www.tasteatlas.com/drumlin,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Cheese,Drumlin,Ireland
https://www.tasteatlas.com/lavistown,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Cheese,Lavistown,Ireland
https://www.tasteatlas.com/imokilly-regato,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Cheese,Imokilly Regato,Ireland
https://www.tasteatlas.com/cahills-whiskey-cheese,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Cheese,Cahill's Whiskey Cheese,Ireland
https://www.tasteatlas.com/oriel-sea-salt,https://cdn.tasteatlas.com//Images/Ingredients/9bfbe8f70e8c47c9b2c96bdf379bf6e4.jpg?mw=660,Salt,Oriel Sea Salt,Ireland
https://www.tasteatlas.com/crozier-blue,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Cheese,Crozier Blue,Ireland
https://www.tasteatlas.com/cratloe-hills,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Cheese,Cratloe Hills,Ireland
https://www.tasteatlas.com/glebe-brethan,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Cheese,Glebe Brethan,Ireland
https://www.tasteatlas.com/clonmore,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Cheese,Clonmore,Ireland
https://www.tasteatlas.com/knockdrinna-meadow,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Cheese,Knockdrinna Meadow,Ireland
https://www.tasteatlas.com/mine-gabhar,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Cheese,Mine-Gabhar,Ireland
https://www.tasteatlas.com/dublin-bay-prawns,https://cdn.tasteatlas.com//images/ingredients/323fc0aaaaa14d14a47100271662e191.jpg?mw=660,Lobster,Dublin Bay Prawns,Ireland
https://www.tasteatlas.com/st-tola-log,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Cheese,St Tola Log,Ireland
https://www.tasteatlas.com/st-tola-divine,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Cheese,St Tola Divine,Ireland
https://www.tasteatlas.com/bluebell-falls-cygnus,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Cheese,Bluebell Falls Cygnus,Ireland
https://www.tasteatlas.com/wexford-blackcurrant,https://cdn.tasteatlas.com//images/ingredients/f2279b5b5b8d4085af1c5f462e64455a.jpg?mw=660,Blackcurrant,Wexford Blackcurrant,Ireland
