search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/falafel,https://cdn.tasteatlas.com//images/dishes/6a7d870a48e34847b06f1711907ccf8a.jpg?mw=660,Street Food,Falafel,Israel
https://www.tasteatlas.com/challah,https://cdn.tasteatlas.com//Images/Dishes/d4c3d4c3463c45ea8013ad5b4d9224f2.jpg?mw=660,Bread,Challah,Israel
https://www.tasteatlas.com/matzo,https://cdn.tasteatlas.com//Images/Dishes/18ae22928bc3466380e2120e851e9cfd.jpg?mw=660,Flatbread,Matzo,Israel
https://www.tasteatlas.com/cholent,https://cdn.tasteatlas.com//Images/Dishes/c30ff429cba145c8b07759da9708232e.jpg?mw=660,Stew,Cholent,Israel
https://www.tasteatlas.com/kugel,https://cdn.tasteatlas.com//Images/Dishes/c2ca4328efd448e6947a0fc03e96f679.jpg?mw=660,Casserole,Kugel,Israel
https://www.tasteatlas.com/rugelach,https://cdn.tasteatlas.com//Images/Dishes/98b23abb490148f2bd499bd02d6c15f3.jpg?mw=660,Sweet Pastry,Rugelach,Israel
https://www.tasteatlas.com/israeli-salad,https://cdn.tasteatlas.com//Images/Dishes/1055721463324be9b0056e01adf55d23.jpg?mw=660,Salad,Israeli Salad,Israel
https://www.tasteatlas.com/hummus-israel,https://cdn.tasteatlas.com//images/dishes/61d5db7fc3cc42c896813471d334d052.jpg?mw=660,Dip,Hummus,Israel
https://www.tasteatlas.com/sabich,https://cdn.tasteatlas.com//images/dishes/bbdb1674247446149ab38b4bc8fc44ac.jpg?mw=660,Sandwich,Sabich,Israel
https://www.tasteatlas.com/tahini-israel,https://cdn.tasteatlas.com//Images/Dishes/7e45878178134a20aaff2d2246fd500c.jpg?mw=660,Dip,Tahini,Israel
https://www.tasteatlas.com/shawarma-israel,https://cdn.tasteatlas.com//images/dishes/a2a68bb8904548639a51bbb609c50821.jpg?mw=660,Street Food,Shawarma,Israel
https://www.tasteatlas.com/israeli-breakfast,https://cdn.tasteatlas.com//Images/Dishes/4a89b18de68c42c2b3093ad5b581ac22.jpg?mw=660,Breakfast,Israeli Breakfast,Israel
https://www.tasteatlas.com/mandel-bread,https://cdn.tasteatlas.com//images/dishes/ac82e271c0254096b941354da1a9c098.jpg?mw=660,Cookie,Mandelbrot,Israel
https://www.tasteatlas.com/tahini-cookie,https://cdn.tasteatlas.com//Images/Dishes/43d3437bd11a4de8bf147e64d2198bef.jpg?mw=660,Cookie,Tahini Cookie,Israel
https://www.tasteatlas.com/sufganiyah,https://cdn.tasteatlas.com//Images/Dishes/b7f7d296dbfa47499e09f7ea5952e2fd.jpg?mw=660,Sweet Pastry,Sufganiyah,Israel
https://www.tasteatlas.com/taboon,https://cdn.tasteatlas.com//images/dishes/bf646d28bf6146a68c20e7d323323936.jpg?mw=660,Flatbread,Taboon,Israel
https://www.tasteatlas.com/shakshouka-israel,https://cdn.tasteatlas.com//Images/Dishes/16db5759e81b4166a0eb8bccaa211e6a.jpg?mw=660,Egg Dish,Shakshouka,Israel
https://www.tasteatlas.com/kreplach,https://cdn.tasteatlas.com//images/dishes/ed94d1e36816473b8fe7a90191366dee.jpg?mw=660,Dumplings,Kreplach,Israel
https://www.tasteatlas.com/malawach,https://cdn.tasteatlas.com//images/dishes/1465ea4dbbd6457d8a29bd606831a97b.jpg?mw=660,Flatbread,Malawach,Israel
https://www.tasteatlas.com/kunafah-israel,https://cdn.tasteatlas.com//Images/Dishes/fea42741c0934a0494256d70187f0803.jpg?mw=660,Sweet Pastry,KunÄfah,Israel
https://www.tasteatlas.com/labneh-israel,https://cdn.tasteatlas.com//Images/Dishes/86b988cf271f48ea8c19d0a352e5a635.jpg?mw=660,Dip,Labneh,Israel
https://www.tasteatlas.com/charoset,https://cdn.tasteatlas.com//Images/Dishes/eaa1296247134f0589f6165279107bc5.jpg?mw=660,Dip,Charoset,Israel
https://www.tasteatlas.com/bourekas,https://cdn.tasteatlas.com//images/dishes/e75cdd476e3a483c8e1d72d21a3ba21f.jpg?mw=660,Pastry,Bourekas,Israel
https://www.tasteatlas.com/jerusalem-mixed-grill,https://cdn.tasteatlas.com//images/dishes/0ae7109af45847eb97b3f5ceb56bfe98.jpg?mw=660,Sandwich,Jerusalem Mixed Grill,Israel
https://www.tasteatlas.com/kichel,https://cdn.tasteatlas.com//images/dishes/086cea822b8a4abbb029b46b4ad68906.jpg?mw=660,Cookie,Kichel,Israel
https://www.tasteatlas.com/matzah-brei,https://cdn.tasteatlas.com//images/dishes/ecbd6d54ad6947448a6756711e7157e6.jpg?mw=660,Egg Dish,Matzah brei,Israel
https://www.tasteatlas.com/hamantash,https://cdn.tasteatlas.com//images/dishes/485c56f8048849ef8860dcca8858e0e6.jpg?mw=660,Cookie,Hamantash,Israel
https://www.tasteatlas.com/bagel-toast,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Sandwich,Bagel Toast,Israel
https://www.tasteatlas.com/yerushalmi-kugel,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Casserole,Yerushalmi Kugel,Israel
https://www.tasteatlas.com/jachnun-israel,https://cdn.tasteatlas.com//images/dishes/191d106d925b45d28c8d3d638eb743ba.jpg?mw=660,Pastry,Jachnun,Israel
https://www.tasteatlas.com/haminados,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Egg Dish,Haminados,Israel
https://www.tasteatlas.com/ziva,https://cdn.tasteatlas.com//images/dishes/b743ba954ae84c37b1581641e6cd7b4f.jpg?mw=660,Snack,Ziva,Israel
https://www.tasteatlas.com/salatim,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Assorted Small Dishes or Ritual,Salatim,Israel
https://www.tasteatlas.com/sigariyot,https://cdn.tasteatlas.com//images/dishes/1641b24e6be341e383248c9756e5d952.jpg?mw=660,Appetizer,sigariyot,Israel
https://www.tasteatlas.com/orez-shuit,https://cdn.tasteatlas.com//images/dishes/be3a89a9653b4bcea029bb58f212427a.jpg?mw=660,Side Dish,Orez shu'it,Israel
https://www.tasteatlas.com/skewered-goose-liver,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Offal Dish,Skewered Goose Liver,Israel
