search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/jamaican-jerk,https://cdn.tasteatlas.com//Images/Dishes/502c0f5e0e2949a39a47a7c20374c383.jpg?mw=660,Meat Dish,Jamaican Jerk,Jamaica
https://www.tasteatlas.com/jamaican-patty,https://cdn.tasteatlas.com//Images/Dishes/8736a0c965924550851a86b1a2bb5f7e.jpg?mw=660,Savory Pastry,Jamaican Patty,Jamaica
https://www.tasteatlas.com/fish-tea,https://cdn.tasteatlas.com//images/dishes/981f1fe4459740929a8b2b7024d2ff9a.jpg?mw=660,Fish Soup,Fish Tea,Jamaica
https://www.tasteatlas.com/jamaican-steamed-fish,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Saltwater Fish Dish,Jamaican Steamed Fish,Jamaica
https://www.tasteatlas.com/brown-stew-chicken,https://cdn.tasteatlas.com//images/dishes/f56d2520ae264eda8532f6c3b7455865.jpg?mw=660,Stew,Brown Stew Chicken,Jamaica
https://www.tasteatlas.com/stamp-and-go,https://cdn.tasteatlas.com//images/dishes/97cf43bb081544acbd75ea0e0fb483fd.jpg?mw=660,Street Food,Stamp and Go,Jamaica
https://www.tasteatlas.com/sweet-potato-pudding,https://cdn.tasteatlas.com//images/dishes/407a0f572f594f5fa4a329534ec3afd2.jpg?mw=660,Dessert,Sweet Potato Pudding,Jamaica
https://www.tasteatlas.com/hummingbird-cake,https://cdn.tasteatlas.com//images/dishes/b0355b29a198456eb86af1015051e875.jpg?mw=660,Cake,Hummingbird Cake,Jamaica
https://www.tasteatlas.com/bammy,https://cdn.tasteatlas.com//images/dishes/e0b960a51f184bc3822f3c4d7ee38f0a.jpg?mw=660,Flatbread,Bammy,Jamaica
https://www.tasteatlas.com/ackee-and-saltfish,https://cdn.tasteatlas.com//Images/Dishes/6a1475df2bbf470282966de5df604f2a.jpg?mw=660,Breakfast,Ackee and Saltfish,Jamaica
https://www.tasteatlas.com/festival,https://cdn.tasteatlas.com//Images/Dishes/e7b1346e962447298fb9441709f944b6.jpg?mw=660,Dumplings,Festival,Jamaica
https://www.tasteatlas.com/gizzada,https://cdn.tasteatlas.com//images/dishes/eb74aff66a3f4bc6ad05b583430f4f8d.jpg?mw=660,Tart,Gizzada,Jamaica
https://www.tasteatlas.com/run-down,https://cdn.tasteatlas.com//Images/Dishes/87dcdc6f4f8e4cde9bd9686e34acfb40.jpg?mw=660,Stew,Run Down,Jamaica
https://www.tasteatlas.com/escovitch-fish,https://cdn.tasteatlas.com//images/dishes/5c4e1e9e9d8940faac129f81869684b6.jpg?mw=660,Saltwater Fish Dish,Escovitch Fish,Jamaica
https://www.tasteatlas.com/brown-stew-fish,https://cdn.tasteatlas.com//images/dishes/4adbc6cd665d454688899705aa03c904.jpg?mw=660,Stew,Brown Stew Fish,Jamaica
https://www.tasteatlas.com/oxtail-with-broad-beans,https://cdn.tasteatlas.com//images/dishes/20f15ce8cc794fccbc0550dbbf8dd465.jpg?mw=660,Stew,Oxtail with Broad Beans,Jamaica
https://www.tasteatlas.com/coco-bread,https://cdn.tasteatlas.com//images/dishes/7bc4de416e87443b8a903984b6a841a6.jpg?mw=660,Sweet Bread,Coco Bread,Jamaica
https://www.tasteatlas.com/steamed-cabbage,https://cdn.tasteatlas.com//Images/Dishes/da4270f76b4a4212b4b3cac85dacce5c.jpg?mw=660,Side Dish,Steamed Cabbage,Jamaica
https://www.tasteatlas.com/tamarind-balls,https://cdn.tasteatlas.com//Images/Dishes/e85784058d8041c9b594d3d917d5aa27.jpg?mw=660,Dessert,Tamarind Balls,Jamaica
https://www.tasteatlas.com/coconut-drop,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Dessert,Coconut Drop,Jamaica
https://www.tasteatlas.com/bulla-cake,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Cake,Bulla Cake,Jamaica
https://www.tasteatlas.com/peanut-drops,https://cdn.tasteatlas.com//images/dishes/fc9d1afb26ec47d0b53e469a7c20fd82.jpg?mw=660,Dessert,Peanut Drops,Jamaica
https://www.tasteatlas.com/jamaican-mackerel-rundown,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Saltwater Fish Dish,Jamaican Mackerel Rundown,Jamaica
https://www.tasteatlas.com/ital-stew,https://cdn.tasteatlas.com//Images/Dishes/0046a8431b074d6dbd941b2231709bba.jpg?mw=660,Stew,Ital Stew,Jamaica
https://www.tasteatlas.com/red-peas-soup,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Stew,Red Peas Soup,Jamaica
https://www.tasteatlas.com/curried-lobster,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Lobster Dish,Curried Lobster,Jamaica
https://www.tasteatlas.com/peppered-shrimps,https://cdn.tasteatlas.com//Images/Dishes/c5e9e201b9ad4ce99fca5fa71b22ce82.jpg?mw=660,Shrimp/Prawn Dish,Peppered Shrimps,Jamaica
https://www.tasteatlas.com/grater-cake,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Dessert,Grater Cake,Jamaica
https://www.tasteatlas.com/mannish-water,https://cdn.tasteatlas.com//images/dishes/c8ebdc1630a7479eb4e2815c225ef611.jpg?mw=660,Soup,Mannish Water,Jamaica
https://www.tasteatlas.com/toto,https://cdn.tasteatlas.com//images/dishes/19a6d04536e541c2819c110dfa669041.jpg?mw=660,Cake,Toto,Jamaica
https://www.tasteatlas.com/duckanoo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Pudding,Duckanoo,Jamaica
https://www.tasteatlas.com/chicken-foot-soup,https://cdn.tasteatlas.com//images/dishes/02846fc5e22643e8a304a4aa8f329c02.jpg?mw=660,Chicken Soup,Chicken Foot Soup,Jamaica
https://www.tasteatlas.com/spinners,https://cdn.tasteatlas.com//images/dishes/56fb9b237af046a6b69d20b44bc436b3.jpg?mw=660,Dumplings,Spinners,Jamaica
https://www.tasteatlas.com/hard-dough-bread,https://cdn.tasteatlas.com//images/dishes/04ed3fdb102341bb885b717997b8c6a0.jpg?mw=660,Sweet Bread,Hard Dough Bread,Jamaica
https://www.tasteatlas.com/gungo-peas-soup,https://cdn.tasteatlas.com//images/dishes/8e87a8d0724d492d882ff35d8c6db78d.jpg?mw=660,Soup,Gungo Peas Soup,Jamaica
