search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/labneh,https://cdn.tasteatlas.com//Images/Dishes/86b988cf271f48ea8c19d0a352e5a635.jpg?mw=660,Dip,Labneh,Jordan
https://www.tasteatlas.com/mansaf,https://cdn.tasteatlas.com//images/dishes/1227c0c6ef75488895a61d4d22ec3988.jpg?mw=660,Meat Dish,Mansaf,Jordan
https://www.tasteatlas.com/warbat,https://cdn.tasteatlas.com//Images/Dishes/0b21d5257a514bfcbd7bf0136f5cf7d8.jpg?mw=660,Sweet Pastry,Warbat,Jordan
https://www.tasteatlas.com/zarb,https://cdn.tasteatlas.com//images/dishes/cb6c4ebd2f504076970cba71b276f2f1.jpg?mw=660,Technique,Zarb,Jordan
https://www.tasteatlas.com/maqluba-jordan,https://cdn.tasteatlas.com//images/dishes/37c2673a6c914365946f2402e74ee0e0.jpg?mw=660,Rice Dish,Maqluba,Jordan
https://www.tasteatlas.com/malfuf,https://cdn.tasteatlas.com//images/dishes/3f39ed18dd78431b8671c2ac79ff2b6e.jpg?mw=660,Ground Meat Dish,Malfuf,Jordan
https://www.tasteatlas.com/kousa-mahshi,https://cdn.tasteatlas.com//images/dishes/ec7c6ade8f0c48408a51195ddbc1d656.jpg?mw=660,Ground Meat Dish,Kousa mahshi,Jordan
https://www.tasteatlas.com/al-rashoof,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Soup,Al-rashoof,Jordan
https://www.tasteatlas.com/mutabal-jordan,https://cdn.tasteatlas.com//images/dishes/16b7c00d2edd4d4da9657cc19e4e9d9a.jpg?mw=660,Dip,Mutabal,Jordan
https://www.tasteatlas.com/fattet-hummus,https://cdn.tasteatlas.com//images/dishes/402ef0b9c52f4b79b22427ea73e0cab0.jpg?mw=660,Breakfast,Fattet hummus,Jordan
https://www.tasteatlas.com/abud,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Flatbread,Abud,Jordan
https://www.tasteatlas.com/shurabat-al-farik,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Soup,Shurabat al-farik,Jordan
https://www.tasteatlas.com/galayet-bandora,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Plant-based/Vegan Dish,Galayet bandora,Jordan
