search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/beshbarmak,https://cdn.tasteatlas.com//Images/Dishes/9fe137dbccec4c35ab5aea1bc38ce09d.jpg?mw=660,Meat Dish,Beshbarmak,Kazakhstan
https://www.tasteatlas.com/kazy,https://cdn.tasteatlas.com//images/dishes/9fd3161b13734f7fbadd71c80314bc57.jpg?mw=660,Sausage,Kazy,Kazakhstan
https://www.tasteatlas.com/baursak,https://cdn.tasteatlas.com//Images/Dishes/e922ef5b24a94fb889666121669c24fd.jpg?mw=660,Bread,Baursak,Kazakhstan
https://www.tasteatlas.com/tohax,https://cdn.tasteatlas.com//images/dishes/15d7ec6bce704e3a86c66ba346c2f311.jpg?mw=660,Bread,Tohax,Kazakhstan
https://www.tasteatlas.com/shalgam,https://cdn.tasteatlas.com//images/dishes/8383fd331aae45c486dfec50f980bf30.jpg?mw=660,Salad,Shalgam,Kazakhstan
https://www.tasteatlas.com/shelpek,https://cdn.tasteatlas.com//images/dishes/bf800a82b6ac40509b83f0f18ff982ea.jpg?mw=660,Flatbread,Shelpek,Kazakhstan
https://www.tasteatlas.com/zhaya,https://cdn.tasteatlas.com//images/dishes/23ed012024ea47bc811a9b24a9c957a1.jpg?mw=660,Appetizer,Zhaya,Kazakhstan
https://www.tasteatlas.com/zhal,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Appetizer,Zhal,Kazakhstan
https://www.tasteatlas.com/mypalau,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Offal Dish,Mypalau,Kazakhstan
https://www.tasteatlas.com/qarta,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Horse Dish,Qarta,Kazakhstan
https://www.tasteatlas.com/ulpershek,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Offal Dish,Ulpershek,Kazakhstan
