search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/nyama-choma,https://cdn.tasteatlas.com//Images/Dishes/9c9424f49c284acbbd2e6ef426727aef.jpg?mw=660,Meat Dish,Nyama choma,Kenya
https://www.tasteatlas.com/ugali-kenya,https://cdn.tasteatlas.com//Images/Dishes/985b4a554d78412095570839c5b09b3e.jpg?mw=660,Side Dish,Ugali,Kenya
https://www.tasteatlas.com/wali-wa-kukaanga,https://cdn.tasteatlas.com//images/dishes/1d513cfb5ae74343b7e71ecbea165316.jpg?mw=660,Rice Dish,Wali wa kukaanga,Kenya
https://www.tasteatlas.com/githeri,https://cdn.tasteatlas.com//Images/Dishes/90200d42c5254588a0ec27df96271d15.jpg?mw=660,Stew,Githeri,Kenya
https://www.tasteatlas.com/mutura,https://cdn.tasteatlas.com//Images/Dishes/514401520e9b4c438841c5bf8a9f439b.jpg?mw=660,Sausage,Mutura,Kenya
https://www.tasteatlas.com/irio,https://cdn.tasteatlas.com//Images/Dishes/46ba6281446d49b292f180b42ac12a8c.jpg?mw=660,Vegetable Dish,Irio,Kenya
https://www.tasteatlas.com/kachumbari,https://cdn.tasteatlas.com//images/dishes/890a96660591462097f081e1ffb627ad.jpg?mw=660,Salad,Kachumbari,Kenya
https://www.tasteatlas.com/mukimo,https://cdn.tasteatlas.com//images/dishes/4c1b00394f8b4c638a909e9e34c0df28.jpg?mw=660,Vegetable Dish,Mukimo,Kenya
https://www.tasteatlas.com/kuku-wa-kupaka,https://cdn.tasteatlas.com//Images/Dishes/6bc9836a21b64353ba33d524f10641f5.jpg?mw=660,Stew,Kuku wa kupaka,Kenya
https://www.tasteatlas.com/ingoho,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Chicken Dish,Ingoho,Kenya
https://www.tasteatlas.com/kenyan-pilau,https://cdn.tasteatlas.com//images/dishes/98400b2389ac45d687c3b253512ab7ba.jpg?mw=660,Rice Dish,Kenyan Pilau,Kenya
https://www.tasteatlas.com/kaimati,https://cdn.tasteatlas.com//Images/Dishes/0a1ab770d1294796b6e8bbaadbc3a5fb.jpg?mw=660,Sweet Pastry,Kaimati,Kenya
https://www.tasteatlas.com/viazi-karai,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Street Food,Viazi karai,Kenya
https://www.tasteatlas.com/kenyan-stew,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Stew,Kenyan Stew,Kenya
https://www.tasteatlas.com/mbaazi-za-nazi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Vegetable Dish,Mbaazi za nazi,Kenya
https://www.tasteatlas.com/kenyan-chapati,https://cdn.tasteatlas.com//images/dishes/266ebd85f0df4b999ecd0c7b2140da42.jpg?mw=660,Flatbread,Kenyan Chapati,Kenya
https://www.tasteatlas.com/oysters-mombasa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Oyster Dish,Oysters Mombasa,Kenya
https://www.tasteatlas.com/mkate-wa-maji,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Pancake,Mkate wa maji,Kenya
https://www.tasteatlas.com/supu-ya-malenge,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Vegetable Soup,Supu ya malenge,Kenya
https://www.tasteatlas.com/kenyan-bajias,https://cdn.tasteatlas.com//images/dishes/13beaa320a0c43febf87547dca29cdf7.jpg?mw=660,Snack,Kenyan Bajias,Kenya
https://www.tasteatlas.com/pilipili-ya-maembe,https://cdn.tasteatlas.com//images/dishes/f3f6b3934bf14466a80b14ec315de467.jpg?mw=660,Relish,Pilipili ya maembe,Kenya
