search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/larb,https://cdn.tasteatlas.com//Images/Dishes/ee53a74cf91c4d2ea455f9eb898cdfaf.jpg?mw=660,Ground Meat Dish,Larb,Laos
https://www.tasteatlas.com/som-tam-laos,https://cdn.tasteatlas.com//Images/Dishes/eff874245bd145739d6cf2f56e54743f.jpg?mw=660,Salad,Som Tam,Laos
https://www.tasteatlas.com/mok-pa,https://cdn.tasteatlas.com//images/dishes/87817f741eb4437caf1b5f62b64e1175.jpg?mw=660,Freshwater Fish Dish,Mok pa,Laos
https://www.tasteatlas.com/or-lam,https://cdn.tasteatlas.com//images/dishes/c9759960eb7c41e295491940de2b6cdd.jpg?mw=660,Stew,Or lam,Laos
https://www.tasteatlas.com/khao-niao,https://cdn.tasteatlas.com//images/dishes/4f2d51f6ab32495cba74d82c633b2106.jpg?mw=660,Rice Dish,Khao niao,Laos
https://www.tasteatlas.com/nam-khao,https://cdn.tasteatlas.com//Images/Dishes/b22d7d7371424f73b9546f050642912c.jpg?mw=660,Salad,Nam khao,Laos
https://www.tasteatlas.com/pad-kee-mao,https://cdn.tasteatlas.com//images/dishes/22220fdde92f49b8b7792f021677a86a.jpg?mw=660,Noodle Dish,Pad kee mao,Laos
https://www.tasteatlas.com/mok-kai,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Chicken Dish,Mok kai,Laos
https://www.tasteatlas.com/sai-oua,https://cdn.tasteatlas.com//images/dishes/8ad08c37934c4b8c9595f3daea5ab1de.jpg?mw=660,Sausage,Sai oua,Laos
https://www.tasteatlas.com/lard-na,https://cdn.tasteatlas.com//images/dishes/e956b557c8de4592968677572e0f9208.jpg?mw=660,Meat Dish,Lard na,Laos
https://www.tasteatlas.com/koi,https://cdn.tasteatlas.com//images/dishes/5878e11cdbaf4676ba5cf3042c3cc776.jpg?mw=660,Freshwater Fish Dish,Koi,Laos
https://www.tasteatlas.com/feu,https://cdn.tasteatlas.com//images/dishes/eeb6557eaea444fa9b5390f96717b00f.jpg?mw=660,Noodle Soup,Feu,Laos
https://www.tasteatlas.com/khao-piak-khao,https://cdn.tasteatlas.com//images/dishes/e3ea20d1cd454aefa617a631fd576925.jpg?mw=660,Soup,Khao piak khao,Laos
https://www.tasteatlas.com/ping-pa,https://cdn.tasteatlas.com//images/dishes/0e01eb9751b7437fb9d4b2eb18a627ef.jpg?mw=660,Saltwater Fish Dish,Ping pa,Laos
https://www.tasteatlas.com/yum-sen-lon,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Salad,Yum sen lon,Laos
https://www.tasteatlas.com/yum-salad,https://cdn.tasteatlas.com//images/dishes/df1bb2faf6054881b9907de745c3e4ff.jpg?mw=660,Salad,Yum Salad,Laos
https://www.tasteatlas.com/mee-nam,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Noodle Dish,Mee nam,Laos
https://www.tasteatlas.com/seen-dat,https://cdn.tasteatlas.com//images/dishes/148987d56f434a8fa3c000c14c205ce4.jpg?mw=660,Barbecue,Seen dat,Laos
https://www.tasteatlas.com/khao-jao,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Rice Dish,Khao jao,Laos
https://www.tasteatlas.com/sai-kok,https://cdn.tasteatlas.com//images/dishes/f514150474d0493498cc62a14174284a.jpg?mw=660,Sausage,Sai kok,Laos
https://www.tasteatlas.com/khao-poon,https://cdn.tasteatlas.com//images/dishes/50b6921b1aca43d3afc0fc9c656b1421.jpg?mw=660,Noodle Soup,Khao poon,Laos
https://www.tasteatlas.com/kaipen,https://cdn.tasteatlas.com//images/dishes/c449b788c8c34324976c476c944dc743.jpg?mw=660,Snack,Kaipen,Laos
https://www.tasteatlas.com/khao-piak-sen,https://cdn.tasteatlas.com//images/dishes/44d79496fa364fcebea73fd105919da8.jpg?mw=660,Noodle Soup,Khao piak sen,Laos
https://www.tasteatlas.com/tam-maak-hoong,https://cdn.tasteatlas.com//images/dishes/cc560409daae4c3f8bfc8df3b9d4a3d3.jpg?mw=660,Salad,Tam maak hoong,Laos
https://www.tasteatlas.com/som-moo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Sausage,Som moo,Laos
https://www.tasteatlas.com/jaew-bong,https://cdn.tasteatlas.com//images/dishes/48c3a0549258434ebbebec612a929d2b.jpg?mw=660,Dip,Jaew bong,Laos
https://www.tasteatlas.com/seen-hang,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Snack,Seen hang,Laos
