search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/hummus,https://cdn.tasteatlas.com//images/dishes/61d5db7fc3cc42c896813471d334d052.jpg?mw=660,Dip,Hummus,Lebanon
https://www.tasteatlas.com/maamoul,https://cdn.tasteatlas.com//Images/Dishes/8cd1a7bee211432d893d12eae9912883.jpg?mw=660,Cookie,Ma'amoul,Lebanon
https://www.tasteatlas.com/falafel-lebanon,https://cdn.tasteatlas.com//images/dishes/6a7d870a48e34847b06f1711907ccf8a.jpg?mw=660,Street Food,Falafel,Lebanon
https://www.tasteatlas.com/shawarma,https://cdn.tasteatlas.com//images/dishes/a2a68bb8904548639a51bbb609c50821.jpg?mw=660,Street Food,Shawarma,Lebanon
https://www.tasteatlas.com/manakish,https://cdn.tasteatlas.com//Images/Dishes/99e1c206d25a4bf0adc3fcdb2d9979cd.jpg?mw=660,Flatbread,Manakish,Lebanon
https://www.tasteatlas.com/tabbouleh,https://cdn.tasteatlas.com//Images/Dishes/bd114bcb7c99451d8788d95c73ddc1fa.jpg?mw=660,Salad,Tabbouleh,Lebanon
https://www.tasteatlas.com/fattoush,https://cdn.tasteatlas.com//Images/Dishes/dde99eb18f01439f97587a144047f0d2.jpg?mw=660,Salad,Fattoush,Lebanon
https://www.tasteatlas.com/sfiha,https://cdn.tasteatlas.com//Images/Dishes/020ebc1c942c4122a3d7ee81207caf71.jpg?mw=660,Savory Pie,Sfiha,Lebanon
https://www.tasteatlas.com/kibbeh,https://cdn.tasteatlas.com//Images/Dishes/b132a0ec6eb54e4390eb7c7369027de1.jpg?mw=660,Snack,Kibbeh,Lebanon
https://www.tasteatlas.com/baba-ghanoush,https://cdn.tasteatlas.com//Images/Dishes/349a835a592e4c098fb0486a70ff63d4.jpg?mw=660,Dip,Baba ghanoush,Lebanon
https://www.tasteatlas.com/kaak,https://cdn.tasteatlas.com//Images/Dishes/9e43b5fb7b884ed6a11ac219e4ee8d74.jpg?mw=660,Bread,Ka'ak,Lebanon
https://www.tasteatlas.com/fatteh,https://cdn.tasteatlas.com//Images/Dishes/3f381ba5a567437eacb6233464adce1a.jpg?mw=660,Breakfast,Fatteh,Lebanon
