search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/bazin,https://cdn.tasteatlas.com//images/dishes/7fbfa8b4a72b42e5b26b2629c21f27e5.jpg?mw=660,Bread,Bazin,Libya
https://www.tasteatlas.com/kufta-bil-batinjal,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Ground Meat Dish,Kufta bil batinjal,Libya
https://www.tasteatlas.com/basbousa-bil-tamr,https://cdn.tasteatlas.com//images/dishes/e7cc1b03a4c948ea9aff00115d904ac9.jpg?mw=660,Cake,Basbousa bil tamr,Libya
https://www.tasteatlas.com/hasa-adas,https://cdn.tasteatlas.com//images/dishes/8366dc46bb324ee1a78d991f6729092a.jpg?mw=660,Vegetable Soup,Hasa adas,Libya
https://www.tasteatlas.com/shakshouka-libya,https://cdn.tasteatlas.com//Images/Dishes/16db5759e81b4166a0eb8bccaa211e6a.jpg?mw=660,Egg Dish,Shakshouka,Libya
https://www.tasteatlas.com/ruz-hoot-bil-kusbur,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Rice Dish,Ruz hoot bil kusbur,Libya
https://www.tasteatlas.com/makaruna-imbaukha,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Pasta,Makaruna imbaukha,Libya
https://www.tasteatlas.com/couscous-bil-bosla,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Lamb/Mutton Dish,Couscous bil-bosla,Libya
https://www.tasteatlas.com/tajin-mahshi,https://cdn.tasteatlas.com//images/dishes/d3d809d931cd40e993ec06463448ecf1.jpg?mw=660,Side Dish,Tajin mahshi,Libya
https://www.tasteatlas.com/salata-mashwiya,https://cdn.tasteatlas.com//images/dishes/473324fee7a6419b97d0e2972a60d094.jpg?mw=660,Salad,Salata mashwiya,Libya
https://www.tasteatlas.com/sfinz,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Breakfast,Sfinz,Libya
https://www.tasteatlas.com/bakalawa-bil-jibna,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Dessert,Bakalawa bil jibna,Libya
https://www.tasteatlas.com/bureek-tajin,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Savory Pie,Bureek tajin,Libya
https://www.tasteatlas.com/sharba-libiya,https://cdn.tasteatlas.com//images/dishes/a3e7ae562c9c445db2fa51cded746ebb.jpg?mw=660,Meat Soup,Sharba Libiya,Libya
https://www.tasteatlas.com/tbeikhet-eid,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Stew,Tbeikhet 'Eid,Libya
https://www.tasteatlas.com/mubattan-kusha,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Casserole,Mubattan kusha,Libya
https://www.tasteatlas.com/mbatan-batata,https://cdn.tasteatlas.com//images/dishes/6544f1159fd641be9f0f619c1afee3bd.jpg?mw=660,Appetizer,Mbatan batata,Libya
https://www.tasteatlas.com/khbeiza-bil-tonn,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Bread,Khbeiza bil tonn,Libya
https://www.tasteatlas.com/kaak-malih,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Cookie,Kaak malih,Libya
https://www.tasteatlas.com/tajin-sfinari-bil-zaytun,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Casserole,Tajin sfinari bil zaytun,Libya
https://www.tasteatlas.com/kusksi-bil-hoot,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Saltwater Fish Dish,Kusksi bil hoot,Libya
https://www.tasteatlas.com/filfel-chuma,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Sauce,Filfel chuma,Libya
https://www.tasteatlas.com/aqras-batata-mabshura,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Side Dish,Aqras batata mabshura,Libya
https://www.tasteatlas.com/bureek-muwaraq,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Savory Pastry,Bureek muwaraq,Libya
https://www.tasteatlas.com/ftat-misrati,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Flatbread,Ftat misrati,Libya
https://www.tasteatlas.com/sharba-libiya-bil-dajaj-wa-alzatar,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Meat Soup,Sharba Libiya bil dajaj wa alzatar,Libya
https://www.tasteatlas.com/khubzah-bil-a3shab,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Bread,Khubzah bil a3shab,Libya
https://www.tasteatlas.com/hassa-dernawi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Meat Soup,Hassa dernawi,Libya
https://www.tasteatlas.com/mbatan-kawali,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Appetizer,Mbatan kawali,Libya
https://www.tasteatlas.com/salata-arabiya-bil-tufah-albaladi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Salad,Salata arabiya bil tufah albaladi,Libya
