search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/huesenziwwi,https://cdn.tasteatlas.com//images/dishes/8b7ac3563d834b7e8b7a014d373a7c1c.jpg?mw=660,Game Dish,Huesenziwwi,Luxembourg
https://www.tasteatlas.com/kniddelen,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Dumplings,Kniddelen,Luxembourg
https://www.tasteatlas.com/judd-mat-gaardebounen,https://cdn.tasteatlas.com//images/dishes/36bce6dfb89941abbe6f8b35de1e1eac.jpg?mw=660,Pork Dish,Judd mat gaardebounen,Luxembourg
https://www.tasteatlas.com/jambon-en-croute,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Pork Dish,Jambon en croute,Luxembourg
https://www.tasteatlas.com/friture-de-la-moselle,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Freshwater Fish Dish,Friture de la Moselle,Luxembourg
https://www.tasteatlas.com/traipen,https://cdn.tasteatlas.com//images/dishes/94e10cf1c0c846109d6d45ba68c70e49.jpg?mw=660,Blood Sausage,TrÃ¤ipen,Luxembourg
https://www.tasteatlas.com/bouneschlupp,https://cdn.tasteatlas.com//images/dishes/cd89a697d15a471e89b80487565eeaa9.jpg?mw=660,Soup,Bouneschlupp,Luxembourg
https://www.tasteatlas.com/luxembourgish-esau-soup,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Stew,Luxembourgish EsaÃ¼ Soup,Luxembourg
https://www.tasteatlas.com/gromperekichelcher,https://cdn.tasteatlas.com//images/dishes/238ba3d8e4974780b9f56e3191a12139.jpg?mw=660,Pancake,Gromperekichelcher,Luxembourg
https://www.tasteatlas.com/pate-gaumais,https://cdn.tasteatlas.com//Images/Dishes/7b225b1ed5b246748eb48733d9d0f81d.jpg?mw=660,Savory Pie,PÃ¢tÃ© Gaumais,Luxembourg
https://www.tasteatlas.com/quetschentaart,https://cdn.tasteatlas.com//images/dishes/a353343dab9c45c6bb9cd5b31ae5bc43.jpg?mw=660,Tart,Quetschentaart,Luxembourg
https://www.tasteatlas.com/letzebuerger-grillwurscht,https://cdn.tasteatlas.com//images/dishes/8a3ff200115842fcad4cb99e06297844.jpg?mw=660,Sausage,LÃ«tzebuerger Grillwurscht,Luxembourg
https://www.tasteatlas.com/kuddelfleck,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Offal Dish,Kuddelfleck,Luxembourg
https://www.tasteatlas.com/rieslingspaschteit,https://cdn.tasteatlas.com//images/dishes/fac3e1f1df434155bd4d2c4adc14879f.jpg?mw=660,Savory Pie,RieslingspaschtÃ©it,Luxembourg
https://www.tasteatlas.com/kriibsen,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Crayfish Dish,Kriibsen,Luxembourg
https://www.tasteatlas.com/feierstengszalot,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Salad,FeierstÃ©ngszalot,Luxembourg
https://www.tasteatlas.com/staerzelen,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Dumplings,StÃ¤erzelen,Luxembourg
https://www.tasteatlas.com/mummentaart,https://cdn.tasteatlas.com//images/dishes/42120ad2cea64f6cbf615dbfd6b6dc7d.jpg?mw=660,Tart,Mummentaart,Luxembourg
https://www.tasteatlas.com/verwurelter,https://cdn.tasteatlas.com//images/dishes/dcbd19cbebc14433ab266108724e374c.jpg?mw=660,Sweet Pastry,Verwurelter,Luxembourg
https://www.tasteatlas.com/tierteg,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Pancake,Tierteg,Luxembourg
https://www.tasteatlas.com/frell-am-reisleck,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Freshwater Fish Dish,F'rell am rÃ¨isleck,Luxembourg
https://www.tasteatlas.com/hong-am-reisleck,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Chicken Dish,Hong am rÃ¨isleck,Luxembourg
https://www.tasteatlas.com/heicht-mat-kraiderzooss,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Freshwater Fish Dish,Hiecht mat Kraiderzooss,Luxembourg
https://www.tasteatlas.com/oennenzop,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Vegetable Soup,Ãennenzop,Luxembourg
https://www.tasteatlas.com/appelklatzen,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Sweet Pastry,Ãppelklatzen,Luxembourg
