search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/laoka,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Side Dish,Laoka,Madagascar
https://www.tasteatlas.com/akoho-sy-voanio,https://cdn.tasteatlas.com//images/dishes/cf7b6ad402af419abebf065228b1c787.jpg?mw=660,Chicken Dish,Akoho sy voanio,Madagascar
https://www.tasteatlas.com/romazava,https://cdn.tasteatlas.com//images/dishes/661e688fffff40178c9a70fd62f9124c.jpg?mw=660,Stew,Romazava,Madagascar
https://www.tasteatlas.com/vary-amin-anana,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Rice Dish,Vary amin anana,Madagascar
https://www.tasteatlas.com/bonbon-coco,https://cdn.tasteatlas.com//images/dishes/2972b4d269f042f89c4bcef5b9fe6161.jpg?mw=660,Dessert,Bonbon coco,Madagascar
https://www.tasteatlas.com/lasopy,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Vegetable Soup,Lasopy,Madagascar
https://www.tasteatlas.com/mofo-gasy,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Bread,Mofo gasy,Madagascar
https://www.tasteatlas.com/varenga,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Meat Dish,Varenga,Madagascar
https://www.tasteatlas.com/trondro-gasy,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Fish Dish,Trondro gasy,Madagascar
https://www.tasteatlas.com/ramanonaka,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Breakfast,Ramanonaka,Madagascar
https://www.tasteatlas.com/lasary-voatabia,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Salad,Lasary voatabia,Madagascar
https://www.tasteatlas.com/mofo-baolina,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Snack,Mofo baolina,Madagascar
