search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/laksa,https://cdn.tasteatlas.com//images/dishes/f4dfe298664b45fc9eb9a928663d5849.jpg?mw=660,Noodle Dish,Laksa,Malaysia
https://www.tasteatlas.com/nasi-lemak,https://cdn.tasteatlas.com//Images/Dishes/64314ce524544b5991a780896cf84d3f.jpg?mw=660,Rice Dish,Nasi lemak,Malaysia
https://www.tasteatlas.com/char-kway-teow-penang,https://cdn.tasteatlas.com//Images/Dishes/5c2cd0f1f6444e80a7223852a869840a.jpg?mw=660,Noodle Dish,Char kway teow,Malaysia
https://www.tasteatlas.com/yusheng-malaysia,https://cdn.tasteatlas.com//Images/Dishes/0525862e4d094da5915089834e7972b9.jpg?mw=660,Salad,Yee sang,Malaysia
https://www.tasteatlas.com/roti-canai,https://cdn.tasteatlas.com//Images/Dishes/4382dae5b7a842f386742b74cebf706d.jpg?mw=660,Flatbread,Roti canai,Malaysia
https://www.tasteatlas.com/apam-balik,https://cdn.tasteatlas.com//images/dishes/c59aa6ef07f9491e897177d745c97268.jpg?mw=660,Pancake,Apam balik,Malaysia
https://www.tasteatlas.com/nasi-kandar,https://cdn.tasteatlas.com//Images/Dishes/c2bed82f7f694b5d906723ba2d471e63.jpg?mw=660,Rice Dish,Nasi kandar,Malaysia
https://www.tasteatlas.com/kari-ayam,https://cdn.tasteatlas.com//images/dishes/0828fa1af90a4acea6d9ab51dd278ce9.jpg?mw=660,Stew,Kari ayam,Malaysia
https://www.tasteatlas.com/assam-laksa,https://cdn.tasteatlas.com//Images/Dishes/315738f7c98d40e09632e19a66b29d29.jpg?mw=660,Noodle Soup,Assam laksa,Malaysia
https://www.tasteatlas.com/nasi-dagang,https://cdn.tasteatlas.com//Images/Dishes/5373b4ba12114afeb94d9cc839dc38be.jpg?mw=660,Rice Dish,Nasi dagang,Malaysia
https://www.tasteatlas.com/ayam-masak-merah,https://cdn.tasteatlas.com//images/dishes/03b49284ddfb4967857a46e181ed4e2b.jpg?mw=660,Fried Chicken Dish,Ayam masak merah,Malaysia
