search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/gulha,https://cdn.tasteatlas.com//images/dishes/8f71bd9305714311bf02382be936908e.jpg?mw=660,Savory Pastry,Gulha,Maldives
https://www.tasteatlas.com/garudihya,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Fish Soup,Garudihya,Maldives
https://www.tasteatlas.com/kulhimas,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Fish Dish,Kulhimas,Maldives
https://www.tasteatlas.com/mas-riha,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Stew,Maldivian Fish Curry (Mas riha),Maldives
https://www.tasteatlas.com/kukulku-riha,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Stew,Kukulku riha,Maldives
https://www.tasteatlas.com/mas-huni,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Breakfast,Mas huni,Maldives
https://www.tasteatlas.com/masroshi,https://cdn.tasteatlas.com//images/dishes/fb586165085a496ebdbc0a5fcf7fd602.jpg?mw=660,Snack,Masroshi,Maldives
https://www.tasteatlas.com/huni-roshi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Flatbread,Huni roshi,Maldives
https://www.tasteatlas.com/keemiyaa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Snack,Keemiyaa,Maldives
https://www.tasteatlas.com/kavaabu,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Snack,Kavaabu,Maldives
https://www.tasteatlas.com/miruhulee-boava,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Octopus Dish,Miruhulee boava,Maldives
https://www.tasteatlas.com/havaadhulee-bis,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Stew,Havaadhulee bis,Maldives
https://www.tasteatlas.com/bis-riha,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Stew,Bis riha,Maldives
https://www.tasteatlas.com/dhonkeyo-kajuru,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Deep-fried Dessert,Dhonkeyo kajuru,Maldives
https://www.tasteatlas.com/rihaakuru-dhiya,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Soup,Rihaakuru dhiya,Maldives
https://www.tasteatlas.com/riha-folhi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Pancake,Riha folhi,Maldives
https://www.tasteatlas.com/aluvi-hiki-riha,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Potato Dish,Aluvi hiki riha,Maldives
https://www.tasteatlas.com/fuhjehi-kavaabu,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Deep-fried Dish,Fuhjehi kavaabu,Maldives
