search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/pastizz,https://cdn.tasteatlas.com//images/dishes/53ea075766c04839a18c6c87df6ae41d.jpg?mw=660,Savory Pastry,Pastizz,Malta
https://www.tasteatlas.com/imqaret,https://cdn.tasteatlas.com//images/dishes/e478baf08ac744b8b6f4e5343e53c521.jpg?mw=660,Sweet Pastry,Imqaret,Malta
https://www.tasteatlas.com/prinjolata,https://cdn.tasteatlas.com//images/dishes/7d99ff99b5374b74abbcec8a763b81e0.jpg?mw=660,Cake,Prinjolata,Malta
https://www.tasteatlas.com/bebbux,https://cdn.tasteatlas.com//images/dishes/e97740ed72e448c993607bc1ea01ed48.jpg?mw=660,Appetizer,Bebbux,Malta
https://www.tasteatlas.com/fenkata,https://cdn.tasteatlas.com//images/dishes/ea3c2de592994182879dbd6bdc4bca04.jpg?mw=660,Stew,Fenkata,Malta
https://www.tasteatlas.com/imqarrun-il-forn,https://cdn.tasteatlas.com//images/dishes/3866d1d1a08a4ed0a788132babf00eab.jpg?mw=660,Casserole,Imqarrun il-forn,Malta
https://www.tasteatlas.com/figolla,https://cdn.tasteatlas.com//images/dishes/cd8a6bca9100466488810dd5d0dfcde2.jpg?mw=660,Cookie,Figolla,Malta
https://www.tasteatlas.com/pudina-tal-obz,https://cdn.tasteatlas.com//images/dishes/4f8f0410a7ab45bebb0ff674e0ef0df7.jpg?mw=660,Dessert,Pudina tal-Ä§obÅ¼,Malta
https://www.tasteatlas.com/kusksu,https://cdn.tasteatlas.com//images/dishes/4f773f46a4a6431184796185f66ad506.jpg?mw=660,Vegetable Soup,Kusksu,Malta
https://www.tasteatlas.com/ross-il-forn,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Rice Dish,Ross il-forn,Malta
https://www.tasteatlas.com/laam-taz-ziemel,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Stew,LaÄ§am taÅ¼-Å¼iemel,Malta
https://www.tasteatlas.com/timpana,https://cdn.tasteatlas.com//images/dishes/3fd66b56aeb64ddc8ebdbea3cef597dc.jpg?mw=660,Casserole,Timpana,Malta
https://www.tasteatlas.com/bigilla,https://cdn.tasteatlas.com//images/dishes/c3c1a974a98d4cc881ace91216b8ec66.jpg?mw=660,Dip,Bigilla,Malta
https://www.tasteatlas.com/soppa-tal-armla,https://cdn.tasteatlas.com//images/dishes/37d7b6df68c74e78abbc4a212583d658.jpg?mw=660,Vegetable Soup,Soppa tal-armla,Malta
https://www.tasteatlas.com/qassatat,https://cdn.tasteatlas.com//images/dishes/3a2e1c817a1246199a3101c579887da9.jpg?mw=660,Snack,Qassatat,Malta
https://www.tasteatlas.com/aljotta,https://cdn.tasteatlas.com//images/dishes/f30e3661840f4f15847e4c39f225447b.jpg?mw=660,Fish Soup,Aljotta,Malta
https://www.tasteatlas.com/galletti,https://cdn.tasteatlas.com//images/dishes/894275b135a04d3290482c64a050b279.jpg?mw=660,Snack,Galletti,Malta
https://www.tasteatlas.com/balbuljata,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Egg Dish,Balbuljata,Malta
https://www.tasteatlas.com/patata-l-forn,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Potato Dish,Patata L-Forn,Malta
https://www.tasteatlas.com/kwarezimal,https://cdn.tasteatlas.com//images/dishes/b63ec187b12b49869b20ae23b63b7546.jpg?mw=660,Cookie,KwareÅ¼imal,Malta
https://www.tasteatlas.com/obz-biz-zejt,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Sandwich,Ä¦obÅ¼ biÅ¼-Å¼ejt,Malta
https://www.tasteatlas.com/kawlata,https://cdn.tasteatlas.com//images/dishes/775bdc1160f84803bd13c5bc387be55a.jpg?mw=660,Soup,Kawlata,Malta
