search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/rougaille,https://cdn.tasteatlas.com//images/dishes/461025723e864af6b5ca624f032a4594.jpg?mw=660,Stew,Rougaille,Mauritius
https://www.tasteatlas.com/daube-de-poulet,https://cdn.tasteatlas.com//images/dishes/9854aa01e72b40bc8901d655c023e897.jpg?mw=660,Stew,Daube de poulet,Mauritius
https://www.tasteatlas.com/dholl-puri,https://cdn.tasteatlas.com//images/dishes/c71ebafe83ba4220a9a2404dea0c08d6.jpg?mw=660,Flatbread,Dholl puri,Mauritius
https://www.tasteatlas.com/farata,https://cdn.tasteatlas.com//images/dishes/a5160e5922514d83a4c5d967b93c24dd.jpg?mw=660,Flatbread,Farata,Mauritius
https://www.tasteatlas.com/poisson-aigre-doux,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Fish Dish,Poisson aigre doux,Mauritius
https://www.tasteatlas.com/bechamel-de-poisson,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Saltwater Fish Dish,Bechamel de poisson,Mauritius
https://www.tasteatlas.com/curry-jacques,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Stew,Curry Jacques,Mauritius
https://www.tasteatlas.com/hakien,https://cdn.tasteatlas.com//images/dishes/b90d33261ec648bd98455a28bd8b09fb.jpg?mw=660,Appetizer,Hakien,Mauritius
https://www.tasteatlas.com/roti-chaud,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Flatbread,Roti chaud,Mauritius
https://www.tasteatlas.com/gateaux-piments,https://cdn.tasteatlas.com//images/dishes/54de2c25e9b84e1cbb3fe683a8c5025a.jpg?mw=660,Snack,Gateaux piments,Mauritius
https://www.tasteatlas.com/du-pain-frire,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Snack,Du pain frire,Mauritius
https://www.tasteatlas.com/gratin-de-giraumon,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Side Dish,Gratin de giraumon,Mauritius
https://www.tasteatlas.com/bhajas,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Snack,Bhajas,Mauritius
https://www.tasteatlas.com/calamar-croustillant,https://cdn.tasteatlas.com//images/dishes/735d669449b642e29deeb848858c7c05.jpg?mw=660,Appetizer,Calamar croustillant,Mauritius
