search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/buuz,https://cdn.tasteatlas.com//Images/Dishes/a2f67a2c61d64866a94efef327a949b7.jpg?mw=660,Dumplings,Buuz,Mongolia
https://www.tasteatlas.com/borts,https://cdn.tasteatlas.com//images/dishes/2eef453612884fd1909ffd1937abeec5.jpg?mw=660,Meat Dish,Borts,Mongolia
https://www.tasteatlas.com/bansh,https://cdn.tasteatlas.com//images/dishes/2f60e7aa0a07402caf970551ab0cfc3f.jpg?mw=660,Dumplings,Bansh,Mongolia
https://www.tasteatlas.com/boodog,https://cdn.tasteatlas.com//images/dishes/14de0a03e8e94deb8a33fdd355899bc3.jpg?mw=660,Goat Dish,Boodog,Mongolia
https://www.tasteatlas.com/bantan,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Soup,Bantan,Mongolia
https://www.tasteatlas.com/tsuivan,https://cdn.tasteatlas.com//images/dishes/11fbf69ba4e24c6a961769b83e199ed7.jpg?mw=660,Noodle Dish,Tsuivan,Mongolia
https://www.tasteatlas.com/khorkhog,https://cdn.tasteatlas.com//images/dishes/6b3fded65e7446488edce8e9ebd0c688.jpg?mw=660,Barbecue,Khorkhog,Mongolia
https://www.tasteatlas.com/khuushuur,https://cdn.tasteatlas.com//images/dishes/522e494b00e74ed59b22f02c7cc6944b.jpg?mw=660,Savory Pastry,Khuushuur,Mongolia
https://www.tasteatlas.com/budaatai-huurga,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Rice Dish,Budaatai huurga,Mongolia
https://www.tasteatlas.com/guriltai-shul,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Noodle Soup,Guriltai shul,Mongolia
https://www.tasteatlas.com/eezgii,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,Cheese Dish,Eezgii,Mongolia
https://www.tasteatlas.com/baursak-mongolia,https://cdn.tasteatlas.com//Images/Dishes/e922ef5b24a94fb889666121669c24fd.jpg?mw=660,Bread,Baursak,Mongolia
https://www.tasteatlas.com/chanasan-makh,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Meat Dish,Chanasan makh,Mongolia
