search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/lenja-pita,https://cdn.tasteatlas.com//Images/Dishes/754406401a1548f29cbc224be378398e.jpg?mw=660,Cake,Lenja pita,Montenegro
https://www.tasteatlas.com/corbast-pasulj,https://cdn.tasteatlas.com//images/dishes/343452d636244e7998ce7b4a4fcbd73e.jpg?mw=660,Stew,Äorbast pasulj,Montenegro
https://www.tasteatlas.com/cicvara,https://cdn.tasteatlas.com//images/dishes/944d503c4971471daa0f66e334aa6cef.jpg?mw=660,Porridge,Cicvara,Montenegro
https://www.tasteatlas.com/priganice,https://cdn.tasteatlas.com//images/dishes/733c757056d54fdb91ad821d45831bf2.jpg?mw=660,Savory Pastry,Priganice,Montenegro
https://www.tasteatlas.com/corba-od-koprive,https://cdn.tasteatlas.com//images/dishes/d5813d640a4e4f148950cc6cc9ebb346.jpg?mw=660,Soup,Äorba od koprive,Montenegro
https://www.tasteatlas.com/balsica-tava,https://cdn.tasteatlas.com//images/dishes/5e0b47c6260443bd917240deb32a7981.jpg?mw=660,Veal Dish,BalÅ¡iÄa tava,Montenegro
https://www.tasteatlas.com/smocani-kacamak,https://cdn.tasteatlas.com//images/dishes/15fe40e169c5464892269c86d89336d5.jpg?mw=660,Porridge,SmoÄani kaÄamak,Montenegro
https://www.tasteatlas.com/pastrovski-makaruli,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Pasta,PaÅ¡trovski makaruli,Montenegro
https://www.tasteatlas.com/cobanska-krem-supa-od-vrganja,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Mushroom Soup,Äobanska krem supa od vrganja,Montenegro
https://www.tasteatlas.com/kuvana-krtola,https://cdn.tasteatlas.com//images/dishes/20546f40cc3445ac831723a138bb3c38.jpg?mw=660,Potato Dish,Kuvana krtola,Montenegro
https://www.tasteatlas.com/crnogorska-pogaca,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Bread,Crnogorska pogaÄa,Montenegro
