search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/tajine,https://cdn.tasteatlas.com//Images/Dishes/30e248bb35e44d239662abb73984d93e.jpg?mw=660,Technique,Tajine,Morocco
https://www.tasteatlas.com/Moroccan-Couscous,https://cdn.tasteatlas.com//Images/Dishes/d0e38ceb77094c56b5a6c756f481bdb6.jpg?mw=660,Stew,Couscous (dish),Morocco
https://www.tasteatlas.com/chicken-tajine,https://cdn.tasteatlas.com//images/dishes/ae34fe326cd440caabba424b59a0c679.jpg?mw=660,Stew,Chicken Tajine,Morocco
https://www.tasteatlas.com/pastilla,https://cdn.tasteatlas.com//Images/Dishes/eea9758973e2468396a83be0654f9e20.jpg?mw=660,Savory Pie,Pastilla,Morocco
https://www.tasteatlas.com/harira,https://cdn.tasteatlas.com//Images/Dishes/31c8c0d449884b7692a0b12910f25687.jpg?mw=660,Soup,Harira,Morocco
https://www.tasteatlas.com/loubia,https://cdn.tasteatlas.com//Images/Dishes/81b54d44a09b43ce90e89ecf447d11f7.jpg?mw=660,Stew,Loubia,Morocco
https://www.tasteatlas.com/msemen,https://cdn.tasteatlas.com//images/dishes/fd0c424307ef46cf9eeca0547577d0f3.jpg?mw=660,Flatbread,Msemen,Morocco
https://www.tasteatlas.com/chebakia,https://cdn.tasteatlas.com//images/dishes/1d3b044ae9274dd1b04d3cfe86d9cec1.jpg?mw=660,Sweet Pastry,Chebakia,Morocco
https://www.tasteatlas.com/tanjia,https://cdn.tasteatlas.com//images/dishes/68db563ea4424f65a9b082dc8c804da1.jpg?mw=660,Lamb/Mutton Dish,Tanjia,Morocco
https://www.tasteatlas.com/matbucha,https://cdn.tasteatlas.com//images/dishes/94ede77eb9b2411689feae9a36acc36a.jpg?mw=660,Vegetable Dish,Matbucha,Morocco
https://www.tasteatlas.com/baghrir,https://cdn.tasteatlas.com//images/dishes/8085d90bf9b94a9f99d2f510be9ece25.jpg?mw=660,Pancake,Baghrir,Morocco
https://www.tasteatlas.com/chermoula,https://cdn.tasteatlas.com//images/dishes/7cd12206ca4644cd967f8f2e7cc6db98.jpg?mw=660,Dip,Chermoula,Morocco
https://www.tasteatlas.com/bessara,https://cdn.tasteatlas.com//images/dishes/2680250fc980401aa4c17098057baed6.jpg?mw=660,Vegetable Soup,Bessara,Morocco
https://www.tasteatlas.com/maakouda,https://cdn.tasteatlas.com//images/dishes/276dadfa31ae46c3a612642dc2b7dbac.jpg?mw=660,Appetizer,Maakouda,Morocco
https://www.tasteatlas.com/khobz,https://cdn.tasteatlas.com//Images/Dishes/52e53a43feb54a10855564aaea1f79f3.jpg?mw=660,Bread,Khobz,Morocco
https://www.tasteatlas.com/taktouka,https://cdn.tasteatlas.com//images/dishes/9f659f2f33da4fe8a0326e89854a8b27.jpg?mw=660,Salad,Taktouka,Morocco
https://www.tasteatlas.com/kaab-el-ghazal,https://cdn.tasteatlas.com//images/dishes/aa799367805a455ab6ac4cb2f11029fa.jpg?mw=660,Sweet Pastry,Kaab el ghazal,Morocco
https://www.tasteatlas.com/sfenj,https://cdn.tasteatlas.com//images/dishes/2f1975d09a6244c4a13d6e8fba5d249a.jpg?mw=660,Sweet Pastry,Sfenj,Morocco
https://www.tasteatlas.com/fekkas,https://cdn.tasteatlas.com//images/dishes/9d7a3862cef94624acaa0d9a6be3ce9d.jpg?mw=660,Cookie,Fekkas,Morocco
https://www.tasteatlas.com/seffa,https://cdn.tasteatlas.com//images/dishes/21cc578d3a2e400fb2dc12552ce5ef5e.jpg?mw=660,Side Dish,Seffa,Morocco
https://www.tasteatlas.com/zaalouk,https://cdn.tasteatlas.com//images/dishes/7201ad1854a54f7281ce7705d29b8678.jpg?mw=660,Salad,Zaalouk,Morocco
https://www.tasteatlas.com/harsha,https://cdn.tasteatlas.com//Images/Dishes/0dae82009c554eac96c15f0379ecf4b4.jpg?mw=660,Bread,Harsha,Morocco
https://www.tasteatlas.com/briouat,https://cdn.tasteatlas.com//Images/Dishes/1c364ec8c6b14c579bddbf5999b3cf14.jpg?mw=660,Savory Pastry,Briouat,Morocco
https://www.tasteatlas.com/krachel,https://cdn.tasteatlas.com//images/dishes/74a88a8d8ef9476c88ab7c39961986a1.jpg?mw=660,Bread,Krachel,Morocco
https://www.tasteatlas.com/sellou,https://cdn.tasteatlas.com//Images/Dishes/39feda58925e449499bc827fe15e8e94.jpg?mw=660,Dessert,Sellou,Morocco
https://www.tasteatlas.com/shakshouka-morocco,https://cdn.tasteatlas.com//Images/Dishes/16db5759e81b4166a0eb8bccaa211e6a.jpg?mw=660,Egg Dish,Shakshouka,Morocco
https://www.tasteatlas.com/leems,https://cdn.tasteatlas.com//images/dishes/0eb5c1f579ce4447bf088b39f81b4616.jpg?mw=660,Pickling,Leems,Morocco
https://www.tasteatlas.com/tfaya,https://cdn.tasteatlas.com//images/dishes/5b206f0510b74a2c9229e93791f74730.jpg?mw=660,Side Dish,Tfaya,Morocco
https://www.tasteatlas.com/meskouta,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Cake,Meskouta,Morocco
https://www.tasteatlas.com/ghoriba,https://cdn.tasteatlas.com//images/dishes/27ff4815ea184db4a976318b70024b31.jpg?mw=660,Cookie,Ghoriba,Morocco
https://www.tasteatlas.com/mhanncha,https://cdn.tasteatlas.com//images/dishes/2e2c10c2c49d4dc5bbe83de930f96fb5.jpg?mw=660,Sweet Pastry,M'hanncha,Morocco
https://www.tasteatlas.com/mrouzia,https://cdn.tasteatlas.com//images/dishes/4374eb28ddee418eb6095e78d59cb535.jpg?mw=660,Lamb/Mutton Dish,Mrouzia,Morocco
https://www.tasteatlas.com/khlea,https://cdn.tasteatlas.com//images/dishes/ee3f107b459c44a3825555b7f4cd5ef0.jpg?mw=660,Meat Dish,Khlea,Morocco
https://www.tasteatlas.com/rfissa,https://cdn.tasteatlas.com//images/dishes/3902895008f2494a9c41abf0659e2768.jpg?mw=660,Chicken Dish,Rfissa,Morocco
https://www.tasteatlas.com/boulfaf,https://cdn.tasteatlas.com//Images/Dishes/75465956ae8f4cf2a0ce4bd1547f17d7.jpg?mw=660,Offal Dish,Boulfaf,Morocco
https://www.tasteatlas.com/berber-pizza,https://cdn.tasteatlas.com//images/dishes/fcc714b75292494c95b376ad27762f6c.jpg?mw=660,Flatbread,Berber Pizza,Morocco
