search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/momo-dumplings,https://cdn.tasteatlas.com//Images/Dishes/fb7f8fb6961e4301880ada5b828a6560.jpg?mw=660,Dumplings,Momo,Nepal
https://www.tasteatlas.com/dal-bhat,https://cdn.tasteatlas.com//Images/Dishes/fe348f4e66fb470d9713b91497e217e0.jpg?mw=660,Rice Dish,Dal bhat,Nepal
https://www.tasteatlas.com/baji,https://cdn.tasteatlas.com//images/dishes/2c801ba78bc94571aed3c5c7af6347fe.jpg?mw=660,Rice Dish,Baji,Nepal
https://www.tasteatlas.com/sekuwa,https://cdn.tasteatlas.com//images/dishes/273cb5f354be4488a836cb4a54067145.jpg?mw=660,Meat Dish,Sekuwa,Nepal
https://www.tasteatlas.com/sukuti,https://cdn.tasteatlas.com//images/dishes/cc879765847047629baf56168ed7501c.jpg?mw=660,Meat Dish,Sukuti,Nepal
https://www.tasteatlas.com/gundruk,https://cdn.tasteatlas.com//images/dishes/79586eb716274ad78c1edce0ac6f2c8f.jpg?mw=660,Vegetable Dish,Gundruk,Nepal
https://www.tasteatlas.com/kwati,https://cdn.tasteatlas.com//Images/Dishes/2514b58f9392465dbf944c21bb6e34bd.jpg?mw=660,Stew,Kwati,Nepal
https://www.tasteatlas.com/yomari,https://cdn.tasteatlas.com//images/dishes/023cf76a96574cdc9e1933662c417250.jpg?mw=660,Dumplings,Yomari,Nepal
https://www.tasteatlas.com/sel-roti,https://cdn.tasteatlas.com//images/dishes/9b16317d2d8e4dfeb20e1d0e20497cf5.jpg?mw=660,Bread,Sel roti,Nepal
https://www.tasteatlas.com/choila,https://cdn.tasteatlas.com//images/dishes/a0d7d0ecdef149aa9dc711bc798557b1.jpg?mw=660,Meat Dish,Choila,Nepal
https://www.tasteatlas.com/khasi-ko-masu,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Stew,Khasi ko masu,Nepal
https://www.tasteatlas.com/kachila,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Ground Meat Dish,KachilÄ,Nepal
https://www.tasteatlas.com/thekua,https://cdn.tasteatlas.com//images/dishes/3d81c1ed8747470ea80b2618eccde20a.jpg?mw=660,Deep-fried Dessert,Thekua,Nepal
https://www.tasteatlas.com/chunla,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Ground Meat Dish,Chunla,Nepal
https://www.tasteatlas.com/chatamari,https://cdn.tasteatlas.com//images/dishes/8f19d621df494d17b76207198294ab38.jpg?mw=660,Snack,Chatamari,Nepal
https://www.tasteatlas.com/alu-tama,https://cdn.tasteatlas.com//images/dishes/faec7cf85f644e2d8cc06aa40635dbee.jpg?mw=660,Soup,Alu tama,Nepal
https://www.tasteatlas.com/pukala,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Offal Dish,Pukala,Nepal
https://www.tasteatlas.com/bhutuwa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Meat Dish,Bhutuwa,Nepal
https://www.tasteatlas.com/bandel-karang,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Pork Dish,Bandel karang,Nepal
https://www.tasteatlas.com/haku-choila,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Meat Dish,Haku choila,Nepal
https://www.tasteatlas.com/dhindo,https://cdn.tasteatlas.com//images/dishes/f7d9356d10f241eca99628935c14b40e.jpg?mw=660,Porridge,Dhindo,Nepal
https://www.tasteatlas.com/samay-baji,https://cdn.tasteatlas.com//images/dishes/856738bc40274f5694e144c242195a0c.jpg?mw=660,Assorted Small Dishes or Ritual,Samay baji,Nepal
https://www.tasteatlas.com/kinema,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Side Dish,Kinema,Nepal
https://www.tasteatlas.com/masyaura,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Plant-based/Vegan Dish,Masyaura,Nepal
https://www.tasteatlas.com/phokso,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Offal Dish,Phokso,Nepal
https://www.tasteatlas.com/gwaramari,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Bread,Gwaramari,Nepal
https://www.tasteatlas.com/wachipa,https://cdn.tasteatlas.com//images/dishes/dfa5ac0c19834bd6b9178070d5148092.jpg?mw=660,Side Dish,Wachipa,Nepal
https://www.tasteatlas.com/piro-aloo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,Potato Dish,Piro aloo,Nepal
https://www.tasteatlas.com/arikanchan,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,Plant-based/Vegan Dish,Arikanchan,Nepal
https://www.tasteatlas.com/swan-puka,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,Offal Dish,Swan pukÄ,Nepal
