search-results__item-image href,search-results__item-image src,group,h2,Country
https://www.tasteatlas.com/kroket,https://cdn.tasteatlas.com//Images/Dishes/d955e9422d754821bb4d45b8fa4e637d.jpg?mw=660,Snack,Kroket,Netherlands
https://www.tasteatlas.com/appeltaart,https://cdn.tasteatlas.com//Images/Dishes/fadafcea669b4070891d1605b380f2bc.jpg?mw=660,Sweet Pie,Appeltaart,Netherlands
https://www.tasteatlas.com/kapsalon,https://cdn.tasteatlas.com//images/dishes/04f698646bce46de8eadf5b11d79df2a.jpg?mw=660,Street Food,Kapsalon,Netherlands
https://www.tasteatlas.com/poffertjes,https://cdn.tasteatlas.com//Images/Dishes/080565ef334c49f4adaee0da8425d0ce.jpg?mw=660,Pancake,Poffertjes,Netherlands
https://www.tasteatlas.com/stamppot,https://cdn.tasteatlas.com//Images/Dishes/acccd2bc49004892a6b10a68b1b9722d.jpg?mw=660,Vegetable Dish,Stamppot,Netherlands
https://www.tasteatlas.com/speculoos,https://cdn.tasteatlas.com//images/dishes/1caa965cd23b435e80886ae51a8d3f85.jpg?mw=660,Cookie,Speculaas,Netherlands
https://www.tasteatlas.com/stroopwafel,https://cdn.tasteatlas.com//images/dishes/4de04189f01b46708120f0029b2eefd8.jpg?mw=660,Cookie,Stroopwafel,Netherlands
https://www.tasteatlas.com/kibbeling,https://cdn.tasteatlas.com//Images/Dishes/a04b21ebabf74f988c0ed619ea77e606.jpg?mw=660,Saltwater Fish Dish,Kibbeling,Netherlands
https://www.tasteatlas.com/pannekoek,https://cdn.tasteatlas.com//Images/Dishes/57822c32bbe54934aa0bd07cde7d3b29.jpg?mw=660,Pancake,Pannekoek,Netherlands
https://www.tasteatlas.com/bitterballen,https://cdn.tasteatlas.com//Images/Dishes/2476548cd1b5425f90da95c539744cdd.jpg?mw=660,Snack,Bitterballen,Netherlands
https://www.tasteatlas.com/snert,https://cdn.tasteatlas.com//Images/Dishes/a8279b464dbb41a6970a311e87a2e7df.jpg?mw=660,Soup,Snert,Netherlands
https://www.tasteatlas.com/suikerbrood,https://cdn.tasteatlas.com//Images/Dishes/2a25a4b016984488a089b850afc30b60.jpg?mw=660,Sweet Bread,Suikerbrood,Netherlands
https://www.tasteatlas.com/vlaai,https://cdn.tasteatlas.com//images/dishes/83c04fc20f404d10b2aaf9600c3af53e.jpg?mw=660,Sweet Pie,Vlaai,Netherlands
https://www.tasteatlas.com/space-cake,https://cdn.tasteatlas.com//images/dishes/490cb2f73f16444c96e19a9b9db693dc.jpg?mw=660,Cake,Space Cake,Netherlands
https://www.tasteatlas.com/gehaktballen,https://cdn.tasteatlas.com//images/dishes/a94538b3619d408dacb3db4e1442494d.jpg?mw=660,Meatballs,Gehaktballen,Netherlands
https://www.tasteatlas.com/hutspot,https://cdn.tasteatlas.com//Images/Dishes/d613d091ea7c42d1927f97849b601dd5.jpg?mw=660,Vegetable Dish,Hutspot,Netherlands
https://www.tasteatlas.com/ontbijtkoek,https://cdn.tasteatlas.com//Images/Dishes/7b1753eb37414084a4796e2a1da6f18a.jpg?mw=660,Sweet Bread,Ontbijtkoek,Netherlands
https://www.tasteatlas.com/rijsttafel,https://cdn.tasteatlas.com//images/dishes/489a5d5682e540d9a87604f50f19c201.jpg?mw=660,Feast,Rijsttafel,Netherlands
https://www.tasteatlas.com/hachee,https://cdn.tasteatlas.com//Images/Dishes/137b32cde259423c9f442f2ea80389a9.jpg?mw=660,Stew,Hachee,Netherlands
https://www.tasteatlas.com/tompouce,https://cdn.tasteatlas.com//images/dishes/4d1dc9ed63ab46429a66c509c180d2d9.jpg?mw=660,Cake,Tompouce,Netherlands
https://www.tasteatlas.com/gerookte-paling,https://cdn.tasteatlas.com//Images/Dishes/9123115fb2cc4aea86bb8cb99965adfa.jpg?mw=660,Fish Dish,Gerookte paling,Netherlands
https://www.tasteatlas.com/oliebol,https://cdn.tasteatlas.com//images/dishes/8de515167065427fbd4c136c96cba2aa.jpg?mw=660,Sweet Pastry,Oliebol,Netherlands
https://www.tasteatlas.com/boterkoek,https://cdn.tasteatlas.com//images/dishes/e8f30d32998a4def8a47da675056770f.jpg?mw=660,Cake,Boterkoek,Netherlands
https://www.tasteatlas.com/appelflap,https://cdn.tasteatlas.com//Images/Dishes/8b800c2b66374d2a84ffd0ccb22bd6e9.jpg?mw=660,Sweet Pastry,Appelflap,Netherlands
https://www.tasteatlas.com/saucijzenbroodjes,https://cdn.tasteatlas.com//Images/Dishes/c4839a4837784b36b4a6637cb490a212.jpg?mw=660,Snack,Saucijzenbroodjes,Netherlands
https://www.tasteatlas.com/zeeuwse-bolus,https://cdn.tasteatlas.com//images/dishes/6ca0dd5ba6ea4f5595f01e7987f6ae47.jpg?mw=660,Sweet Pastry,Zeeuwse bolus,Netherlands
https://www.tasteatlas.com/beschuit-met-muisjes,https://cdn.tasteatlas.com//images/dishes/547a0bed8b304f88bfdb943e75583956.jpg?mw=660,Snack,Beschuit met muisjes,Netherlands
https://www.tasteatlas.com/vla,https://cdn.tasteatlas.com//Images/Dishes/a6a64fd1572c4845b9bed357848a980e.jpg?mw=660,Custard,Vla,Netherlands
https://www.tasteatlas.com/wentelteefjes,https://cdn.tasteatlas.com//images/dishes/a5c78bc169144e68a9e02eba90504080.jpg?mw=660,Breakfast,Wentelteefjes,Netherlands
https://www.tasteatlas.com/broodje-kroket,https://cdn.tasteatlas.com//Images/Dishes/31b992128ed94025a6b03c5f23c8113b.jpg?mw=660,Sandwich,Broodje kroket,Netherlands
https://www.tasteatlas.com/banket,https://cdn.tasteatlas.com//Images/Dishes/ac8643c4e8f44abab127c4ee94984bb8.jpg?mw=660,Sweet Pastry,Banket,Netherlands
https://www.tasteatlas.com/braadworst,https://cdn.tasteatlas.com//images/dishes/4a4dc41a6eca4cb2b21186a4cffe5765.jpg?mw=660,Sausage,Braadworst,Netherlands
https://www.tasteatlas.com/kruidnoten,https://cdn.tasteatlas.com//Images/Dishes/82ab5c5dc9a943139dea0b60ce6f00db.jpg?mw=660,Cookie,Kruidnoten,Netherlands
